,baseMean,log2FC_mtDSB_vs_control,lfcSE_mtDSB_vs_control,stat,pvalue_mtDSB_vs_control,padj_mtDSB_vs_control
2610035D17Rik,313.107001137654,0.14404080945109524,0.12826269569242016,1.123014050761195,0.261431527042155,0.9996638889971189
9630013A20Rik,179.59498961159946,0.3919249176187232,0.16686138389706465,2.348805388432463,0.018833747662736804,0.9996638889971189
A1cf,0.3574862899589843,-1.9372559385366352,3.5585754829267136,-0.5443908518538321,0.5861725396777924,0.9996638889971189
A2m,21.68759701857204,0.6045786589964094,0.4686215049164816,1.2901214576231586,0.19700849077048643,0.9996638889971189
Aatf,278.50970986655045,-0.13162557730822383,0.13242256760982446,-0.9939814616497324,0.3202318928383544,0.9996638889971189
Abca1,430.6866630231757,-0.09517326394249026,0.1475571923838441,-0.6449923748543124,0.5189321271161982,0.9996638889971189
Abca13,0.3154518961213817,-1.7912034581760776,3.694329641231315,-0.4848520928357309,0.627781267472163,0.9996638889971189
Abca3,705.7301675589943,0.08351556322068063,0.09539924959678585,0.8754320770201781,0.3813388527220216,0.9996638889971189
Abca4,4.376209681078987,-0.10694403572565175,0.9096252745893036,-0.11756933180417295,0.9064089060493831,0.9996638889971189
Abca7,173.40543683195196,-0.019386129688075338,0.1630788411668144,-0.11887581214932195,0.9053737449657837,0.9996638889971189
Abca8a,11.173165593180295,-0.40651051016766065,0.5932565802824565,-0.6852187125747786,0.4932059173887804,0.9996638889971189
Abca8b,174.41022558628268,0.005025942428041044,0.1557899905840687,0.032261009896710297,0.9742639026031076,0.9996638889971189
Abcb1a,136.67963584720425,-0.2014620282985121,0.18542382391617027,-1.0864948421600487,0.27726012162906366,0.9996638889971189
Abcb1b,40.9703390996502,-0.10440772195492276,0.3105088863549933,-0.3362471302530044,0.7366845149760504,0.9996638889971189
Abcb4,123.36017217867288,-0.028943990216598235,0.18135978298140834,-0.15959431435559976,0.8732006580604459,0.9996638889971189
Abcb8,83.08039887243352,-0.04709647077370612,0.23130464643035895,-0.20361229876065587,0.8386564814590955,0.9996638889971189
Abcc1,149.34122953363763,0.0068746664393584435,0.17126137725950186,0.04014137074783466,0.9679804192782813,0.9996638889971189
