,baseMean,log2FC_mtDSB_vs_control,lfcSE_mtDSB_vs_control,stat,pvalue_mtDSB_vs_control,padj_mtDSB_vs_control
2610035D17Rik,919.6193457843109,0.21444962515367982,0.18592528896832694,1.1534182700138877,0.24873874605952362,0.9999115808203716
9630013A20Rik,2192.784162257887,-0.19384470936227483,0.24769815492520386,-0.7825843895397975,0.43387121138483364,0.9999115808203716
A1cf,3.004648807753996,1.4988367726437182,1.2898219640770983,1.162049348195257,0.2452154203450626,0.9999115808203716
A2m,245.12992806295006,0.06192227704666104,0.35655755143083867,0.17366699091961896,0.8621271806939823,0.9999115808203716
Aatf,1473.7998221342784,0.10217153132173612,0.17910423396073033,0.5704584925900625,0.5683667667654013,0.9999115808203716
Abca1,1385.6478549237818,0.734445203167344,0.5175342881243283,1.4191237566677064,0.15586293898856396,0.9999115808203716
Abca13,1.1288462066206477,-2.3516232406554893,2.191350510138831,-1.073138792619034,0.2832088479501076,0.9999115808203716
Abca3,1836.3811993493425,0.11535853944667138,0.11969372542276477,0.963781008897657,0.33515572990916054,0.9999115808203716
Abca4,23.127057057404738,0.16982320660989716,0.42033679588699935,0.40401698892797233,0.6862002262941667,0.9999115808203716
Abca7,615.7495843219691,-0.06284866894327104,0.14325901260971777,-0.4387065623193315,0.660874171486948,0.9999115808203716
Abca8a,641.4482564341961,-1.1474526508126948,0.9930687879801984,-1.1554613987481146,0.24790153127926873,0.9999115808203716
Abca8b,695.7090575516237,-0.27230308619450877,0.1900504921298233,-1.432793375817721,0.1519168949554273,0.9999115808203716
Abcb1a,328.02998299478924,-0.1465897397364012,0.1598738146482625,-0.9169090013828247,0.35919032670989304,0.9999115808203716
Abcb1b,43.13533293430432,-0.24187474954954077,0.34314919398472515,-0.7048676021669675,0.48089263358031387,0.9999115808203716
Abcb4,53.01616380153606,0.048848180142190514,0.3028884815138111,0.16127447269718356,0.8718772278961525,0.9999115808203716
Abcb8,506.4310151083686,-0.059141848100655564,0.1417208424616634,-0.41731228147796184,0.6764500064591332,0.9999115808203716
