,baseMean,log2FC_mtDSB_vs_control,lfcSE_mtDSB_vs_control,stat,pvalue_mtDSB_vs_control,padj_mtDSB_vs_control,mean_cpm_all,detect_rate_all,mean_cpm_cond_control,mean_cpm_cond_mtDSB,mean_cpm_age_21,mean_cpm_age_60
2610035D17Rik,1182.3054675236713,0.20889703912726684,0.1459255612551357,1.4315315105215327,0.1522779427643746,0.9989992596838695,116.77255196360693,1.0,106.3735243725867,127.17157955462716,108.85367538383336,124.69142854338048
9630013A20Rik,2105.1388483538744,0.36586861208642907,0.2697745222751824,1.3562015011678021,0.1750350645358011,0.9998186074426537,241.14978100976683,1.0,231.54987830936048,250.74968371017317,258.55656245279414,223.7429995667396
A1cf,3.5891093021744616,-1.8414118216246669,1.1478806234061016,-1.604184079839812,0.10867348285706707,0.9302375698672574,0.3660137779058173,0.9166666666666666,0.38362264836165566,0.34840490744997893,0.3597104231264628,0.3723171326851719
A2m,342.0221727029413,1.0388592528352905,0.2942813214088207,3.5301569527482495,0.00041531321139787756,0.0795506214797829,32.679398427226154,1.0,25.533936612661375,39.824860241790944,29.033176770426618,36.325620084025694
Aatf,1446.2978499794172,0.12792179376969276,0.1643867764033924,0.7781756937418288,0.4364654439432143,0.9998186074426537,163.4298129856594,1.0,153.9654011211084,172.89422485021035,174.60639190362653,152.25323406769226
Abca1,1864.7925885406848,0.5917778232572045,0.2834608244113949,2.0876882175377443,0.03682596837561123,0.6304555339372622,181.86658194550463,1.0,137.82364480989978,225.90951908110955,165.62171089387004,198.11145299713925
Abca13,2.6751740537992856,-0.2437427332756488,1.2091991405591977,-0.2015736904699827,0.8402500149712001,0.9998186074426537,0.20833329916598228,0.8333333333333334,0.2584391251191136,0.15822747321285094,0.13249253977428888,0.2841740585576757
Abca3,2166.5717878649293,-0.14256216038076694,0.12470298589926214,-1.143213687729433,0.2529498806030207,0.9998186074426537,222.5827618360864,1.0,220.20686533334222,224.9586583388306,217.06912769263656,228.09639597953628
Abca4,23.655444872338887,-0.3532244579566729,0.43586526815868487,-0.8103982669894106,0.4177113135753663,0.9998186074426537,2.604809508901275,1.0,2.628325577092681,2.5812934407098695,2.7363949612032155,2.4732240565993338
Abca7,556.2955204571928,-0.09812194108820789,0.15645460338877934,-0.6271591820432496,0.5305548964190294,0.9998186074426537,65.51055944944225,1.0,66.23726451542177,64.78385438346272,72.64333055749283,58.377788341391685
Abca8a,415.3837691725526,-0.756504933918527,0.8626988288099603,-0.8769050202167062,0.38053822920837277,0.9998186074426537,58.603346813338526,1.0,77.32257018359984,39.884123443077186,74.36830218724113,42.8383914394359
