,baseMean,log2FC_mtDSB_vs_control,lfcSE_mtDSB_vs_control,stat,pvalue_mtDSB_vs_control,padj_mtDSB_vs_control
2610035D17Rik,88.0752753257832,-0.15876018029443567,0.22106013922323745,-0.7181764240820991,0.47264851263911334,0.9996869425150439
9630013A20Rik,28.586828956817882,0.43214708469492435,0.45644763956391343,0.9467615718372306,0.34376028754094257,0.9996869425150439
A1cf,0.8089788476453839,-0.5382558899836701,2.3351403294360122,-0.23050258830212175,0.8177012524598063,0.9996869425150439
A2m,44.7421376724748,1.1722041962988514,0.36751897818378054,3.189506572127772,0.0014251589852420444,0.7386967168017928
Aatf,253.19197993041698,0.0469010261922447,0.175327565001414,0.26750514781783713,0.7890802511646263,0.9996869425150439
Abca1,556.4538975691881,0.2925434084201145,0.1858546018402035,1.5740444709119512,0.11547716871175036,0.9996869425150439
Abca13,2.0013044767242802,0.4378790565048169,1.3783138357613343,0.3176918384940591,0.7507187026825899,0.9996869425150439
Abca3,434.1776500277559,0.08808868621130253,0.13795212115186375,0.638545355270983,0.523118739617227,0.9996869425150439
Abca4,5.470767484344179,-0.4865141243486027,0.8389894160648427,-0.5798811224944006,0.5619947867820113,0.9996869425150439
Abca7,140.73941105338506,0.13798259646562194,0.19958911046661262,0.6913332903936348,0.48935611574107074,0.9996869425150439
Abca8a,10.433397117308788,-0.3163989745001043,0.6023955413064006,-0.5252345889113613,0.599420122621618,0.9996869425150439
Abca8b,27.23330202579075,-0.04857283486784544,0.3754670447098855,-0.12936643988389582,0.8970677015905759,0.9996869425150439
Abcb1a,151.9106142856476,-0.1392019322586608,0.22554461752758573,-0.6171813532266421,0.5371151135205017,0.9996869425150439
Abcb1b,93.1041792946945,-0.1250334928414099,0.24403361944595672,-0.5123617521441532,0.608397854221879,0.9996869425150439
Abcb4,114.9924244792702,-0.12450727417847263,0.1973726079763603,-0.6308234737080898,0.5281559532108466,0.9996869425150439
Abcb8,36.110607693209495,0.10077936847090463,0.33480287819899684,0.30101105764988195,0.7634060625655337,0.9996869425150439
Abcc1,109.63608616963182,0.010161273208476344,0.20214081091269895,0.050268291507274195,0.9599085915232664,0.9996869425150439
Abcc6,3.552497496125838,0.7798900135537071,1.0924004536436602,0.7139231871905707,0.4752746784938511,0.9996869425150439
Abcc8,41.218073162094946,0.581821264923759,0.32755762395324894,1.7762409493078997,0.07569321150543898,0.9996869425150439
Abcc9,11.977387454011895,-0.5099610451720993,0.5914725103672278,-0.8621889204207978,0.38858356564158325,0.9996869425150439
Abcd2,217.63556680598586,-0.04722774040190895,0.19035646756935154,-0.24810158018246856,0.804055813026366,0.9996869425150439
Abcd3,627.0729511609285,-0.04194376374357553,0.1131814612491838,-0.3705886395231357,0.7109439448527448,0.9996869425150439
Abcf1,190.1979238062639,0.11240286512865998,0.16850257745576558,0.6670691144660229,0.5047279872968053,0.9996869425150439
Abcg2,234.37739195586244,0.11746288485694804,0.14803242640261058,0.7934942884573063,0.42748989566012685,0.9996869425150439
Abcg8,0.0,,,,,
