,baseMean,log2FC_mtDSB_vs_control,lfcSE_mtDSB_vs_control,stat,pvalue_mtDSB_vs_control,padj_mtDSB_vs_control,mean_cpm_all,detect_rate_all,mean_cpm_cond_control,mean_cpm_cond_mtDSB,mean_cpm_age_21,mean_cpm_age_60
2610035D17Rik,313.107001137654,0.14404080945109524,0.12826269569242016,1.123014050761195,0.261431527042155,0.9996638889971189,211.0621393918891,1.0,207.19752137111428,214.92675741266393,199.97486851562994,222.14941026814827
9630013A20Rik,179.59498961159946,0.3919249176187232,0.16686138389706465,2.348805388432463,0.018833747662736804,0.9996638889971189,116.41071369346452,1.0,104.75423478810956,128.0671925988195,114.7876315988644,118.03379578806465
A1cf,0.3574862899589843,-1.9372559385366352,3.5585754829267136,-0.5443908518538321,0.5861725396777924,0.9996638889971189,0.20661596440594357,0.3333333333333333,0.22832088394409286,0.1849110448677943,0.22832088394409286,0.1849110448677943
A2m,21.68759701857204,0.6045786589964094,0.4686215049164816,1.2901214576231586,0.19700849077048643,0.9996638889971189,18.08303510793777,1.0,12.62929456356194,23.536775652313604,13.888976900519273,22.27709331535627
Aatf,278.50970986655045,-0.13162557730822383,0.13242256760982446,-0.9939814616497324,0.3202318928383544,0.9996638889971189,164.59837820427936,1.0,168.72537213819842,160.47138427036032,177.94814910414433,151.24860730441438
Abca1,430.6866630231757,-0.09517326394249026,0.1475571923838441,-0.6449923748543124,0.5189321271161982,0.9996638889971189,245.97547940668764,1.0,247.25224726929278,244.6987115440825,275.18825889030813,216.7626999230671
Abca13,0.3154518961213817,-1.7912034581760776,3.694329641231315,-0.4848520928357309,0.627781267472163,0.9996638889971189,0.22179793455528185,0.3333333333333333,0.3233560724793462,0.12023979663121757,0.20180067883557495,0.24179519027498877
Abca3,705.7301675589943,0.08351556322068063,0.09539924959678585,0.8754320770201781,0.3813388527220216,0.9996638889971189,437.9733688024748,1.0,435.75822703071543,440.18851057423416,450.8683183189207,425.0784192860289
Abca4,4.376209681078987,-0.10694403572565175,0.9096252745893036,-0.11756933180417295,0.9064089060493831,0.9996638889971189,2.699141422387246,1.0,2.9320306424519704,2.466252202322521,2.790751071334506,2.6075317734399857
Abca7,173.40543683195196,-0.019386129688075338,0.1630788411668144,-0.11887581214932195,0.9053737449657837,0.9996638889971189,105.75370044422915,1.0,101.6216754122176,109.88572547624068,110.84506425075544,100.66233663770286
Abca8a,11.173165593180295,-0.40651051016766065,0.5932565802824565,-0.6852187125747786,0.4932059173887804,0.9996638889971189,8.101119938861027,1.0,8.45288628979405,7.7493535879280016,7.1218287927271815,9.08041108499487
Abca8b,174.41022558628268,0.005025942428041044,0.1557899905840687,0.032261009896710297,0.9742639026031076,0.9996638889971189,106.59673844114728,1.0,105.3301000047842,107.86337687751033,111.41966093049807,101.7738159517965
Abcb1a,136.67963584720425,-0.2014620282985121,0.18542382391617027,-1.0864948421600487,0.27726012162906366,0.9996638889971189,84.54800495442768,1.0,90.05934306474575,79.03666684410962,87.25142223350088,81.84458767535449
Abcb1b,40.9703390996502,-0.10440772195492276,0.3105088863549933,-0.3362471302530044,0.7366845149760504,0.9996638889971189,25.112531407215148,1.0,26.916708757133545,23.308354057296743,26.17330250348512,24.051760310945166
Abcb4,123.36017217867288,-0.028943990216598235,0.18135978298140834,-0.15959431435559976,0.8732006580604459,0.9996638889971189,76.72604405073507,1.0,79.40682870742864,74.04525939404151,78.78203637974336,74.67005172172681
Abcb8,83.08039887243352,-0.04709647077370612,0.23130464643035895,-0.20361229876065587,0.8386564814590955,0.9996638889971189,46.58133834213984,1.0,46.76126784342416,46.40140884085551,53.03842714943363,40.12424953484604
Abcc1,149.34122953363763,0.0068746664393584435,0.17126137725950186,0.04014137074783466,0.9679804192782813,0.9996638889971189,93.05393512538821,1.0,93.46140217100952,92.6464680797669,95.42829211440493,90.67957813637152
Abcc6,5.379490346830973,0.27547832284977347,0.8488578461529002,0.3245282164714221,0.7455381635430567,0.9996638889971189,3.0012505013098125,1.0,3.3421143182915856,2.66038668432804,3.4284271553538255,2.5740738472657996
Abcc8,31.344423195862863,0.09487250697413156,0.36302686301432957,0.26133742882379124,0.7938323051418053,0.9996638889971189,23.83535226720926,1.0,23.890513880344145,23.780190654074378,20.043753959836938,27.62695057458158
Abcc9,5.938430291007289,0.3979400909153353,0.795765547811665,0.500072027508178,0.617024361588852,0.9996638889971189,4.398990857348597,1.0,3.461909929869423,5.33607178482777,3.7892865081174647,5.0086952065797306
Abcd2,58.75029745836429,-0.153300377619014,0.26225322950847674,-0.5845509620847545,0.5588496889120227,0.9996638889971189,37.196445581585095,1.0,37.73251851461405,36.660372648556155,37.554652393629176,36.83823876954103
Abcd3,1141.5771162926148,0.00987509503976297,0.08435696224514937,0.11706318929627886,0.9068099798092154,0.9996638889971189,707.3963072128169,1.0,712.5293987485047,702.2632156771291,729.2211616227787,685.5714528028551
Abcf1,194.92270398075405,0.06786686242125882,0.14766405032619717,0.4596031483041239,0.64580109893622,0.9996638889971189,122.73127302662711,1.0,119.86274648483301,125.59979956842123,124.54248753831895,120.92005851493526
Abcg2,305.6417349443725,-0.08552091641902719,0.13389170526117414,-0.638731998014417,0.5229972929402882,0.9996638889971189,197.8018734492598,1.0,205.14292905513017,190.46081784338935,195.33379584401416,200.2699510545054
Abcg8,0.0,,,,,,0.17098071509460044,0.16666666666666666,0.0,0.3419614301892009,0.0,0.3419614301892009
Abhd17c,289.66009366014777,-0.12457174413527809,0.13274471819573863,-0.9384308907235834,0.34802301718442386,0.9996638889971189,192.7088685184142,1.0,192.75570968472138,192.66202735210697,185.04207383651726,200.3756632003111
