,log2FC_mtDSB_vs_control,lfcSE_mtDSB_vs_control,delta_log2FC,se_delta,z,p_delta,q_delta,mean_cpm_all,detect_rate_all,mean_cpm_cond_control,mean_cpm_cond_mtDSB,mean_cpm_age_21,mean_cpm_age_60
2610035D17Rik,-0.03205950600781041,0.14416957522152937,0.0,0.20388656855985493,0.0,1.0,1.0,112.79543914340245,1.0,112.19695109142003,113.39392719538485,110.58653325262071,115.00434503418417
9630013A20Rik,-0.37734802075566587,0.37283282230766923,0.0,0.5272652338053441,0.0,1.0,1.0,14.863389514590963,1.0,13.768314821416647,15.958464207765276,15.081223953797037,14.645555075384886
A1cf,-0.9251351541152105,4.425803753669679,0.0,6.259031692841413,0.0,1.0,1.0,0.08151608678644003,0.25,0.044453026842160105,0.11857914673071995,0.044453026842160105,0.11857914673071995
A2m,-0.00534052333298933,0.6097353461391802,0.0,0.8622959959682823,0.0,1.0,1.0,250.90295886879485,1.0,226.1357071227807,275.67021061480904,272.08082224896145,229.72509548862828
Aatf,0.03802077080918179,0.13718206202469202,0.0,0.1940047326296266,0.0,1.0,1.0,107.81253915191049,1.0,106.54239947523524,109.08267882858574,114.12767268869818,101.49740561512277
Abca1,0.1123911281881629,0.18401606652210303,0.0,0.26023801697010773,0.0,1.0,1.0,361.5647427817921,1.0,348.4742634627748,374.65522210080945,408.9307753454641,314.19871021812025
Abca13,-1.3561138318189734,1.5712595283937838,0.0,2.2220965350624424,0.0,1.0,1.0,0.59044282264228,0.9166666666666666,0.7660368635077481,0.41484878177681184,0.5237801003126982,0.6571055449718618
Abca3,-0.02439343537689534,0.09449419794138816,0.0,0.13363497629427892,0.0,1.0,1.0,301.3277833617666,1.0,302.9696340866516,299.6859326368816,320.0005317161475,282.6550350073857
Abca4,-0.36887582103422684,0.5908230074605374,0.0,0.8355499101127523,0.0,1.0,1.0,4.1208355036475615,1.0,4.144250551819659,4.097420455475464,4.498277740446471,3.743393266848651
Abca7,0.015369347893316334,0.18118189109128896,0.0,0.2562298876377059,0.0,1.0,1.0,49.62646157708907,1.0,50.91926360792072,48.33365954625743,48.77704355413157,50.475879600046575
Abca8a,-0.3869178184156256,0.2390883456468007,0.0,0.3381219810190519,0.0,1.0,1.0,29.22234206587964,1.0,30.001595887276437,28.443088244482837,30.99489769176422,27.449786439995055
Abca8b,-0.05537702379105464,0.21963596021437257,0.0,0.31061215372000317,0.0,1.0,1.0,23.40734790999406,1.0,23.670518427517166,23.144177392470947,25.722799482834105,21.091896337154004
Abcb1a,0.07511839646707254,0.2008578037309899,0.0,0.28405583014483915,0.0,1.0,1.0,58.83973506652533,1.0,56.71163553436511,60.967834598685556,58.849310713085906,58.83015941996475
Abcb1b,0.24973121569784726,0.27964594876497606,0.0,0.3954790934061208,0.0,1.0,1.0,19.84734989673009,1.0,19.597821861555577,20.096877931904604,22.109657991496572,17.58504180196361
Abcb4,-0.20886905219362503,0.3429211423659011,0.0,0.4849637303583323,0.0,1.0,1.0,12.029597441389292,1.0,11.818339176686216,12.240855706092374,11.7434538174624,12.315741065316189
Abcb8,0.05093882520562934,0.18817364173762588,0.0,0.26611771622648644,0.0,1.0,1.0,50.724439942669115,1.0,49.60116073698287,51.84771914835536,55.61903410961543,45.82984577572279
Abcc1,-0.053698781890457827,0.14888678881906953,0.0,0.210557716006107,0.0,1.0,1.0,70.6400499434338,1.0,72.138786182382,69.14131370448557,72.71174986414555,68.56835002272203
Abcc6,1.121830240385061,0.8455750803552227,0.0,1.1958237466430757,0.0,1.0,1.0,1.7173474535357354,1.0,1.4978901807313096,1.9368047263401607,1.6958351140855452,1.7388597929859244
Abcc8,0.12054935730145608,0.2890263386191249,0.0,0.4087449679582051,0.0,1.0,1.0,15.054102577025054,1.0,14.765342492732719,15.342862661317389,15.62804678897877,14.480158365071334
Abcc9,-0.3897480160356004,0.6431277360803834,0.0,0.9095199667031828,0.0,1.0,1.0,2.828090894906764,1.0,2.5718357544065094,3.0843460354070182,2.7928910759901844,2.8632907138233428
Abcd2,-0.018500207991022262,0.14945962402433133,0.0,0.21136782732239304,0.0,1.0,1.0,189.8092411989392,1.0,191.4969096354569,188.12157276242155,200.52989704045342,179.08858535742502
Abcd3,-0.03976008462140887,0.08083440836839632,0.0,0.1143171166209913,0.0,1.0,1.0,702.4955447216894,1.0,707.1323389174481,697.8587505259303,719.7739013601431,685.2171880832353
Abcf1,0.06605821603512045,0.13710734357512244,0.0,0.1938990647848858,0.0,1.0,1.0,106.69042729600507,1.0,106.41576202477177,106.96509256723839,105.54359862856734,107.83725596344277
Abcg2,-0.001272443501255207,0.2098910377841293,0.0,0.29683075225487937,0.0,1.0,1.0,41.26662699753456,1.0,41.34619497403929,41.18705902102983,39.866197482715485,42.66705651235363
Abcg8,1.2729533106217803,1.7359374279796242,0.0,2.4549862540798526,0.0,1.0,1.0,0.2970384064007711,0.5833333333333334,0.18340965143310262,0.41066716136843945,0.48365561274969116,0.11042120005185095
Abhd17c,0.02525711425742139,0.12475734966978294,0.0,0.17643353590872962,0.0,1.0,1.0,142.13696040501472,1.0,140.25683075834917,144.01709005168033,137.10591931265597,147.16800149737352
Abhd4,-0.019186936306742418,0.09131726585938482,0.0,0.1291421158571716,0.0,1.0,1.0,491.9018885973805,1.0,478.699188415802,505.10458877895894,496.3397055986704,487.46407159609066
Abhd5,-0.08994111560810775,0.1301701601392094,0.0,0.18408840588514758,0.0,1.0,1.0,133.7535350888067,1.0,135.87175808909723,131.63531208851617,129.50470507219094,138.00236510542246
Abi1,0.029974257471666935,0.09786016948132417,0.0,0.1383951788966183,0.0,1.0,1.0,884.5987226658463,1.0,878.9970167674068,890.2004285642856,866.6003069542543,902.5971383774381
Abi3bp,-0.1913984036149777,0.40096636860454504,0.0,0.5670520765360372,0.0,1.0,1.0,6.368973553529788,1.0,6.427792758744986,6.310154348314588,7.563701983557905,5.174245123501669
Abitram,0.16880477930038168,0.14837679608776122,0.0,0.2098364773687791,0.0,1.0,1.0,85.81377785732923,1.0,82.21364417403642,89.41391154062205,78.36156782858876,93.2659878860697
Abl1,-0.12058484455264683,0.12008846088973209,0.0,0.16983073007477012,0.0,1.0,1.0,169.3965312571892,1.0,174.2137240856979,164.57933842868053,175.57173299182762,163.2213295225508
Abracl,-0.2659927057414229,0.3150063501200609,0.0,0.44548625257343777,0.0,1.0,1.0,12.76117431641078,1.0,13.287037199996453,12.235311432825108,11.936463483437924,13.585885149383637
Abraxas1,-0.12702182703345224,0.2103347563074878,0.0,0.29745826500848915,0.0,1.0,1.0,46.09184462791541,1.0,46.77873084946091,45.4049584063699,46.67960546083288,45.50408379499794
