,baseMean,log2FC_mtDSB_vs_control,lfcSE_mtDSB_vs_control,stat,pvalue_mtDSB_vs_control,padj_mtDSB_vs_control
2610035D17Rik,458.7265429298006,0.04371780075098072,0.1573825417790821,0.27778049748584827,0.7811808629801072,0.9995545441197232
9630013A20Rik,58.143209549671695,0.805615773301343,0.37888551642079576,2.1262775650854238,0.03348015495046646,0.9995545441197232
A1cf,0.46589155604573446,2.1144532089440857,3.3773822061789947,0.6260627550757054,0.531273780357945,0.9995545441197232
A2m,913.6201101148717,0.6090758244513532,0.4887374615236565,1.2462229159854814,0.212682568227747,0.9995545441197232
Aatf,404.64696428847856,0.008544016817279529,0.13701243911561845,0.06235942424227357,0.9502766068046151,0.9995545441197232
Abca1,1251.3978595852852,0.06649033983415607,0.16943797985764797,0.392416976937623,0.6947501441789949,0.9995545441197232
Abca13,2.6250314626624154,-0.5766777406382703,1.17380089322549,-0.4912909369608813,0.6232206890159286,0.9995545441197232
Abca3,1126.8632727458132,-0.02408160084288769,0.11433193818189942,-0.21062881663542193,0.8331769243013136,0.9995545441197232
Abca4,14.941783825379005,0.41467416361472964,0.4975913013112875,0.8333629678050063,0.4046400535146275,0.9995545441197232
Abca7,201.23989143363005,-0.17617386450662412,0.15599300475633585,-1.1293702867113249,0.25874166187405767,0.9995545441197232
Abca8a,109.66891899912439,0.2509530333119838,0.33908028115009203,0.740099166075956,0.4592398246879036,0.9995545441197232
Abca8b,84.16029947383782,-0.024675193324353407,0.22385640333660536,-0.11022777529061854,0.9122287349901165,0.9995545441197232
Abcb1a,234.6120175754044,0.13112470071968346,0.16970001402950155,0.7726852674089234,0.4397086677598069,0.9995545441197232
Abcb1b,70.12117050654857,-0.26073914182644903,0.2913989441424621,-0.8947840994886247,0.3709025117641773,0.9995545441197232
Abcb4,49.110251455334854,0.2967679743415096,0.27800771640928346,1.0674810691391285,0.2857546576859017,0.9995545441197232
Abcb8,182.8147059895356,0.06098680347452485,0.16645463182814269,0.3663869416231753,0.7140763624172255,0.9995545441197232
Abcc1,273.5061919579008,-0.08887121663220184,0.1558891956242195,-0.5700922137441224,0.5686151558911308,0.9995545441197232
Abcc6,6.9476850012027755,-0.3133891094149596,0.7216529647313534,-0.43426567163293456,0.6640955290637118,0.9995545441197232
Abcc8,57.72367303776661,-0.01282935171091416,0.339405963442891,-0.037799429275711144,0.9698475994205181,0.9995545441197232
Abcc9,11.433744907956429,0.9437499919900647,0.5967397830432954,1.5815100967075837,0.11376145219806312,0.9995545441197232
Abcd2,713.8570207845363,-0.0501797937872749,0.11720708849070491,-0.42812934297275373,0.6685569546369796,0.9995545441197232
Abcd3,2732.804300374019,-0.010814628618371219,0.10439929005340726,-0.10358910115996775,0.9174954371436814,0.9995545441197232
Abcf1,429.9359083271522,-0.06903333577391695,0.12414457389504313,-0.5560721150187404,0.5781615568013506,0.9995545441197232
Abcg2,170.10774889127774,-0.02190258378033827,0.17018313791205142,-0.12870008185921014,0.8975949706348205,0.9995545441197232
Abcg8,0.444776758753264,0.4018455352392082,2.8992738048420863,0.13860213359913945,0.8897645572177617,0.9995545441197232
Abhd17c,587.068278764965,0.040060991786162,0.1245341094083457,0.3216869014962201,0.747689901920757,0.9995545441197232
Abhd4,1943.7577939718474,0.16059895575197453,0.09199964267515026,1.7456476034265447,0.08087220500050318,0.9995545441197232
Abhd5,550.2346014812803,-0.020407288915854298,0.11858320782540666,-0.1720925693450671,0.8633647544178636,0.9995545441197232
Abi1,3599.7926763287487,-0.005370374477326896,0.10250406470013984,-0.05239181971014628,0.958216492092555,0.9995545441197232
Abi3bp,20.627905815822324,0.21679884022367024,0.4190063312492291,0.5174118481152882,0.6048686906116996,0.9995545441197232
Abitram,372.0514379269751,0.0710922697322747,0.12964419285548748,0.5483644748478649,0.5834416643741707,0.9995545441197232
Abl1,650.8605311076391,-0.05969723665719224,0.11163751649210468,-0.5347417116844784,0.5928284738994973,0.9995545441197232
Abracl,54.11073120102129,-0.007129994105494657,0.275156191716668,-0.02591253375405234,0.9793271029141091,0.9995545441197232
Abraxas1,181.4698609317336,0.033120473715565604,0.16132676097301596,0.20530055593879706,0.8373373097328861,0.9995545441197232
Abraxas2,489.1375460108748,0.009199933425873939,0.12041554746221585,0.07640154132721697,0.9390996433901181,0.9995545441197232
Acaa2,1455.2874543082391,-0.0018885224030930905,0.10570519506713277,-0.017865937448899274,0.9857458026529176,0.9995545441197232
Acaca,1928.553049858062,-0.11818217737815888,0.09892841213922761,-1.1946232110936377,0.2322342763672951,0.9995545441197232
Acacb,200.6452149337969,0.03987371480227696,0.17965768051251024,0.22194272289683936,0.8243584717410378,0.9995545441197232
Acan,5.911166807752152,0.15613576651236546,0.7665995361417103,0.20367318156516973,0.8386089009005853,0.9995545441197232
Ace,48.059303637436074,0.1847737410344735,0.3133479082209914,0.5896759997011379,0.5554078886198339,0.9995545441197232
Ace2,9.00535652737336,0.6886998377417788,0.6899156323334358,0.9982377633805094,0.31816407864044793,0.9995545441197232
Acer1,0.5400016852681909,0.7332431032308976,2.7666021022639242,0.2650338126436328,0.7909834141930622,0.9995545441197232
Ache,94.90726010736891,-0.09733653447855965,0.21693827008051464,-0.448683095160822,0.6536602811177429,0.9995545441197232
Ackr1,150.49373344264333,0.03974302222347024,0.1772178200614193,0.224260868403055,0.8225543232249575,0.9995545441197232
Ackr2,1.187050833908614,1.2223166882588852,2.0047849988432573,0.6096996380979262,0.5420607943343904,0.9995545441197232
Ackr3,174.07754935229033,-0.35936103942580294,0.22172268521946187,-1.6207680286304766,0.10506739763636144,0.9995545441197232
Ackr4,4.967383209029882,0.33862044988185086,0.901476038135773,0.3756288970055248,0.7071928047233496,0.9995545441197232
Acly,3636.6402693467203,-0.20013151983225996,0.13577556571994975,-1.4739877441943465,0.14048489102428405,0.9995545441197232
Acod1,0.5716638221682749,-0.7513966358533846,2.6164859768634643,-0.28717778061785293,0.7739761985886431,0.9995545441197232
Acot6,346.20515685896197,-0.052661773242863086,0.1590611091929521,-0.3310788759745207,0.7405849072309174,0.9995545441197232
Acox1,4735.447041030603,0.08734377766770962,0.08753618716603545,0.9978019433498873,0.31837540765248795,0.9995545441197232
Acp2,815.9623513465682,-0.027043106908480358,0.14391491694804173,-0.1879103812306257,0.8509469046605304,0.9995545441197232
Acp5,1.5574593285824412,1.7158209528009003,1.637632146209052,1.047745036498488,0.29475609187917007,0.9995545441197232
Acr,11.811694552562505,0.22593580979048244,0.5696656505929885,0.39661125706859196,0.6916541500552775,0.9995545441197232
Acsl1,175.9765821628715,-0.1850161708051856,0.17661128669431345,-1.0475897337491216,0.2948276694383888,0.9995545441197232
