,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
2610035D17Rik,0.42131995196678346,-1.8319217711740214,3.2165285964616905,-0.5695338052300261,0.5689939360588252,0.9999658165740726
9630013A20Rik,1.423291467936315,-2.6072861298401446,3.0422715504811846,-0.8570195285255717,0.3914340921159827,0.9999658165740726
A1cf,0.0,,,,,
A2m,0.16710422815933534,-0.4988973878649579,3.731665923515292,-0.13369293985325145,0.8936453882245098,0.9999658165740726
Aatf,0.40027882710553186,-0.8951683700562787,2.5265691660023384,-0.3543019451443152,0.7231126101649659,0.9999658165740726
Abca1,0.22032060970778294,-0.1834123240853218,3.1818964245615358,-0.057642455822739726,0.9540334310182168,0.9999658165740726
Abca13,0.001364522603806349,-1.7342594762245533,4.289559920891045,-0.40429776205674395,0.685993770973364,0.9999658165740726
Abca3,0.2986716839289013,-1.1974946973448315,3.280000091464785,-0.365089836570722,0.7150443473090452,0.9999658165740726
Abca4,0.165739705555529,-0.5064547652213242,3.8745791252065707,-0.1307122009527481,0.89600298019535,0.9999658165740726
Abca7,0.03957115551038413,-1.304191281255598,4.364225133622958,-0.2988368476245231,0.7650645345236087,0.9999658165740726
Abca8a,0.02729045207612698,-1.421370085130849,4.373138227535392,-0.3250229037310588,0.7451637373058337,0.9999658165740726
Abca8b,0.21952937290813299,-1.7710266895606266,3.32002612578277,-0.53343757623084,0.5937307118923183,0.9999658165740726
Abcb1a,0.04639376852941587,-1.2246844684445881,4.357485185405404,-0.28105304237096285,0.7786697167736658,0.9999658165740726
Abcb1b,0.001364522603806349,-1.7342594762245533,4.289559920891045,-0.40429776205674395,0.685993770973364,0.9999658165740726
Abcb4,0.010916180830450792,-1.6028817627887828,4.380294199896684,-0.36593016122674804,0.7144171895272058,0.9999658165740726
Abcb8,0.034113065095158726,-1.3565570735786143,4.368390934036975,-0.3105393024714881,0.7561508766304477,0.9999658165740726
Abcc1,0.02865497467993333,-1.4079818533298243,4.37219786958632,-0.3220306800668749,0.7474294521920657,0.9999658165740726
Abcc6,0.004093567811419048,-1.6936420293745345,4.366119134232028,-0.3879055924277786,0.6980858994021653,0.9999658165740726
Abcc8,0.01364522603806349,-1.5695041142596036,4.380416487099423,-0.3583002024766099,0.7201186665968555,0.9999658165740726
Abcc9,0.0,,,,,
Abcd2,0.18268726260536158,-2.167847932175923,3.3445810515670833,-0.648167258844031,0.5168767758492282,0.9999658165740726
Abcd3,0.7400449554533128,0.12902822857046795,2.5898439441362755,0.04982085073604674,0.9602651508297589,0.9999658165740726
Abcf1,0.4188088577546643,0.4459479879211995,3.1661948167495684,0.14084666728720502,0.8879910753418488,0.9999658165740726
Abcg2,0.034113065095158726,-1.3565570735786143,4.368390934036975,-0.3105393024714881,0.7561508766304477,0.9999658165740726
Abcg8,0.0,,,,,
Abhd17c,0.0941520596626381,-0.8025311398481079,4.321846367841282,-0.18569173254739363,0.8526865120356617,0.9999658165740726
Abhd4,1.0034948048780268,-1.9829870511126795,3.0782422308071533,-0.6441946092698221,0.5194492461292666,0.9999658165740726
Abhd5,0.2891200257022568,-1.2517064000247566,3.2836878450049247,-0.3811892174613447,0.7030628494432682,0.9999658165740726
