,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
2610035D17Rik,4.614423363541465,0.5256130644083463,0.8664317624576583,0.6066410387788993,0.5440891590178367,0.9994364900874442
9630013A20Rik,13.427527690064666,2.026540076648722,1.2852792412968985,1.576731352638872,0.11485735302916464,0.9994364900874442
A1cf,0.0,,,,,
A2m,1.275863260245224,2.404001682610594,2.001730427384139,1.2009617527531633,0.22976603801119022,0.9994364900874442
Aatf,4.506478148819842,-0.5026697743532091,0.9323158750052017,-0.5391625175860109,0.5897747210055788,0.9994364900874442
Abca1,4.034432072967608,0.18006414006571564,0.9233555448062869,0.19501062302440794,0.8453846313094453,0.9994364900874442
Abca13,0.0,,,,,
Abca3,7.289060813876843,0.32859057867086594,0.7064198640453291,0.4651491207922505,0.6418246715227189,0.9994364900874442
Abca4,0.276380535106371,-0.945381931256911,3.4992257292641087,-0.27016889003491806,0.7870303251863524,0.9994364900874442
Abca7,1.5673759968454337,2.618765733944219,1.8296715062477191,1.431276447713158,0.1523510012137142,0.9994364900874442
Abca8a,2.1530033578852255,-0.9253612035676708,1.2634893448802402,-0.7323854429934912,0.4639333412785376,0.9994364900874442
Abca8b,2.395210935277926,-0.8799529878173539,1.195657768154205,-0.7359572373086156,0.46175672239322973,0.9994364900874442
Abcb1a,0.76589132041563,-1.0990501262194607,2.1437708886425892,-0.5126714482606705,0.6081811651323352,0.9994364900874442
Abcb1b,0.509923763732207,-0.015444902667709875,2.663100287574309,-0.005799594833049979,0.9953726187643714,0.9994364900874442
Abcb4,0.0,,,,,
Abcb8,0.8328279772813122,-2.110762966953952,2.175688883779177,-0.9701584554164524,0.3319675152540559,0.9994364900874442
Abcc1,1.9337503715023203,-0.052651614073762634,1.320850413593283,-0.03986190527853001,0.968203222132583,0.9994364900874442
Abcc6,0.0,,,,,
Abcc8,1.4384707847594849,-0.7275997296958162,1.4943185618525567,-0.4869107218970676,0.6263216003685483,0.9994364900874442
Abcc9,0.0,,,,,
Abcd2,0.42106555916253413,-0.6619210335130575,2.869937648251273,-0.2306395171743132,0.8175948648893188,0.9994364900874442
Abcd3,13.840037058338808,-0.04415569458778633,0.5373007121588972,-0.08218059940841482,0.9345031006839564,0.9994364900874442
Abcf1,4.058667207055795,-0.6520195194486961,0.9521518843409542,-0.6847852009451212,0.49347947532335557,0.9994364900874442
Abcg2,1.5701722334593382,0.6703692218168618,1.4919699042772379,0.44931819327924843,0.6532021353751121,0.9994364900874442
Abcg8,0.0,,,,,
Abhd17c,6.5436926009430705,-0.31375046787454497,0.7238282489471612,-0.43345982742578537,0.6646807448327092,0.9994364900874442
Abhd4,13.667329630502232,-0.14640068843366158,0.553114719798051,-0.2646841300609651,0.7912528039769666,0.9994364900874442
Abhd5,6.589752550735085,0.13180265008880376,0.7282790565490639,0.1809782238052376,0.8563846686464567,0.9994364900874442
Abi1,21.361056537709818,-0.10824283294732581,0.4379813224373928,-0.24714029435079066,0.8047996503375658,0.9994364900874442
Abi3bp,0.0,,,,,
Abitram,3.5533854279758064,-1.2218778186093715,0.9951450172378281,-1.2278389555734035,0.21950742881261753,0.9994364900874442
Abl1,12.63178714776848,-0.6356839526804628,0.5712845544823231,-1.1127273574838659,0.26582554226132815,0.9994364900874442
Abracl,0.48356925802488887,-1.7677201971342444,2.7098883779294587,-0.6523221441633343,0.514193377656825,0.9994364900874442
Abraxas1,0.5598090559343271,-1.1177035543265192,2.5653212293938648,-0.435697308204404,0.6630563590037665,0.9994364900874442
Abraxas2,3.291343311209753,0.6872227561476606,1.0384381355703192,0.6617849755394739,0.50810903633178,0.9994364900874442
Acaa2,3.2577497357259535,-0.2989099889565131,1.0238023390743483,-0.29196064274161254,0.7703167160742113,0.9994364900874442
Acaca,11.880907817008703,0.4662112937047973,0.5660589629907139,0.8236090658146603,0.4101617230864799,0.9994364900874442
Acacb,0.5119495340613444,-1.4512220021017261,2.69349990661035,-0.5387867282045035,0.5900340222915679,0.9994364900874442
Acan,0.39711824112940625,-0.5231226351058006,3.0897817273721304,-0.16930731076292502,0.8655549258406405,0.9994364900874442
Ace,0.09571904374596556,0.500796259166527,4.414332606818716,0.1134477856047727,0.9096755567829218,0.9994364900874442
Ace2,0.0,,,,,
Acer1,0.0,,,,,
Ache,0.7284062838303451,-0.49678636321878467,2.147361004838805,-0.23134738970268146,0.8170449334181266,0.9994364900874442
Ackr1,3.140324108574532,-0.48459957378468055,1.0492272454264802,-0.46186331502257644,0.6441793429503471,0.9994364900874442
Ackr2,0.0,,,,,
Ackr3,1.6755132388022276,-0.40177219551074006,1.4105699691452032,-0.2848296818301127,0.7757746308932052,0.9994364900874442
Ackr4,0.0,,,,,
Acly,26.441595209752602,0.5905430774037322,0.39871907538487833,1.4811006391748092,0.1385797575841086,0.9994364900874442
Acod1,0.0,,,,,
Acot6,2.515618586798159,-0.11453100300213852,1.1337973754088098,-0.10101540670866559,0.9195382299514376,0.9994364900874442
Acox1,27.190028475801572,0.2564491877361357,0.3940942643191377,0.6507305762980173,0.5152204217836701,0.9994364900874442
Acp2,5.022106758403355,-0.4413014925791118,0.8761716953875827,-0.5036701081560252,0.6144932172474219,0.9994364900874442
Acp5,0.0,,,,,
Acr,0.2335432286258361,0.5418392473489393,4.149612425670723,0.13057586872377822,0.8961108332269176,0.9994364900874442
Acsl1,5.260827703119168,-0.8845080807631192,0.8065018201255832,-1.0967217415893609,0.2727630492670239,0.9994364900874442
Acsl4,8.07974887098561,-0.4241730793833462,0.692669438739614,-0.6123744684840932,0.5402900299807285,0.9994364900874442
Acsl6,18.661003773522598,-0.3766000210879344,0.4851782239348142,-0.7762096535036005,0.43762520714302544,0.9994364900874442
Acss1,1.669203356076918,0.6070926139176127,1.5062450594629546,0.4030503603006466,0.6869111771282086,0.9994364900874442
Acss2,6.901214121497415,-0.19831051083029655,0.7581979130876615,-0.2615550734276002,0.7936644846261479,0.9994364900874442
Actc1,0.0,,,,,
Actg2,0.0,,,,,
Actl6a,2.639741786824219,-0.6203855482633489,1.2462628649558554,-0.49779670542082943,0.6186273383133534,0.9994364900874442
Actl6b,2.3302888147917464,-1.8625666172272104,1.285275048966425,-1.4491579983016272,0.14729346413227523,0.9994364900874442
Actn1,3.7155383482338586,-0.5660428649677939,1.0055682915511273,-0.5629084267311684,0.5734972417755655,0.9994364900874442
Actn2,1.8554042638778656,-0.06070232559277848,1.3520991629503367,-0.04489487698544497,0.9641911003025527,0.9994364900874442
Actr1a,6.209241324977672,-0.11964202918964852,0.7423467196309335,-0.16116731713872187,0.8719616217143237,0.9994364900874442
Actr1b,6.570668197277127,0.5987737505597098,0.8211988120937327,0.7291459044285187,0.4659124173596446,0.9994364900874442
Actr2,36.80997761682392,-0.056453477783711736,0.346346624427781,-0.1629970492046277,0.8705207579954747,0.9994364900874442
Acvr1,3.6019921772395747,0.021015378018343564,1.0220414582031152,0.02056215807066319,0.9835949275639564,0.9994364900874442
Acvr1b,3.4124493726737275,0.1666099784973729,1.0281055031367219,0.16205533185947396,0.8712622811601662,0.9994364900874442
Acvr1c,1.7494978813894952,-0.6302394573226036,1.545617872248843,-0.4077589090022736,0.6834506838468666,0.9994364900874442
Acvr2a,2.4531148879358042,0.12698515216115322,1.1384636834667679,0.11154080187649652,0.9111875122262713,0.9994364900874442
Acvr2b,1.4872204419807622,1.295587912012422,1.6338899722259432,0.792946853237227,0.4278087879322856,0.9994364900874442
Acvrl1,0.1435785656189483,0.8084817370765192,4.377082766313212,0.1847078934167603,0.853458154660463,0.9994364900874442
Ada,1.908702532681623,1.8884039118464881,1.4981081659213762,1.260525744938497,0.20747976660377188,0.9994364900874442
Adad1,0.0,,,,,
Adad2,0.0,,,,,
Adam10,19.704306963201095,-0.059341676091078904,0.4659225814944659,-0.12736381203232955,0.8986524567536025,0.9994364900874442
Adam17,2.4332560527087033,0.6253008443900895,1.2487093012909203,0.500757737404255,0.616541632428558,0.9994364900874442
Adam18,0.5108430756241295,-0.8538261638746003,2.5253216671582175,-0.33810590348889047,0.7352833819165248,0.9994364900874442
Adam28,0.0,,,,,
Adamdec1,0.0,,,,,
Adamts1,15.567942152987916,0.6675627292081023,0.5994289799482091,1.1136644232078672,0.2654231773028185,0.9994364900874442
Adamts13,0.0,,,,,
Adamts14,0.0,,,,,
Adamts18,0.0,,,,,
Adamts20,2.3401235775780957,-1.658799412939855,1.252921240620078,-1.3239454797006278,0.1855211522790602,0.9994364900874442
Adamts3,0.04785952187298278,0.05455807875584376,4.4821302551416675,0.012172354583684299,0.9902881060387491,0.9994364900874442
Adamts5,0.0,,,,,
Adamts6,1.6424962744135438,-0.26863236066594287,1.4779939612792032,-0.18175470787001163,0.8557752302655048,0.9994364900874442
Adar,6.107183221962768,0.6297881014044963,0.7866033406225488,0.8006425460970674,0.4233386125057623,0.9994364900874442
Adarb1,6.758877798018723,-0.9112674123092955,0.7268043377674778,-1.253800183840994,0.20991464237781643,0.9994364900874442
Adcy1,22.86276550385324,-0.7400454814837387,0.42527288211954956,-1.7401661676506868,0.08182984444186059,0.9994364900874442
Adcy2,5.68786579406418,-0.7246292710891574,0.7768891329133413,-0.9327318923509602,0.35095841399548255,0.9994364900874442
Adcy3,0.18660301864477571,-0.8806843757010835,3.9920720797561975,-0.22060833524700996,0.8253974103713565,0.9994364900874442
Adcy8,0.5108430756241295,-0.8538261638746003,2.5253216671582175,-0.33810590348889047,0.7352833819165248,0.9994364900874442
Adcyap1,0.6445351804598469,1.1127512054560758,2.599030130108383,0.428140940947719,0.6685485112012026,0.9994364900874442
Adcyap1r1,3.6682297828118586,-0.16710401592687188,0.9656744525781864,-0.17304384047929672,0.8626169676674086,0.9994364900874442
Add2,26.149037860198273,-0.8470397184988766,0.45977354955995575,-1.8422976252321803,0.06543162695865144,0.9994364900874442
Adgra2,0.6195165181827772,1.1359645518335408,2.40812721688317,0.47172115487478916,0.6371258351884379,0.9994364900874442
Adgra3,1.3854078385984074,-0.011026479786095368,1.565042594294119,-0.007045482229235198,0.9943785650128205,0.9994364900874442
Adgrb1,14.404126945713656,0.16747858118451178,0.5278953119271024,0.3172571860377481,0.7510484611165349,0.9994364900874442
Adgre1,0.09571904374596556,0.500796259166527,4.414332606818716,0.1134477856047727,0.9096755567829218,0.9994364900874442
Adgre5,0.3253465154165686,-1.4553092963272374,3.251503334349731,-0.4475804410080007,0.6544560215040454,0.9994364900874442
Adgrf1,0.0,,,,,
Adgrf5,0.8660433221649232,-0.4312271374685278,1.9001979540761147,-0.22693800745522455,0.8204719472921495,0.9994364900874442
Adgrg1,10.537015144714351,1.304506679685382,0.6554798408921995,1.9901553004433612,0.04657383058783057,0.9994364900874442
Adgrg2,0.38505397766501875,1.7040837388368455,3.2505026808153263,0.5242523714545618,0.6001030192405001,0.9994364900874442
Adgrg5,0.0,,,,,
Adgrg6,0.04785952187298278,0.05455807875584376,4.4821302551416675,0.012172354583684299,0.9902881060387491,0.9994364900874442
Adgrg7,0.0,,,,,
Adgrl1,13.68837808692241,-0.360702383302517,0.5379865210356928,-0.6704673243636642,0.5025599295742381,0.9994364900874442
Adgrl2,0.04785952187298278,0.05455807875584376,4.4821302551416675,0.012172354583684299,0.9902881060387491,0.9994364900874442
Adgrl3,7.976420238913111,-0.2976750187185962,0.658358752348498,-0.45214712746922486,0.6511629947732751,0.9994364900874442
Adgrv1,0.5358617379011991,-1.3265203395855696,2.590990138101331,-0.511974291248225,0.6086690024209602,0.9994364900874442
Adh5,17.25916563192776,0.724110599785666,0.48956608528864076,1.479086524873841,0.13911719115736054,0.9994364900874442
Adipoq,0.0,,,,,
Adipor1,11.931255479071156,0.3694131844169453,0.5649929397556249,0.6538368153356514,0.5132169449498164,0.9994364900874442
Adm,0.16859722789601797,0.5543590014910984,4.4073391622931375,0.1257808807259266,0.8999053765324307,0.9994364900874442
Adora1,21.324620486884285,-0.27438850513405894,0.44361534805326536,-0.6185279800127944,0.5362273597014899,0.9994364900874442
Adora2a,0.04785952187298278,0.05455807875584376,4.4821302551416675,0.012172354583684299,0.9902881060387491,0.9994364900874442
Adora2b,0.2344625405177585,-0.4243917111015181,3.6304271271162865,-0.11689856213657705,0.9069404375909089,0.9994364900874442
Adprhl1,0.0,,,,,
Adra1a,1.6669917979928732,-1.0673373908893278,1.4207873343499704,-0.7512295225925906,0.45251453571056033,0.9994364900874442
Adra1b,0.40305976841377644,0.358945420656283,2.7831446753706897,0.12897116841706216,0.8973804625333515,0.9994364900874442
Adra2a,0.04785952187298278,0.05455807875584376,4.4821302551416675,0.012172354583684299,0.9902881060387491,0.9994364900874442
Adrb1,1.4505832243212593,1.2325101965452874,1.7288492129925221,0.7129078622258183,0.4759027737102022,0.9994364900874442
Adrb2,0.04785952187298278,0.05455807875584376,4.4821302551416675,0.012172354583684299,0.9902881060387491,0.9994364900874442
Adrb3,0.04785952187298278,0.05455807875584376,4.4821302551416675,0.012172354583684299,0.9902881060387491,0.9994364900874442
Adtrp,0.0,,,,,
Aebp2,7.41104652750422,0.517332970099604,0.7160376717959223,0.7224940676683406,0.46999077133652656,0.9994364900874442
Afap1l2,2.3314578700208464,0.3103049180720046,1.201361733461194,0.2582943250389688,0.7961797656734219,0.9994364900874442
Afdn,3.2133000037097434,0.9137128576767284,1.0594805027802592,0.8624159248603335,0.388458680370129,0.9994364900874442
Afg3l2,6.123029152624363,-0.11925676145757015,0.7674441187997648,-0.1553947167437811,0.8765101490021016,0.9994364900874442
Afp,0.0,,,,,
Ager,0.0,,,,,
Agl,6.354834426976123,-0.37764194430375403,0.7683956304580744,-0.4914681048857932,0.6230954054443377,0.9994364900874442
Ago1,5.336082539609399,0.6480855123501984,0.8407357224398921,0.7708552105641412,0.4407927578072104,0.9994364900874442
Ago2,4.137847977491128,-0.8282708005577785,0.9338531969960319,-0.8869389784412742,0.37511175464518476,0.9994364900874442
Ago3,7.898175364173311,-0.37334662840776567,0.6676396887347664,-0.5592037662040269,0.5760226631070643,0.9994364900874442
Agpat3,46.14013386074058,-0.06027859014733663,0.3187215095363313,-0.18912620687266612,0.8499939020145543,0.9994364900874442
Agpat4,40.08285790717803,-0.02292960744865348,0.3723957366996769,-0.061573227588116404,0.9509026977659495,0.9994364900874442
Agps,10.007998542595633,0.2925062689475384,0.6738279162367103,0.43409639449366966,0.6642184436029264,0.9994364900874442
Agr3,0.0,,,,,
Agrn,2.3674402749747343,1.0440537303020192,1.2680059339216814,0.8233823694128748,0.4102905858170184,0.9994364900874442
Agrp,0.0,,,,,
Agt,0.1914380874919311,1.0450192625681658,4.347054557194394,0.2403970892977762,0.8100224344616638,0.9994364900874442
