,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
2610035D17Rik,4.091778705303979,0.9667909788967669,1.1609665484010483,0.8327466284263647,0.4049876409497972,0.999687755041679
9630013A20Rik,1.9797705985230536,-0.01569104240966681,1.840070782639514,-0.008527412400493956,0.9931961917606312,0.999687755041679
A1cf,0.0,,,,,
A2m,2.330684775263199,1.795974408045435,1.9434364862476223,0.9241230267900823,0.3554222656755358,0.999687755041679
Aatf,3.864451985278585,0.7592616827225821,1.0962148008524446,0.6926212655878764,0.4885472612953937,0.999687755041679
Abca1,2.383268402612609,0.8740204933274383,1.4647270848823242,0.5967121809573535,0.5506995586038421,0.999687755041679
Abca13,0.0,,,,,
Abca3,4.380609851097712,0.43481583665896906,1.3310285533801072,0.32667656569407716,0.7439125265077204,0.999687755041679
Abca4,0.06360835760235012,-0.6507366252655253,2.5261146968052364,-0.25760375254872964,0.7967127333217922,0.999687755041679
Abca7,3.090640251672442,-0.5081398199283051,1.2689811490491314,-0.40043133840803136,0.6888388460826174,0.999687755041679
Abca8a,2.448590211338281,-0.9452151450176893,1.558612756756265,-0.6064464318801296,0.5442183436470165,0.999687755041679
Abca8b,1.85605158323491,1.2172907652982339,1.8195051196224106,0.6690229954125383,0.5034808092742322,0.999687755041679
Abcb1a,2.404084265696183,-3.9859174571244753,1.9890556853251673,-2.0039245188215355,0.04507814662779104,0.999687755041679
Abcb1b,0.9850654493099827,-1.9000087334684437,2.507953939100058,-0.7575931534652641,0.44869458013445196,0.999687755041679
Abcb4,2.5560179226883286,2.974946004329366,2.770023479574607,1.073978623743012,0.28283226236818804,0.999687755041679
Abcb8,1.0439469378570803,0.593514028970104,1.8290771461979418,0.3244882427205583,0.7455684220952622,0.999687755041679
Abcc1,0.5695351859994038,-0.6972448867412191,2.48796011193528,-0.28024761466085624,0.7792875383919436,0.999687755041679
Abcc6,0.1255163961453428,-0.0905404584448533,2.5167500058284538,-0.03597514979047335,0.9713021737187553,0.999687755041679
Abcc8,1.402741933173034,0.4768534380065415,1.784622439495255,0.2672013012127148,0.7893141743411733,0.999687755041679
Abcc9,0.04175223119673402,-1.7613511535030884,3.4649133334845534,-0.5083391657971871,0.6112155076444964,0.999687755041679
Abcd2,0.5896909933456624,-0.3669804068516379,1.9675340362251132,-0.1865179458626912,0.8520386070196009,0.999687755041679
Abcd3,12.359434537253229,0.025864634769561613,0.7760366707749617,0.03332913990228427,0.9734121163816377,0.999687755041679
Abcf1,3.7263496205347146,0.42948823473429626,1.0712884962059908,0.4009080992238275,0.6884877866761445,0.999687755041679
Abcg2,1.9327783285030504,1.2541497842050084,1.8227271030033716,0.6880622898175496,0.49141355641160367,0.999687755041679
Abcg8,0.010438057799183505,-1.4386968707177692,3.38233308910956,-0.4253563539765161,0.6705769181621255,0.999687755041679
Abhd17c,5.137402522146723,-0.09518893951557396,1.1588947302796584,-0.0821376929486973,0.934537219737234,0.999687755041679
Abhd4,12.542438771970106,0.25821000314230586,0.9556118362375523,0.27020385615872416,0.7870034262159538,0.999687755041679
Abhd5,7.308262323951806,0.00599065924350925,0.864825388014152,0.006927015934702438,0.9944730851334666,0.999687755041679
Abi1,18.95591077957633,-0.3056432002590248,0.8462580032326833,-0.3611702330630562,0.7179721929698002,0.999687755041679
Abi3bp,1.0173596335147823,-1.4590546247511758,2.5851497109246844,-0.5643985021777657,0.5724829579993531,0.999687755041679
Abitram,3.2500793367802197,0.7975468230246049,1.3568906982198978,0.5877752895431482,0.5566831321831051,0.999687755041679
Abl1,17.432395457921242,-0.16805731455587258,0.7821455761301528,-0.2148670524832158,0.8298709732278108,0.999687755041679
Abracl,0.8686564521074476,-0.012851348895480168,2.4841707485725872,-0.005173295315092408,0.9958723259511015,0.999687755041679
Abraxas1,0.25247340879490227,-1.2722770831406751,2.545727000710833,-0.4997696464646139,0.6172372857770894,0.999687755041679
Abraxas2,3.4280397262797475,-1.413431024080819,1.217325518104904,-1.1610953710074245,0.24560311701150195,0.999687755041679
Acaa2,3.475500289509036,0.5278056044004125,1.1611638359985874,0.45454877945497313,0.649433891213061,0.999687755041679
Acaca,10.776610450733697,-0.25452926331608133,0.9397602746340774,-0.2708448847927623,0.786510336547496,0.999687755041679
Acacb,0.09492253099990063,-1.035004676035618,2.58080317564471,-0.4010397560740228,0.6883908539183603,0.999687755041679
Acan,0.1255163961453428,-0.0905404584448533,2.5167500058284538,-0.03597514979047335,0.9713021737187553,0.999687755041679
Ace,0.39984593134586116,-0.32400746719051665,1.997738236397747,-0.16218714808940926,0.8711584801447053,0.999687755041679
Ace2,0.05219028899591752,-1.8416330674735821,3.463224360281356,-0.5317683395262228,0.5948864533210465,0.999687755041679
Acer1,0.010438057799183505,-1.4386968707177692,3.38233308910956,-0.4253563539765161,0.6705769181621255,0.999687755041679
Ache,3.150902224542571,0.9355055572894088,1.3161410817707746,0.7107942835662818,0.4772117235131349,0.999687755041679
Ackr1,1.0570653255228701,0.6397141331836077,1.8951326737514251,0.3375563843333935,0.7356975149787035,0.999687755041679
Ackr2,0.0,,,,,
Ackr3,0.272629216141161,-0.6542916534397559,2.118927031822378,-0.30878441947905777,0.7574855218201002,0.999687755041679
Ackr4,0.0,,,,,
Acly,28.138124574771098,-0.22486155327303256,0.8342173390770714,-0.26954792563027524,0.7875080670790391,0.999687755041679
Acod1,0.0,,,,,
Acot6,1.2233539420576978,0.47401480122756867,1.8137109879351934,0.26135079093676744,0.7938220016629828,0.999687755041679
Acox1,20.126867562093697,0.45362448236549485,0.6350946354231866,0.7142628154357318,0.4750646809445681,0.999687755041679
Acp2,4.664845143137134,0.5242171099797215,0.9406754905274816,0.5572773132270811,0.5773379736171054,0.999687755041679
Acp5,0.010438057799183505,-1.4386968707177692,3.38233308910956,-0.4253563539765161,0.6705769181621255,0.999687755041679
Acr,0.0427322420039831,-0.58699321597464,3.249381063555324,-0.18064770012919903,0.8566441124890773,0.999687755041679
