,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
2610035D17Rik,146.96186498418132,0.17964450284729278,0.23563822028103903,0.7623742134575446,0.44583669204132004,0.9999672489046989
9630013A20Rik,226.9970983606809,-0.024288975579280288,0.8025922165983048,-0.030263158646399946,0.975857178246993,0.9999672489046989
A1cf,0.5905565328940287,0.504826176629099,2.720182223666312,0.18558542594572394,0.8527698834246993,0.9999672489046989
A2m,19.710758614020012,0.8241376775684542,0.5856236872494445,1.4072820063670264,0.15934378276607797,0.9999672489046989
Aatf,195.67886803701825,0.06392461940694802,0.20884700746719612,0.30608348274747843,0.7595410836465286,0.9999672489046989
Abca1,175.2529410396227,0.7595675113666317,0.39461637425286783,1.9248251236526372,0.054251239788641645,0.9999672489046989
Abca13,0.3302908062793067,0.3740456969380406,3.8863670267559662,0.09624559244222092,0.9233255213278397,0.9999672489046989
Abca3,316.0054682979951,0.06947798161713356,0.140826117296109,0.4933600595622842,0.6217581982774307,0.9999672489046989
Abca4,2.292915155284966,1.237518645515403,1.5770332350609182,0.7847131043294719,0.43262179780176613,0.9999672489046989
Abca7,77.7708715296036,-0.2610400839637852,0.25044976320933404,-1.0422852096913322,0.2972794674739413,0.9999672489046989
Abca8a,87.78384557838547,-1.5287911438221644,1.0976619380558605,-1.3927704795247837,0.1636892079898713,0.9999672489046989
Abca8b,103.617817528159,-0.35832008743844523,0.2551631734359575,-1.4042782217096805,0.16023601680608823,0.9999672489046989
Abcb1a,39.112709622178876,-0.6844584764096191,0.3747155963012556,-1.8266079212228552,0.06775874153250365,0.9999672489046989
Abcb1b,5.903662181501818,-0.09787621920392933,0.7957812488470095,-0.12299387469325282,0.9021119484262272,0.9999672489046989
Abcb4,10.727715561904828,-0.14435415060842555,0.5899136533093301,-0.24470386436831845,0.8066857356662145,0.9999672489046989
Abcb8,75.7248216830291,-0.007509330651293835,0.2397342200170939,-0.031323565950486305,0.9750114967163572,0.9999672489046989
Abcc1,76.41832325363798,-0.1568965686963607,0.2491657400579967,-0.629687567238742,0.52889901846565,0.9999672489046989
Abcc6,1.696993900131628,-0.4398109454509982,1.525942474675068,-0.28822249380315,0.7731764314696236,0.9999672489046989
Abcc8,24.57913420682767,0.243371938046737,0.4008537158140097,0.6071340452776496,0.5437619579878423,0.9999672489046989
Abcc9,3.9314740449042858,0.6818856844241881,1.0811546673615569,0.6307013279499202,0.5282358306232542,0.9999672489046989
Abcd2,34.330694568784786,-0.18031034650624356,0.3763273272420954,-0.4791316852476355,0.631844949920906,0.9999672489046989
Abcd3,660.9751661706318,0.059192410622887215,0.1209386164793598,0.4894417709250824,0.6245289695486453,0.9999672489046989
Abcf1,169.0965142271758,0.043953860132544945,0.1695710176822731,0.259206205950251,0.7954761430494816,0.9999672489046989
Abcg2,58.717300512430974,-0.2448346751528332,0.3395424816477566,-0.7210722910567231,0.47086503817087877,0.9999672489046989
Abcg8,0.49783287568038476,-0.6517011006348539,2.968882108380841,-0.2195106025918545,0.8262523215882076,0.9999672489046989
Abhd17c,140.36254684138672,0.23322635791634663,0.2032471005311689,1.1475015255166223,0.2511744030045501,0.9999672489046989
Abhd4,470.4442851065576,-0.10451865951188719,0.13404972339406598,-0.7797006727468856,0.4355670827703806,0.9999672489046989
Abhd5,312.0756602725656,-0.2170799937760308,0.1524814691330611,-1.4236483620616127,0.15454828866003006,0.9999672489046989
Abi1,568.1981726160658,0.03861571995285281,0.11753130625626111,0.3285568856748385,0.7424906405619272,0.9999672489046989
Abi3bp,2.4859145044714492,1.2691044443598953,1.5767860077390747,0.8048679009903452,0.4208959132894682,0.9999672489046989
Abitram,109.51450838232257,0.03688896424140364,0.21365298990685436,0.17265831036338886,0.8629200150604156,0.9999672489046989
Abl1,655.8886456546494,-0.1550212942333139,0.15068053502153506,-1.0288076971000832,0.3035700490631983,0.9999672489046989
Abracl,13.733851958611957,0.2800197969054695,0.5268964723537634,0.5314512652828345,0.5951061043612345,0.9999672489046989
Abraxas1,44.22040591484937,0.017984809253158745,0.32503052431590695,0.05533267772622724,0.9558734289746266,0.9999672489046989
Abraxas2,123.4166575425342,0.1484497290568451,0.19271751387170716,0.7702970325554774,0.4411237162397278,0.9999672489046989
Acaa2,100.76005870294792,-0.05536536432152434,0.23220558419468565,-0.23843252742408189,0.8115456415306896,0.9999672489046989
Acaca,606.7611780841079,-0.1688950127804715,0.11582354014087988,-1.4582097264082854,0.14478274366090996,0.9999672489046989
Acacb,7.7728802772059025,-0.13211923357412822,0.7022604528336621,-0.1881342357255337,0.8507714240219073,0.9999672489046989
Acan,4.243196073953483,1.140336249653046,1.3069556245542286,0.8725133648221511,0.38292838037101884,0.9999672489046989
Ace,28.708224012780196,-0.16120205993218242,0.36345048278662795,-0.44353238629984104,0.6573806992082079,0.9999672489046989
Ace2,2.81257813457348,-0.1744806294879818,1.1418556825029973,-0.1528044499507264,0.8785524883968252,0.9999672489046989
Acer1,0.40425958675123835,0.3740467233149864,3.6517002052687153,0.1024308410573539,0.91841470478551,0.9999672489046989
Ache,191.91307649354894,0.28710120551793433,0.21496854722428357,1.3355498244977786,0.18169645956420444,0.9999672489046989
Ackr1,110.22945621967877,0.38911134930957575,0.2556465882852828,1.5220674444337043,0.12799218228508524,0.9999672489046989
Ackr2,0.4472446210452659,-2.087389760035288,3.2578442563830268,-0.6407273017872197,0.5216998727254698,0.9999672489046989
Ackr3,14.850891346934867,-0.24559216931382538,0.5897784093339952,-0.41641430989506606,0.6771068589925784,0.9999672489046989
Ackr4,0.11679903426907752,-0.5877448539788016,4.428490328756174,-0.13271901039555412,0.8944156077469446,0.9999672489046989
Acly,1079.794989006802,-0.22189588532737803,0.1317946762843593,-1.6836483201234698,0.09224965448415738,0.9999672489046989
Acod1,0.3581551036452055,0.3740461137831388,3.792825749413674,0.09861937734444085,0.9214404841255108,0.9999672489046989
Acot6,95.3387330565713,-0.03356709696938694,0.22079783274815262,-0.15202638790243195,0.8791661230154514,0.9999672489046989
Acox1,978.9110114093965,0.04924892162479989,0.11726080462987597,0.41999474402593473,0.6744892933230056,0.9999672489046989
Acp2,199.8658158101947,0.13388654961028212,0.16675090795711564,0.8029134668622887,0.4220247517332326,0.9999672489046989
Acp5,0.28418632317327386,0.3740447896082221,4.0825247553293496,0.09162094831634322,0.9269992071036622,0.9999672489046989
Acr,4.939905537265548,0.9889585603541496,0.9552610924036823,1.035275662558051,0.30054019229359763,0.9999672489046989
Acsl1,239.14684472742223,-0.3001792537552628,0.17570928168564184,-1.7083858682679487,0.08756476767014446,0.9999672489046989
Acsl4,315.82559574167664,0.04909156604015002,0.1598635810745618,0.30708411328064317,0.7587793496487981,0.9999672489046989
Acsl6,718.9531728690337,-0.10233291432792373,0.14202056862184378,-0.7205499549885915,0.47118645393286973,0.9999672489046989
Acss1,78.17510818796332,0.09448460314753604,0.26132805718882623,0.36155552589313,0.7176842044206589,0.9999672489046989
Acss2,262.9301523935144,-0.1699265874667314,0.19225182362713397,-0.8838750356735151,0.3767636748166029,0.9999672489046989
