,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
2610035D17Rik,134.36164078069746,0.20916648204445973,0.21705195344574335,0.963670120097515,0.3352113393543391,0.9996968008138686
9630013A20Rik,297.95741736863016,0.11414847442499046,0.2587313530093261,0.44118531866091987,0.6590788408840832,0.9996968008138686
A1cf,0.31090109863759396,1.9760483975701144,4.125427827213954,0.478992356752635,0.6319440661165359,0.9996968008138686
A2m,4.817031296901859,-0.17383115279023653,1.1288936928490376,-0.1539836336152533,0.8776226401539939,0.9996968008138686
Aatf,184.00567542879898,0.14931502110480876,0.19339971059974137,0.772054004847143,0.44008244241645433,0.9996968008138686
Abca1,123.998058472962,0.27404370408610934,0.3051947276734816,0.8979306627449352,0.369222516261521,0.9996968008138686
Abca13,0.11824582641944208,-0.7641024895972897,4.439163973608573,-0.1721275659425923,0.8633372416948475,0.9996968008138686
Abca3,309.7392682210848,0.0791377908844617,0.15758688179594157,0.5021851437287578,0.6155372922177201,0.9996968008138686
Abca4,2.1889796462702313,0.07332529324993854,1.2628925905237847,0.05806138526755223,0.9536997325705093,0.9996968008138686
Abca7,87.4338800899581,-0.06664599309611997,0.23603583096034372,-0.282355406909882,0.7776710045082156,0.9996968008138686
Abca8a,79.3634783183593,-0.8190040177945257,0.9499267229512998,-0.8621759952704414,0.3885906770790971,0.9996968008138686
Abca8b,108.14080813511133,-0.3060943410143123,0.2165884044617311,-1.413253593954038,0.1575811734059852,0.9996968008138686
Abcb1a,48.42918645255259,-0.1949786065172975,0.29842418282492245,-0.6533606113003458,0.513523825753601,0.9996968008138686
Abcb1b,8.029564882324573,-0.8224966431003513,0.7137913648016501,-1.1522927898250892,0.24920077881429814,0.9996968008138686
Abcb4,9.447395405306096,0.010950136392089022,0.6314335536556149,0.01734170813174944,0.9861640123211289,0.9996968008138686
Abcb8,65.31263258092493,-0.03729476369980871,0.2608608827014183,-0.14296801925069139,0.8863154386281266,0.9996968008138686
Abcc1,89.44577760927336,-0.13988777202754193,0.2527418845282752,-0.5534807667064465,0.5799342470871953,0.9996968008138686
Abcc6,1.9561641955541178,0.841464630395917,1.3883324216216004,0.606097370695319,0.5444500968572474,0.9996968008138686
Abcc8,63.26340606020193,0.35807580057698485,0.26186809261106925,1.367389959603841,0.17150310774591593,0.9996968008138686
Abcc9,2.6840825288677466,0.578069203154235,1.2154098615214664,0.4756166799820105,0.6343474899258251,0.9996968008138686
Abcd2,62.58803384793538,0.14246406272928014,0.25675988588348975,0.5548532717214489,0.5789950260220196,0.9996968008138686
Abcd3,573.5636970696804,0.02010217365793165,0.1431076567007568,0.1404688897950863,0.8882895311015988,0.9996968008138686
Abcf1,167.37686135889103,0.12873347705938742,0.17981874414057697,0.715906885428737,0.47404884659793456,0.9996968008138686
Abcg2,75.2059806508683,-0.03392382976415553,0.23930471679957288,-0.14175997121096479,0.8872696030245533,0.9996968008138686
Abcg8,0.21276269017534624,-1.4002620252487243,4.359727523664869,-0.321181087039962,0.7480731638509454,0.9996968008138686
Abhd17c,159.91278489657333,0.11804013028417147,0.18595778387754136,0.6347684287413553,0.5255794569012691,0.9996968008138686
Abhd4,377.78657543348163,-0.11861004170412352,0.14968592781855353,-0.7923927347926812,0.4281317143228116,0.9996968008138686
Abhd5,285.05657603933884,-0.22982314354116146,0.16664776349111352,-1.3790952769277145,0.16786537989260264,0.9996968008138686
Abi1,663.9661864600796,0.03229210562109308,0.12971426863887692,0.24894798359457232,0.8034010178832254,0.9996968008138686
Abi3bp,10.306031441342109,-0.621500039156959,0.6560587369615988,-0.9473237747511887,0.34347381961599766,0.9996968008138686
Abitram,131.33973367071204,0.06434097812843918,0.2104617487866108,0.30571340635240624,0.7598228649274646,0.9996968008138686
Abl1,590.2317069697373,-0.23670215678318182,0.14749161163334762,-1.604851653337442,0.10852645539626458,0.9996968008138686
