,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
2610035D17Rik,42.0882076154581,0.3391650212249031,0.33804769186212624,1.00330524180367,0.31571360778924873,0.9989528241627993
9630013A20Rik,70.65106811027674,-0.19578124394391905,0.3287314809157154,-0.5955658502755813,0.5514652959017314,0.9989528241627993
A1cf,0.0,,,,,
A2m,11.196686977337373,0.15704246208945027,0.6190623461879459,0.25367794222421103,0.7997443762944417,0.9989528241627993
Aatf,60.84176662711129,0.06273414606255212,0.30891622964319765,0.2030781812111681,0.8390739252645465,0.9989528241627993
Abca1,83.56154571953071,0.5815928219693765,0.35519565825981964,1.6373871933534478,0.10154959241045841,0.9989528241627993
Abca13,0.3673413105284456,0.06289684516389088,3.375816271233772,0.01863159606755013,0.985134997190086,0.9989528241627993
Abca3,69.45366748296112,-0.44295164847102186,0.3042965510903843,-1.4556578011935906,0.1454872408175836,0.9989528241627993
Abca4,1.4569276537651532,0.9662776430228591,1.595080073974619,0.6057862917283453,0.5446566737461485,0.9989528241627993
Abca7,18.52135025713331,-0.4811322870452223,0.4977468793710494,-0.9666203988123016,0.33373383327918726,0.9989528241627993
Abca8a,17.946930693750915,-1.158805263810588,0.5763392888952215,-2.0106303459406507,0.044364516268378965,0.9989528241627993
Abca8b,24.228028335307442,-0.6711229352697478,0.4375396560671432,-1.533856248144876,0.125065021561112,0.9989528241627993
Abcb1a,10.162179563579377,0.8688963152771934,0.6518942982359006,1.3328791456353042,0.18257146728300488,0.9989528241627993
Abcb1b,1.434517113897149,-0.4674434643027324,1.5482775319721769,-0.3019119341655166,0.7627191978889515,0.9989528241627993
Abcb4,1.9095934970872126,0.2898239368524022,1.3486307567418034,0.21490236330705992,0.8298434422876253,0.9989528241627993
Abcb8,20.838552893829203,-0.2750099874292642,0.4791246961523422,-0.5739841624482287,0.5659785185711366,0.9989528241627993
Abcc1,27.745633999271703,0.17780748359268042,0.39055575944625887,0.4552678568734487,0.648916547814206,0.9989528241627993
Abcc6,0.422320776720776,2.292715937385947,3.5821300305139703,0.6400426332533171,0.5221448828401631,0.9989528241627993
Abcc8,1.3107500395695642,-0.9994443423103017,1.6839679887412762,-0.5935055470130174,0.552842871816859,0.9989528241627993
Abcc9,0.4885769281531765,1.0392938292721954,2.7772980054445404,0.3742104114267866,0.7082477786055369,0.9989528241627993
Abcd2,4.821210360654295,-0.6022822787105361,0.8816383328096667,-0.6831398503183735,0.49451847637839463,0.9989528241627993
Abcd3,236.66641498059417,-0.25837249092662096,0.21466604910542966,-1.2036020227852873,0.22874343729426594,0.9989528241627993
Abcf1,62.42062079322637,-0.022310600196181987,0.28314369641345577,-0.07879603352922014,0.9371948590247186,0.9989528241627993
Abcg2,9.079512977542144,0.09765382282752708,0.6521479662858255,0.14974181915140258,0.8809683132183608,0.9989528241627993
Abcg8,0.0,,,,,
Abhd17c,44.03507382741419,0.10965267324821631,0.33429138848364753,0.32801524964673195,0.7429001324142055,0.9989528241627993
Abhd4,246.13842600373331,-0.009854669044557899,0.19535177693900913,-0.05044576097014275,0.9597671708021975,0.9989528241627993
Abhd5,136.6234916739471,-0.09579534690229329,0.2301109568234571,-0.416300676094221,0.6771899979065094,0.9989528241627993
Abi1,148.1236707116257,0.1226284793487067,0.22558981558317207,0.543590494241506,0.5867233025434039,0.9989528241627993
Abi3bp,2.085133638391763,-1.0209013529471953,1.4145720549026184,-0.7217033232128115,0.47047689849003227,0.9989528241627993
Abitram,38.16777721915518,0.0963099836337269,0.34211347784320895,0.28151473084572803,0.778315631173125,0.9989528241627993
Abl1,259.9026717078028,-0.269552273678496,0.22911939232809894,-1.1764707951586098,0.23940679615501703,0.9989528241627993
Abracl,2.445910975781224,0.41332289672575134,1.3008378637471067,0.3177359056378948,0.7506852727373605,0.9989528241627993
Abraxas1,9.148970966242265,0.2222929465366489,0.6507184688385396,0.34161155274018457,0.7326432418903293,0.9989528241627993
Abraxas2,37.874551445210066,0.034055386112390625,0.3462226068791989,0.09836268757653062,0.9216443019606426,0.9989528241627993
Acaa2,42.46509665220343,0.2137402845463194,0.33377800229276927,0.6403666001896666,0.5219342915732018,0.9989528241627993
Acaca,219.23994474308094,-0.23579542809553308,0.2279665527319247,-1.0343422105997044,0.3009762102295299,0.9989528241627993
Acacb,3.8006134911256986,-0.2564055517613913,0.9841209558637116,-0.2605427211295968,0.7944451661244608,0.9989528241627993
Acan,0.33957737627553813,-1.9432018914428923,3.8789863832061107,-0.5009561002471917,0.6164020189533028,0.9989528241627993
Ace,6.783656997333572,-0.8717553810583569,0.7574071597870499,-1.1509732510364135,0.24974324020635064,0.9989528241627993
Ace2,0.34124845552893346,0.06638151358308987,3.4550612127406937,0.019212832854684326,0.9846713203552093,0.9989528241627993
Acer1,0.0,,,,,
Ache,2.10012164583959,0.5298742085988856,1.2923565335598275,0.4100062133313429,0.6818013896784523,0.9989528241627993
Ackr1,3.9783449325083855,0.047897682355346805,0.954213925480797,0.050195958239880795,0.9599662323530624,0.9989528241627993
Ackr2,0.0,,,,,
Ackr3,3.719970767552418,-0.382125420275698,1.1565710266740197,-0.33039511751784556,0.741101430258384,0.9989528241627993
Ackr4,0.7672515473812176,-0.634173107358485,2.158244506332186,-0.2938374709157612,0.7688821006804023,0.9989528241627993
Acly,339.03114343916667,-0.21277954941395288,0.20315085108843672,-1.0473967904831691,0.29491661137572134,0.9989528241627993
Acod1,0.0844641553441552,0.792399408974007,4.4542327259096215,0.17789807083153408,0.8588030259342062,0.9989528241627993
Acot6,38.13436835437086,-0.1540744176441538,0.3471706567250043,-0.4438002309803416,0.6571870213972153,0.9989528241627993
Acox1,247.4298168411434,0.09534650489799681,0.21658592035742977,0.44022485275426654,0.6597742613268407,0.9989528241627993
Acp2,57.2518331030574,0.2374038392193946,0.31242195768827047,0.7598820549491347,0.4473250890771273,0.9989528241627993
Acp5,0.14818885007370175,-1.0489721070606506,4.441716510347476,-0.23616367785223408,0.8133056632626426,0.9989528241627993
Acr,0.17145976739116434,1.0513301897027478,4.415151725658759,0.23811870011010441,0.811789031237038,0.9989528241627993
Acsl1,109.13801752654963,-0.17262340806833004,0.26498124527316386,-0.6514551921981347,0.5147526926358923,0.9989528241627993
Acsl4,48.74360369010105,-0.2190343424017098,0.313544968687669,-0.6985739344454164,0.4848183379628058,0.9989528241627993
Acsl6,98.11437589065771,0.024656526687676244,0.26451496807930314,0.09321410756719097,0.925733466968911,0.9989528241627993
Acss1,17.184651248343695,-0.21089487146071928,0.47887094592066093,-0.4404002231859358,0.6596472632974245,0.9989528241627993
Acss2,74.46993740855618,-0.20139357947847605,0.26762617138489186,-0.752518254983508,0.4517394560464276,0.9989528241627993
Actc1,0.17145976739116434,1.0513301897027478,4.415151725658759,0.23811870011010441,0.811789031237038,0.9989528241627993
Actg2,0.7204192317670969,-1.9738185580628114,2.4634963821699505,-0.8012264894516263,0.4230005385843799,0.9989528241627993
Actl6a,36.821561865201694,0.1523999743140846,0.35069295699094155,0.4345681065902362,0.6638759492319428,0.9989528241627993
Actl6b,4.6369249908125285,0.4282674148398766,0.8826129219286137,0.48522676724929614,0.6275154966313213,0.9989528241627993
Actn1,18.859752949260244,-0.31575446570682414,0.5093759006496502,-0.6198849715978234,0.5353335206483998,0.9989528241627993
Actn2,4.204679120049634,-0.7051155547739393,0.9302207383577912,-0.7580088528436252,0.4484456829705068,0.9989528241627993
Actr1a,65.75326278608237,-0.21166144150869987,0.2757850187604688,-0.7674870899805365,0.4427919660500359,0.9989528241627993
Actr1b,52.8535167241459,-0.04769654498917238,0.3091588276655222,-0.15427845081873287,0.8773901876384873,0.9989528241627993
Actr2,319.2387887088869,0.17359265513631167,0.18742673297123585,0.9261894095062349,0.3543475553009773,0.9989528241627993
Acvr1,42.71319224123741,0.09773492927791208,0.33648423313916737,0.2904591646571732,0.7714649866575957,0.9989528241627993
Acvr1b,28.593440066785124,-0.5379445097775064,0.39244169262713413,-1.3707628926384667,0.17044888197184793,0.9989528241627993
Acvr1c,1.7073434604277995,0.6694359814595626,1.4795101725621775,0.45247136104529156,0.6509294483230801,0.9989528241627993
Acvr2a,20.98693002877447,-0.06616255971590533,0.4580460996699448,-0.1444451983404732,0.8851489278966054,0.9989528241627993
Acvr2b,12.131165160488807,-0.2863450426249784,0.5792377056214172,-0.4943480713462568,0.6210603809762139,0.9989528241627993
Acvrl1,3.429094987153258,0.9529205146096115,1.0652896394764921,0.8945177717844871,0.3710449254381446,0.9989528241627993
Ada,29.685561173708738,0.49513179857160894,0.4171078077959523,1.1870595306953011,0.2352041397586495,0.9989528241627993
Adad1,0.0844641553441552,0.792399408974007,4.4542327259096215,0.17789807083153408,0.8588030259342062,0.9989528241627993
