,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
2610035D17Rik,10.765683491581811,0.13583189564747059,0.5978610015652562,0.22719644748837928,0.82027098996781,0.9989196623817386
9630013A20Rik,40.24856936667859,0.984312139257361,1.156346823135257,0.8512257045758553,0.3946439865851429,0.9989196623817386
A1cf,0.0,,,,,
A2m,1.2183948706973036,2.4506936878138914,1.9373237992808068,1.2649892024883311,0.205875198504618,0.9989196623817386
Aatf,12.664314910053305,0.10239265104133147,0.5441228911662502,0.1881792747624849,0.8507361185922585,0.9989196623817386
Abca1,9.788797453353384,0.08058801544152382,0.6395145730953627,0.12601435343601894,0.899720562749915,0.9989196623817386
Abca13,0.0,,,,,
Abca3,17.221753172629388,0.13204528481330619,0.4796131776068428,0.27531621518862587,0.7830733077548087,0.9989196623817386
Abca4,0.05616692310821991,0.4660699582644963,4.483313101562647,0.10395659364099484,0.9172037951215666,0.9989196623817386
Abca7,4.606139505315407,-0.27752344844366117,0.8902495269229233,-0.3117366985893258,0.7552406353187588,0.9989196623817386
Abca8a,4.602750342260705,-0.5726940291982947,0.9435903513025921,-0.6069307813583633,0.5438968493460611,0.9989196623817386
Abca8b,5.165651192821273,0.005314494668036026,0.8266969942857245,0.0064285883519242856,0.9948707639353747,0.9989196623817386
Abcb1a,5.1771521389034385,-0.9784096137641571,1.7855820141179952,-0.5479499715096826,0.583726254929617,0.9989196623817386
Abcb1b,0.11233384621643983,0.9130364781477047,4.4154335515395005,0.20678297328908105,0.8361793541109386,0.9989196623817386
Abcb4,0.6092021606456789,0.8243964062976556,2.6505879572073248,0.3110239764185168,0.7557823944271428,0.9989196623817386
Abcb8,3.689146502756916,0.34439455128432744,0.9562748644221007,0.3601418003310723,0.7187410949756645,0.9989196623817386
Abcc1,3.86980216265285,1.159100690189325,0.9664351778555187,1.1993568909208412,0.23038920245692485,0.9989196623817386
Abcc6,0.0,,,,,
Abcc8,1.2211253724247322,-1.135912935412104,1.6724382069497687,-0.6791957578413663,0.4970138348509533,0.9989196623817386
Abcc9,0.14202583053934323,-1.3242993596887007,4.466649456104549,-0.29648607366731833,0.7668589007499553,0.9989196623817386
Abcd2,3.701334613248863,-0.14096404005981936,1.0094882982277074,-0.13963910261000617,0.8889451438700763,0.9989196623817386
Abcd3,47.386358306492355,0.3334703832286906,0.32999568106427857,1.0105295383054882,0.3122416549219764,0.9989196623817386
Abcf1,11.78321484207934,-0.3766319424710287,0.6096379568285997,-0.6177960841387032,0.5367097650535233,0.9989196623817386
Abcg2,4.7504467970067585,0.08164436926596114,0.8770693890891021,0.0930876966881201,0.9258338916141879,0.9989196623817386
Abcg8,0.0,,,,,
Abhd17c,12.356601031887374,-0.0632003282103383,0.5646138315938428,-0.11193549409147614,0.9108745532259193,0.9989196623817386
Abhd4,42.04116107999642,0.3936175369873664,0.3615069775177559,1.0888241762028876,0.2762314281882233,0.9989196623817386
Abhd5,21.190354782217018,0.13267744015185118,0.43937489868930246,0.30196863896331066,0.7626759701020737,0.9989196623817386
Abi1,36.4192042644791,-0.08532567580058119,0.3633973833523724,-0.2347999179670597,0.8143640314142039,0.9989196623817386
Abi3bp,0.2753361088515039,1.4232424633567133,3.6362736193200287,0.3914013664414107,0.6955005824493374,0.9989196623817386
Abitram,8.359616472665918,-0.10333064476025645,0.6552845256599679,-0.1576882113249772,0.8747024902678995,0.9989196623817386
Abl1,45.77113223000407,-0.23988894922448695,0.3406316577447216,-0.7042473703494292,0.48127873547904376,0.9989196623817386
Abracl,0.9602654763739231,-0.7036523089332776,1.922803545402263,-0.3659512229503763,0.7144014730494694,0.9989196623817386
Abraxas1,4.487535346676882,0.2054223660862338,0.9102884750634299,0.2256673260330136,0.8214601726072985,0.9989196623817386
Abraxas2,6.899800569926472,0.2940274124083063,0.7145587023652001,0.41148111615612704,0.6807197852733493,0.9989196623817386
Acaa2,10.762457968359866,-0.012712725273792734,0.5744750177423523,-0.0221292917553715,0.9823448207518676,0.9989196623817386
Acaca,35.09320147794248,0.1262653744174224,0.35722171068427877,0.353465006859616,0.7237398582914504,0.9989196623817386
Acacb,0.8565656237022234,0.9133524156046398,2.0701649427516258,0.44119789527042624,0.6590697368071241,0.9989196623817386
Acan,0.0,,,,,
Ace,0.717756838700467,-0.8274512186003796,2.1541320160443296,-0.38412279862022697,0.7008874344534297,0.9989196623817386
Ace2,0.0,,,,,
Acer1,0.0,,,,,
Ache,1.1007519022985932,0.5407687337798395,1.777119123141878,0.30429515204573415,0.7609030382585524,0.9989196623817386
Ackr1,3.287165950068984,-0.21245577163773877,1.0321975860107198,-0.2058285879730127,0.8369248093259294,0.9989196623817386
Ackr2,0.0,,,,,
Ackr3,1.6921529787811078,-0.6119038433399391,1.3969120736458358,-0.43804034261291475,0.6613570390870269,0.9989196623817386
Ackr4,0.0,,,,,
Acly,57.198785215970794,0.4896167815860762,0.3173281081090881,1.5429354320473883,0.12284644284938849,0.9989196623817386
Acod1,0.05616692310821991,0.4660699582644963,4.483313101562647,0.10395659364099484,0.9172037951215666,0.9989196623817386
Acot6,6.44152800131523,0.3577818629597328,0.7703622749727486,0.4644332602766527,0.6423373651979841,0.9989196623817386
Acox1,67.69393306588252,0.3948379449094066,0.30059551981866167,1.31351906092146,0.18900810234284315,0.9989196623817386
Acp2,8.837531545016327,-0.054745136661331024,0.6394825987664248,-0.0856084853081781,0.9317776529259523,0.9989196623817386
Acp5,0.42607749161802966,-2.5238675971952524,3.373297791981281,-0.7481899769403038,0.4543455758216096,0.9989196623817386
Acr,0.0,,,,,
Acsl1,10.170823763543817,0.31480583021664704,0.6455699039275336,0.4876401893914568,0.6258047234622841,0.9989196623817386
Acsl4,14.974471755325276,-0.2179645567708871,0.5108072342173754,-0.4267060882660321,0.6695934155300886,0.9989196623817386
