,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
2610035D17Rik,78.77278350379532,-0.05675591878530885,0.261019123251596,-0.21743969590535284,0.8278656982786676,0.9990403171375245
9630013A20Rik,172.64593691944114,-0.6158073524117392,0.2858098143790258,-2.154605340441837,0.03119273078053293,0.9990403171375245
A1cf,0.3524442015133906,-1.8730615280646745,3.8972140461431812,-0.48061551300173555,0.630789787919984,0.9990403171375245
A2m,2.0292697413179965,1.032952106368388,1.4193510155889537,0.7277636715818102,0.46675826639320994,0.9990403171375245
Aatf,76.04425629507686,-0.07433390624890403,0.26032883821192293,-0.2855385010722165,0.7752316119576281,0.9990403171375245
Abca1,71.96140295103005,0.18041891415456052,0.3351709975330463,0.5382891583176794,0.5903774350512314,0.9990403171375245
Abca13,0.464597034082753,0.9198722126819939,3.11491896048281,0.2953117639180618,0.7677557307435926,0.9990403171375245
Abca3,154.97987684389386,0.05517170317308884,0.19130930972590757,0.2883900592821874,0.7730481761981598,0.9990403171375245
Abca4,1.816099876552873,-1.2813577158873908,1.5038784013252515,-0.8520354536365635,0.3941944147212605,0.9990403171375245
Abca7,34.202309711277415,0.029279870837973773,0.3541056738357048,0.08268681639808692,0.9341005679623946,0.9990403171375245
Abca8a,41.875453832573676,-0.5739241858069501,0.4190716915563862,-1.3695131343170874,0.17083893203001665,0.9990403171375245
Abca8b,58.45494030774529,-0.6247812755760227,0.3042255519504627,-2.0536778438576273,0.040006882343691645,0.9990403171375245
Abcb1a,29.29015674149348,-0.8896098514207216,0.5335894821971173,-1.6672177415447709,0.09547111618077474,0.9990403171375245
Abcb1b,3.4613345883167526,1.0579235561946625,1.1044775364839798,0.9578497717232727,0.3381385173572893,0.9990403171375245
Abcb4,5.697347270221474,-0.005534089145945918,0.8025224598841062,-0.006895868243668978,0.9944979368016811,0.9990646148667274
Abcb8,25.414577100563672,0.1239870872592029,0.4032042996051179,0.30750437775745665,0.7584594913812326,0.9990403171375245
Abcc1,36.56633310647216,-0.1956832885152608,0.3493684717939606,-0.5601057459777442,0.5754073113930397,0.9990403171375245
Abcc6,0.4402672072765199,2.3558336049607815,3.375468883669893,0.6979278097801516,0.48522234163345646,0.9990403171375245
Abcc8,15.475293151145655,-0.07180736310703831,0.5558768910291849,-0.12917853622964917,0.8972163795040827,0.9990403171375245
Abcc9,0.46569903122927725,-0.8080539026826749,2.9202584160183336,-0.27670630045967887,0.7820056336409963,0.9990403171375245
Abcd2,14.884756583208025,0.1308744604653946,0.526196464810681,0.24871786341719648,0.8035790299637611,0.9990403171375245
Abcd3,336.39100803486167,-0.25446702354246675,0.17553027440515623,-1.4497044706664672,0.1471409485227879,0.9990403171375245
Abcf1,85.04844624774604,0.19541975851960525,0.2359468403114099,0.828236386898355,0.4075366406764922,0.9990403171375245
Abcg2,36.22171218551578,-0.5150985357840715,0.3817841660227626,-1.3491877914951573,0.17727665513619306,0.9990403171375245
Abcg8,0.0,,,,,
Abhd17c,85.00780215304889,0.19890419332867987,0.24458657615746837,0.8132261240724122,0.41608842404086666,0.9990403171375245
Abhd4,221.80305134890037,-0.14298622520732487,0.18604516365612628,-0.7685565289491281,0.44215662029969904,0.9990403171375245
Abhd5,148.97569585536874,0.11963029422716252,0.21167438579623385,0.5651618819025339,0.5719636610485972,0.9990403171375245
Abi1,369.418485151771,0.24015992353281224,0.15858467205106055,1.5143955618578722,0.12992554423632763,0.9990403171375245
Abi3bp,5.007413672935379,0.3621347148058133,0.8930047362376999,0.4055238456310049,0.6850924941073627,0.9990403171375245
Abitram,58.77754876977374,0.42591447570921187,0.2892014550254554,1.47272590890569,0.14082495748606058,0.9990403171375245
Abl1,283.15686087579854,-0.23588806243438334,0.16758965374057533,-1.407533562898413,0.15926923216864874,0.9990403171375245
Abracl,9.904837198286838,0.1561744114610694,0.6417769126320471,0.24334688329713972,0.8077366880816922,0.9990403171375245
Abraxas1,18.21134038915721,0.06096138325836345,0.4835182960319445,0.12607875184589898,0.8996695868116855,0.9990403171375245
Abraxas2,66.81819614891697,0.18753615427975237,0.2826144046812501,0.6635760639705085,0.5069616812852751,0.9990403171375245
Acaa2,54.589886561502304,0.03665205841061011,0.30063036100193347,0.12191735488211182,0.9029644709510771,0.9990403171375245
Acaca,257.8088192528646,0.1359988841762591,0.16843154684160136,0.8074430635263178,0.41941126504361437,0.9990403171375245
Acacb,3.5979796721449286,0.628907586207517,1.030000993097216,0.6105893008087205,0.5414715075862617,0.9990403171375245
Acan,1.4083615538510637,1.7451095407645685,1.8536551954036922,0.9414423702378562,0.3464782091398374,0.9990403171375245
Ace,6.353426705192355,-0.7350728578293393,0.7789779512318923,-0.9436375659502035,0.34535488863616326,0.9990403171375245
Ace2,0.28947693047258194,0.09751196309276752,3.7415180563740007,0.026062138849402967,0.9792077756185725,0.9990403171375245
Acer1,0.0,,,,,
Ache,28.848945013740153,0.26808190374921537,0.37222618878147007,0.7202123650321749,0.4713942518696098,0.9990403171375245
Ackr1,53.08373355572032,0.03181996330001659,0.2922708730633738,0.10887148269857527,0.9133044256752949,0.9990403171375245
Ackr2,0.14839406828400817,-0.8642786027082653,4.4281239974948585,-0.19517940400883474,0.8452525022010615,0.9990403171375245
Ackr3,12.759309219095522,0.8185494476177839,0.5524755787720858,1.4816029505540593,0.13844597348570375,0.9990403171375245
Ackr4,0.7566828023887862,1.8430753947749015,2.4655365367802338,0.7475352189190391,0.45474055187588913,0.9990403171375245
Acly,484.4297223487425,-0.08843637524794974,0.14258733019720515,-0.6202260406000868,0.5351089794867365,0.9990403171375245
Acod1,0.0,,,,,
Acot6,33.78234149714517,-0.0359786764672868,0.3667412259608916,-0.09810371433704997,0.9218499381420272,0.9990403171375245
Acox1,475.13928902385607,-0.00036283669825427857,0.14964851868479806,-0.002424592648447893,0.9980654568549844,0.9997884621432476
Acp2,88.85824940035018,0.07452642931999033,0.23821423416104257,0.3128546435625984,0.7543910981100419,0.9990403171375245
Acp5,0.1583141122128938,-0.8642786027082653,4.4281239974948585,-0.19517940400883474,0.8452525022010615,0.9990403171375245
Acr,0.9130441606339067,2.0575144811675026,2.355877918759097,0.8733536083445488,0.38247036902270115,0.9990403171375245
Acsl1,114.54234461743584,-0.27390136767943213,0.21323168861594985,-1.2845246851313643,0.19895843203409813,0.9990403171375245
Acsl4,241.3507156509511,0.1673720664248293,0.18659088291426218,0.8970002382256593,0.36971878990604645,0.9990403171375245
Acsl6,271.2348421853011,0.12482387577778961,0.21761502508726338,0.5735995284688425,0.5662388309277284,0.9990403171375245
Acss1,35.4491053647722,0.15315123506945394,0.35547035649906533,0.4308410877852107,0.6665839217561309,0.9990403171375245
Acss2,109.35764766351292,-0.1116146431536271,0.23073992629408913,-0.483724879981841,0.6285811335425968,0.9990403171375245
Actc1,0.4577110866143614,-0.7832597398342717,3.127104432354069,-0.2504744426602464,0.802220466706465,0.9990403171375245
Actg2,0.8511286818786816,0.6848139282601001,2.0696270006635022,0.3308876082697778,0.7407293824119088,0.9990403171375245
Actl6a,32.12000110065055,-0.017365241207454984,0.3639788274137007,-0.04770948170487273,0.9619477774019721,0.9990403171375245
Actl6b,65.06205595729917,0.0731181002912302,0.26260978555289277,0.2784286965441481,0.7806832934102775,0.9990403171375245
Actn1,71.53091035642065,0.07400789759285524,0.2644157614221631,0.2798921561816245,0.7795602452720618,0.9990403171375245
Actn2,29.42058304610832,-0.2506210581455161,0.39354976378856316,-0.6368217725069292,0.5242409424143002,0.9990403171375245
Actr1a,99.48229134618687,-0.11401266297168033,0.22480858906144613,-0.5071543905313941,0.6120464941825605,0.9990403171375245
Actr1b,165.96264221209682,0.18729281105887882,0.19967850300561707,0.937971830916672,0.34825888658145576,0.9990403171375245
Actr2,883.7358095662121,0.14544679107411565,0.14498464688755017,1.0031875387945313,0.3157703842358748,0.9990403171375245
