,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
2610035D17Rik,88.6316387378772,0.06613356122146895,0.24964468915064636,0.2649107475367165,0.7910782187078066,0.9999971636188812
9630013A20Rik,130.11993352186306,0.11113535006737366,0.8375949510849438,0.13268388249406124,0.8944433900583939,0.9999971636188812
A1cf,0.0,,,,,
A2m,3.0743017258133,2.9174839898975473,1.4516117024487452,2.0098239666819993,0.04444982324973024,0.9999971636188812
Aatf,127.01888457065685,0.12583035558226902,0.23657474803184894,0.5318841365323109,0.594806244958237,0.9999971636188812
Abca1,164.91902483305688,0.4149898430349884,0.29851297374368024,1.3901903084162825,0.16447109564013818,0.9999971636188812
Abca13,0.2675996261450058,1.0277518294762829,4.117634686931727,0.2495976228144018,0.8028985371345866,0.9999971636188812
Abca3,149.61683016211455,-0.18278846291000236,0.21015240311614514,-0.8697900200026762,0.38441516641848594,0.9999971636188812
Abca4,1.9033934712842846,-0.7566346714343978,1.4152229681908592,-0.5346399037048111,0.5928988849349104,0.9999971636188812
Abca7,34.754374809129885,-0.42928268813433024,0.3437749228520992,-1.2487318288746112,0.21176317517939236,0.9999971636188812
Abca8a,30.497768981568708,-1.1834258424084807,0.9153647605975338,-1.292846189136625,0.1960642617000946,0.9999971636188812
Abca8b,46.696068733997215,-0.3789419193128665,0.31061594619116595,-1.2199693027982856,0.22247651200268925,0.9999971636188812
Abcb1a,28.853212584199863,0.02943217086331163,0.3840788986734549,0.07663053337469329,0.9389174682433916,0.9999971636188812
Abcb1b,2.763464761930791,-1.6482348157244426,1.1777607263586727,-1.3994649157816226,0.16167361209965203,0.9999971636188812
Abcb4,7.1696186156928965,0.030667449908353437,0.7104846407048376,0.04316412790842282,0.9655707002052295,0.9999971636188812
Abcb8,33.855080977364885,-0.012610390205503254,0.3574998844627894,-0.03527383015648447,0.9718613908504106,0.9999971636188812
Abcc1,50.693584127934365,0.12335057811351612,0.30700463909664527,0.401787342616296,0.6878405381249992,0.9999971636188812
Abcc6,0.9384477245684436,-2.4614195424690926,2.1382768984560383,-1.1511229178252744,0.2496816708541919,0.9999971636188812
Abcc8,9.655026204031289,0.020884067418542148,0.6149402584755352,0.033961132208703816,0.9729081448136145,0.9999971636188812
Abcc9,2.5750417669502284,-1.850333026593472,1.2493591464061828,-1.4810257177978068,0.13859972044986094,0.9999971636188812
Abcd2,25.95536552934932,0.273165867169972,0.39432932137482735,0.6927353670216064,0.48847563982860764,0.9999971636188812
Abcd3,443.85902897077705,-0.15448085343583845,0.1880105489155253,-0.8216605628083559,0.4112701102646129,0.9999971636188812
Abcf1,114.46676308151162,0.08883460304424112,0.22468440956152272,0.39537502053482076,0.6925661412186539,0.9999971636188812
Abcg2,31.483368486994888,-0.239918205545023,0.38462537268987906,-0.6237711357083754,0.5327778982898661,0.9999971636188812
Abcg8,0.39585786638957693,0.027195787699499343,3.2005778692833613,0.0084971492056179,0.9932203374217824,0.9999971636188812
Abhd17c,121.97405691573952,0.11896360205206456,0.21683080683956116,0.5486471400721618,0.5832476285934023,0.9999971636188812
Abhd4,416.5944609785345,-0.0845424438874167,0.1737525132462176,-0.48656817854263246,0.6265643788016363,0.9999971636188812
Abhd5,258.1801236497529,-0.08048700794021185,0.1871445662302679,-0.4300793208239794,0.667137942050033,0.9999971636188812
Abi1,402.0048162144147,0.006539898055009131,0.17427098210402373,0.03752717736510726,0.9700646710006876,0.9999971636188812
Abi3bp,5.29014171348902,0.11071298179470496,0.8368787878076495,0.1322927327202748,0.8947527553044936,0.9999971636188812
Abitram,94.67936663239344,0.10372053734842096,0.23954967041655492,0.4329813402291911,0.6650283259454188,0.9999971636188812
Abl1,453.6102716147008,-0.21647196255726392,0.19883911958744,-1.0886789430893142,0.2762954906645312,0.9999971636188812
Abracl,9.296181648037665,0.25468817116845266,0.6411122533953373,0.39725987113742,0.691175835971247,0.9999971636188812
Abraxas1,26.966392073418547,0.043740094905780215,0.3840190793236606,0.1139008379031996,0.9093164013404286,0.9999971636188812
Abraxas2,79.06372139243905,0.3176352290435529,0.2596879775969753,1.2231418334525648,0.2212761304896248,0.9999971636188812
Acaa2,76.32270031748165,0.19671844058077742,0.2625230143292413,0.7493378859884049,0.4536535783803216,0.9999971636188812
Acaca,408.88269892339093,-0.17857959315507968,0.19011801948457427,-0.939309138814005,0.3475720478655543,0.9999971636188812
Acacb,4.707198317048049,0.23667219016749597,0.8549998678764175,0.27680962191880104,0.7819262925430973,0.9999971636188812
Acan,0.5725588081604126,0.9997114915267686,2.779605330365299,0.3596595101490129,0.7191017746978805,0.9999971636188812
Ace,5.294394182589043,-0.10457369558647292,0.858704364416905,-0.1217807896638358,0.9030726283256522,0.9999971636188812
Ace2,0.8772814510739262,1.958165720444619,2.2692441391805267,0.8629154028141526,0.38818398133475585,0.9999971636188812
Acer1,0.1788339760772808,-1.1431380192077218,4.4473744852838335,-0.2570366005809305,0.7971505188316155,0.9999971636188812
Ache,23.10391984563867,0.5205032741355253,0.45163101873528205,1.1524967341550378,0.24911701099897265,0.9999971636188812
Ackr1,27.28196222194366,-0.013608104008020582,0.39528347745713227,-0.034426189770343625,0.972537299429428,0.9999971636188812
Ackr2,0.4464336022222866,0.01914683452378183,3.102941866660821,0.006170542455049722,0.9950766506865988,0.9999971636188812
Ackr3,6.73773674934181,0.0620424488584347,0.7875657138515554,0.07877748836350282,0.9372096100725156,0.9999971636188812
Ackr4,0.5182415770308932,0.6118849926080006,2.7277443216427626,0.22431904183728543,0.8225090604726567,0.9999971636188812
Acly,707.7597246909908,-0.10247406108011153,0.161046331749162,-0.6363017397982104,0.5245797711979912,0.9999971636188812
Acod1,0.5182415770308932,0.6118849926080006,2.7277443216427626,0.22431904183728543,0.8225090604726567,0.9999971636188812
Acot6,59.95396227190748,-0.08359488289767358,0.2820396275303161,-0.29639410472093347,0.7669291269361764,0.9999971636188812
Acox1,584.741407766867,0.12538856642232452,0.16123562669552946,0.7776728319424278,0.43676191243437046,0.9999971636188812
Acp2,100.23017332463827,0.223005759535776,0.23865313097193847,0.9344346693779505,0.3500797210595583,0.9999971636188812
Acp5,0.2675996261450058,1.0277518294762829,4.117634686931727,0.2495976228144018,0.8028985371345866,0.9999971636188812
Acr,0.9077528797547969,2.0715128310318685,2.221875465518501,0.9323262546348233,0.3511679433499768,0.9999971636188812
Acsl1,198.93838530086506,-0.4046989075693623,0.21710550287232652,-1.8640656372830586,0.062312487395082404,0.9999971636188812
Acsl4,139.60846261661413,0.024582466277338327,0.21377392264181966,0.1149928203288223,0.9084508128404495,0.9999971636188812
Acsl6,326.69679945861157,0.0011580890066174153,0.21365115141419486,0.005420466957242303,0.9956751142810623,0.9999971636188812
Acss1,44.90688723240413,0.09996559111377092,0.3198957645884786,0.3124942627557729,0.754664922572948,0.9999971636188812
Acss2,135.40346657165546,-0.10601424075928652,0.23554342027241634,-0.45008364333283596,0.6526501303575056,0.9999971636188812
Actc1,0.19686241604156587,1.0385823401526286,4.407644240465623,0.23563207089574742,0.8137181851008011,0.9999971636188812
Actg2,0.7765714237502813,-1.474645695944786,2.373817834257171,-0.6212126620096107,0.534459709421868,0.9999971636188812
Actl6a,57.7259150739905,-0.027351252070417265,0.2849279527543148,-0.09599357243127866,0.923525677445536,0.9999971636188812
Actl6b,51.212905606553306,0.15349435417552396,0.32733635157931307,0.4689193651574397,0.6391272737782328,0.9999971636188812
Actn1,118.00903762154901,-0.10940751093422538,0.24676790645304442,-0.4433619934893912,0.6575039217942522,0.9999971636188812
Actn2,140.50998161779395,-0.15829203551642515,0.2923689085723046,-0.5414119999605861,0.5882236378901078,0.9999971636188812
Actr1a,136.60239259700109,0.15084964934828055,0.22963795201289694,0.6569020844594909,0.5112438778468097,0.9999971636188812
Actr1b,151.9671592125327,-0.08797175486606867,0.21044032562208895,-0.4180365840340379,0.6759203694605025,0.9999971636188812
Actr2,924.4892418436888,0.12475635908461184,0.15555221168841757,0.802022406049153,0.4225399974562145,0.9999971636188812
Acvr1,72.46799047432195,0.2652770812923725,0.25896501962529384,1.0243741864295488,0.3056585696398494,0.9999971636188812
Acvr1b,77.28342210619196,-0.09124174319957312,0.2627020414683007,-0.34732026705846114,0.7283507264785245,0.9999971636188812
Acvr1c,28.62078567129816,0.16765999123131362,0.4561976386865754,0.3675161311970363,0.7132340614871984,0.9999971636188812
Acvr2a,90.45707179399967,0.010667150517881184,0.24681946704704616,0.043218432668635176,0.9655274116714118,0.9999971636188812
Acvr2b,31.259707942416668,-0.11435551086617146,0.3753935831708441,-0.30462830477879405,0.760649259917298,0.9999971636188812
Acvrl1,16.301114749362206,-0.10377984648698538,0.5094928811377163,-0.2036924367917392,0.8385938528592641,0.9999971636188812
Ada,41.92466292931799,0.1929289859503165,0.35431493292675537,0.5445127145973244,0.5860887013619314,0.9999971636188812
Adad1,0.19899545034801105,-1.1431380192077218,4.4473744852838335,-0.2570366005809305,0.7971505188316155,0.9999971636188812
Adad2,0.0718079748086066,0.671685935391401,4.462829943548293,0.1505067286649419,0.8803648425006437,0.9999971636188812
Adam10,448.6272272076263,0.05192727173602327,0.17550738456821702,0.2958694408430429,0.767329789444748,0.9999971636188812
Adam17,51.14417118109589,0.017064225258821397,0.29475564592403664,0.05789278507397659,0.9538340301618801,0.9999971636188812
Adam18,6.505894422934312,-0.1833286602603523,0.8322225993683169,-0.22028800996212372,0.8256468574890632,0.9999971636188812
Adam28,0.6464998172754644,-0.35286782496655933,2.3042848342094184,-0.1531355063956863,0.8782914160329287,0.9999971636188812
Adamdec1,0.1788339760772808,-1.1431380192077218,4.4473744852838335,-0.2570366005809305,0.7971505188316155,0.9999971636188812
Adamts1,277.53035805991885,0.5856879984356643,0.6981046540633236,0.8389687635323196,0.4014868384433786,0.9999971636188812
Adamts13,0.6024925405560855,-0.24206710561762354,2.3524198929167506,-0.1029013172123307,0.9180412922678928,0.9999971636188812
Adamts14,0.2267961484372388,-0.2879463406395014,3.8657043690145785,-0.07448741888995068,0.940622551627806,0.9999971636188812
Adamts18,0.2986041232458454,0.2097628283792575,3.4566470633774222,0.0606839010559274,0.951610953145837,0.9999971636188812
Adamts20,58.45731314415496,-0.6507977621870176,0.2842691832679658,-2.289371484820936,0.022057777477474384,0.9999971636188812
Adamts3,42.70259422179233,0.2462276748212489,0.33427959334430224,0.7365920017966476,0.4613705003185331,0.9999971636188812
Adamts5,5.190991475140737,0.09659474168745462,0.8202940523855419,0.11775623803018222,0.9062608052074238,0.9999971636188812
Adamts6,35.39146570775383,0.14943844777407067,0.36864020371679496,0.4053775097435537,0.6852000400466998,0.9999971636188812
Adar,108.46362871134168,0.07423447122989262,0.23240406128537705,0.31941985359170433,0.7494081577504565,0.9999971636188812
Adarb1,116.86618720323291,0.13712244654760772,0.23606538892814194,0.5808663742288271,0.5613305166094524,0.9999971636188812
Adcy1,131.07162228084806,-0.08767120590055671,0.23603917938832367,-0.3714264984641512,0.7103198919953313,0.9999971636188812
Adcy2,54.54706468577246,-0.20780649733542075,0.30322379146129863,-0.6853238538241275,0.4931395825680178,0.9999971636188812
Adcy3,11.339305274161488,0.20611792971108478,0.575010352665267,0.3584595107821876,0.7199994631180118,0.9999971636188812
Adcy8,5.80781142079021,-0.9464992805993707,0.8191896580751593,-1.1554092160090856,0.24792288967794374,0.9999971636188812
Adcyap1,0.8913244056769883,0.6343620885228178,2.007544317424979,0.31598908328783315,0.7520107942151959,0.9999971636188812
Adcyap1r1,103.1412451371401,-0.1371379594431476,0.24877214024386576,-0.5512593142813915,0.58145592467301,0.9999971636188812
Add2,395.58766336123654,-0.05583162042026794,0.21425458756897864,-0.2605854140803081,0.794412239036921,0.9999971636188812
Adgra2,6.426150411474334,0.2967847724916236,0.7631960838334582,0.38887093209506934,0.6973716259183977,0.9999971636188812
Adgra3,26.596170949063076,-0.05798813844657322,0.4004083789898851,-0.1448224899610257,0.8848510249994728,0.9999971636188812
Adgrb1,411.8597731749219,-0.06224447433635762,0.18857950817550084,-0.33007019128732706,0.7413469261013013,0.9999971636188812
Adgre1,6.150671438685077,-0.2630987633381724,0.7577395626925604,-0.34721529175970994,0.7284295834926013,0.9999971636188812
Adgre5,11.936733498145829,-0.13669248963671074,0.5525572772224612,-0.24738157521664123,0.8046129319872317,0.9999971636188812
Adgrf1,0.0,,,,,
Adgrf5,50.27457485169077,0.47749008489966266,0.340455212515814,1.402504844532182,0.16076454486436065,0.9999971636188812
Adgrg1,268.3191334941847,0.27382050388080514,0.21465413865755162,1.2756357999583905,0.2020842927531552,0.9999971636188812
Adgrg2,13.05159728539625,0.11369453669100485,0.5428950536456403,0.20942267925914063,0.8341182897850703,0.9999971636188812
Adgrg5,1.1454102784002418,2.1862031095508345,2.1500369932286607,1.016821160024723,0.3092385140494496,0.9999971636188812
Adgrg6,2.5928908349315116,-0.7833277444293725,1.2217158750303845,-0.6411701447440804,0.5214121445447191,0.9999971636188812
Adgrg7,0.19686241604156587,1.0385823401526286,4.407644240465623,0.23563207089574742,0.8137181851008011,0.9999971636188812
Adgrl1,211.46472206614052,-0.05712476752535913,0.21003976728949672,-0.2719711998472382,0.7856441641128609,0.9999971636188812
Adgrl2,28.590966790515413,0.1636732789458865,0.4204065252522012,0.38932145224839027,0.6970383690636288,0.9999971636188812
Adgrl3,197.715639972508,0.013970244912079873,0.22457478797833913,0.062207539135814935,0.9503975587579445,0.9999971636188812
Adgrv1,0.6798859666123915,2.7895870345087146,2.7467713769988835,1.0155876305790732,0.30982579760979745,0.9999971636188812
Adh5,552.543619883837,-0.06822569238006186,0.1661333489334497,-0.4106682542551524,0.6813158079161903,0.9999971636188812
Adipoq,0.15498817362863218,-1.1431380192077218,4.4473744852838335,-0.2570366005809305,0.7971505188316155,0.9999971636188812
Adipor1,366.4570966893585,0.14188030673713994,0.17478734167535645,0.8117310176881297,0.41694599209985883,0.9999971636188812
Adm,2.7189109623623122,0.6713549411721697,1.2990535203767788,0.5168031421657279,0.605293586370292,0.9999971636188812
Adora1,372.8446163142712,0.009373209740060817,0.18029488971942237,0.05198821638620788,0.9585380826789653,0.9999971636188812
Adora2a,210.50312255958048,-0.15889459845115841,0.2413979869946384,-0.6582266920671859,0.5103924755995082,0.9999971636188812
Adora2b,5.591705645682064,-0.42783041485197537,0.822117002343025,-0.5204008840988121,0.6027841940084403,0.9999971636188812
Adprhl1,0.9124688878133499,-1.211587834922064,2.0236887506702166,-0.5987026584601034,0.5493711840929048,0.9999971636188812
Adra1a,17.74388827005058,0.27246590955552813,0.4659724870575933,0.5847253155996994,0.5587324290279353,0.9999971636188812
Adra1b,3.2732840531921945,0.9286117435910939,1.0723519876982064,0.8659579636573905,0.38651321449977283,0.9999971636188812
Adra2a,2.022451606648414,0.48258637999471293,1.337572107421206,0.36079279563112543,0.7182543488336859,0.9999971636188812
Adrb1,25.92958338624501,0.06759369909359733,0.3976795030847277,0.16997028654805008,0.8650335044975326,0.9999971636188812
Adrb2,1.1811392786635222,-0.28184584465748896,1.7558640026722623,-0.16051689893325777,0.8724739108006074,0.9999971636188812
Adrb3,0.0718079748086066,0.671685935391401,4.462829943548293,0.1505067286649419,0.8803648425006437,0.9999971636188812
Adtrp,0.33940760095361244,1.5888750441906012,3.5229088232871324,0.4510122526270959,0.6519807181825767,0.9999971636188812
Aebp2,273.6708634500991,0.08661311400154194,0.18652478584934407,0.4643517675527546,0.6423957404587223,0.9999971636188812
Afap1l2,14.003188085676427,-0.012271480236916233,0.5203422223700519,-0.02358347969730798,0.9811848497789972,0.9999971636188812
Afdn,105.88484870026424,-0.3376424094295228,0.2515085265572651,-1.342469036939971,0.1794439632919279,0.9999971636188812
Afg3l2,147.71463616492727,-0.02267665105907294,0.21701875649717098,-0.10449166433855477,0.9167791829630174,0.9999971636188812
Afp,0.19686241604156587,1.0385823401526286,4.407644240465623,0.23563207089574742,0.8137181851008011,0.9999971636188812
Ager,1.014778881023471,1.0729212610925059,1.9036904513860673,0.5636006948037783,0.5730259138650852,0.9999971636188812
Agl,108.15448671815487,0.05330729003638846,0.23024879937414855,0.2315203822182171,0.8169105528070106,0.9999971636188812
Ago1,103.21409766203948,-0.16256815116447873,0.24079592596862792,-0.6751283291464778,0.49959423655755475,0.9999971636188812
Ago2,59.561489988307905,0.13120100186793252,0.28722667198277085,0.45678557970341466,0.6478251716228189,0.9999971636188812
Ago3,208.04926028808265,-0.30191402990305627,0.19597233900639613,-1.5405951239537046,0.12341535540360327,0.9999971636188812
Agpat3,1074.7887949671967,0.004364886651998999,0.14697215193276172,0.029698732682337612,0.9763073226502468,0.9999971636188812
Agpat4,1355.4650620793989,-0.2529073695642319,0.1956301089568415,-1.2927834621818184,0.1960859617555747,0.9999971636188812
Agps,376.6704861220669,-0.24208825758608296,0.16930029696682183,-1.42993403982939,0.15273595113558913,0.9999971636188812
Agr3,3.2438527994958464,0.2978265134433939,1.0308727018737953,0.28890716855926146,0.772652417829129,0.9999971636188812
Agrn,59.7017957016869,0.007275791166639183,0.292937521996076,0.02483734796779173,0.9801847008688624,0.9999971636188812
Agrp,0.15498817362863218,-1.1431380192077218,4.4473744852838335,-0.2570366005809305,0.7971505188316155,0.9999971636188812
Agt,9.780108670158405,1.07677644071344,0.6634124189700182,1.6230875544735661,0.10457068970097814,0.9999971636188812
Agtr1a,0.4144193747738309,0.5688931780749001,3.065721739335825,0.1855658231389742,0.8527852571860614,0.9999971636188812
Agtr1b,0.0,,,,,
Agtr2,0.7744383894438361,0.3128888584297583,2.2943354227702497,0.1363745053685162,0.8915252271347287,0.9999971636188812
Agtrap,8.488295929815616,-0.4224894259049331,0.6535736994709821,-0.6464296624036524,0.5180011355602478,0.9999971636188812
Agxt2,0.0,,,,,
Ahi1,395.12072894811575,0.4067230006664976,0.188942462960598,2.1526288706806764,0.031347857682492306,0.9999971636188812
Ahr,4.489134106667492,-0.3420796419231372,0.8896741630422879,-0.38449991708579895,0.7006079573406929,0.9999971636188812
Aicda,0.0,,,,,
Aida,144.09498758171912,0.08217615587592987,0.215526259444188,0.3812814089932738,0.7029944471229534,0.9999971636188812
Aif1,46.24883591498733,0.27454423540618517,0.3164723946216679,0.867514007768019,0.3856604400940904,0.9999971636188812
Aif1l,55.707382393020076,0.1449970507540204,0.3521789193408876,0.41171416797287674,0.6805489391728259,0.9999971636188812
Aifm1,24.573243441113586,-0.0676483705157064,0.39500653660711915,-0.17125886345265906,0.8640202247462887,0.9999971636188812
Aim2,6.230590242776064,-0.21402925351755445,0.8152122961983241,-0.26254419188187217,0.7929019196643794,0.9999971636188812
Aip,417.3135676169956,0.13520249814279986,0.1762554499381969,0.7670826529914845,0.4430323750301889,0.9999971636188812
Aire,0.8464782754891068,-3.3120273441414843,2.6826802032349706,-1.2345964085274128,0.21698074631700848,0.9999971636188812
Ajuba,1.7659045364386277,0.30663717348904557,1.4344840336825402,0.21376130112920183,0.830733204607733,0.9999971636188812
Ak4,31.768561839929756,-0.0008439512684590523,0.3674850495744567,-0.0022965594639464595,0.998167612271477,0.9999971636188812
Akap5,167.43655709594137,0.09080536944180767,0.2186402262479253,0.41531867671431905,0.6779086306558961,0.9999971636188812
Akap9,117.67810346119414,-0.01810642307148307,0.2210026925310639,-0.08192851799277537,0.9347035565860133,0.9999971636188812
Akip1,29.188239628852358,0.21837461797939006,0.40264183830982125,0.5423545126260751,0.587574309068738,0.9999971636188812
Akr1b3,172.12124818777525,0.20678513129538606,0.21614429808043195,0.9566994509308631,0.33871897534990525,0.9999971636188812
Akt1,217.58455545983836,0.04359134383461336,0.20185106645503534,0.21595795652793262,0.8290205200508247,0.9999971636188812
Akt1s1,202.47717985224767,0.044605441900156695,0.19903709336617428,0.22410617611911554,0.8226746868535751,0.9999971636188812
Akt2,81.8428172057892,0.2032231898191265,0.2486347676591552,0.817356284209287,0.4137248504301805,0.9999971636188812
Akt3,70.16736361545314,-0.24446284195038387,0.2817262946282471,-0.8677317190891453,0.3855412173073228,0.9999971636188812
Aldh1a2,1.1029762450853544,-0.40366899736837797,1.9210428348041027,-0.21013013872204567,0.8335661032648438,0.9999971636188812
Aldh1a3,0.33940760095361244,1.5888750441906012,3.5229088232871324,0.4510122526270959,0.6519807181825767,0.9999971636188812
Aldh1l1,46.195164272812896,0.15367977012274217,0.3210053986420635,0.4787451263213878,0.6321199584086958,0.9999971636188812
Aldh1l2,9.929355911006303,0.5914292104119157,0.6925766416509039,0.8539548908292924,0.3931299838768715,0.9999971636188812
Aldh2,16.592464686639005,-0.1294135313463064,0.4806220112004251,-0.2692625979053203,0.7877276121351398,0.9999971636188812
Aldh3a1,0.4464336022222866,0.01914683452378183,3.102941866660821,0.006170542455049722,0.9950766506865988,0.9999971636188812
Aldh4a1,71.14761719253895,0.07691078771229494,0.2833370214710511,0.27144630557977756,0.7860477917087793,0.9999971636188812
Aldh9a1,80.03343414734452,0.1008150091767348,0.2657300360451491,0.3793888364189502,0.704399139276386,0.9999971636188812
Aldoa,3217.786938829755,0.22190151792117474,0.14554761321672835,1.5245974359658596,0.12735953732983477,0.9999971636188812
Aldoc,1338.3671909837785,0.13727506149642205,0.16015113990497395,0.8571594406251152,0.391356774500067,0.9999971636188812
Alg13,26.090053598950902,0.6103895027520716,0.43034733016750243,1.4183647950470428,0.15608428833841645,0.9999971636188812
Alk,6.779407234908569,0.2432275051532066,0.7578686391757063,0.32093623166377794,0.7482587162002449,0.9999971636188812
Alkbh5,133.7087375281814,0.3460935599106644,0.22824351805816612,1.5163346712105317,0.1294347489138812,0.9999971636188812
Alox12,0.7720873269283924,-0.8941039777529354,2.229219574220645,-0.4010838537812149,0.6883583879909638,0.9999971636188812
Alox12b,0.19686241604156587,1.0385823401526286,4.407644240465623,0.23563207089574742,0.8137181851008011,0.9999971636188812
Alox12e,0.0,,,,,
Alox15,0.8073053533884602,-2.21035380262145,2.3625236082242087,-0.9355901439151598,0.34948425110500425,0.9999971636188812
Alox5,1.3987229598777722,1.2906030376695268,1.7722908857305046,0.7282117445057924,0.4664839775872023,0.9999971636188812
Alpl,15.009388293119047,-0.759276699422317,0.5135625406601853,-1.4784503138532377,0.13928728681146735,0.9999971636188812
Als2,75.92007647474156,0.02220418850404759,0.2686652699806784,0.08264629256190967,0.9341327910150136,0.9999971636188812
Alx1,0.0718079748086066,0.671685935391401,4.462829943548293,0.1505067286649419,0.8803648425006437,0.9999971636188812
Alx4,0.1788339760772808,-1.1431380192077218,4.4473744852838335,-0.2570366005809305,0.7971505188316155,0.9999971636188812
Ambra1,266.98030853177175,-0.16221075425982204,0.17578089313595188,-0.9228008310002471,0.3561110076997108,0.9999971636188812
Amd1,747.4755508501918,-0.08020361531635095,0.1615323750347418,-0.4965172789609578,0.6195294995302896,0.9999971636188812
Amelx,0.0,,,,,
Amer1,17.997367532570028,0.14137784822259006,0.482919689164017,0.29275643837866594,0.7697083271955211,0.9999971636188812
Amfr,633.1499554147799,-0.0017934014981267012,0.1595025721859691,-0.011243715217555975,0.9910290022428613,0.9999971636188812
Amh,1.9283100384380996,-0.6448599927038702,1.3216024339455248,-0.4879379578461421,0.6255937872574178,0.9999971636188812
Amhr2,0.4236585644788047,0.6171771804980176,2.8738533106549404,0.2147559787445676,0.8299575759237607,0.9999971636188812
Amigo3,2.7908020661452255,0.712890004477352,1.1315303568302995,0.6300228713919226,0.5286796203661073,0.9999971636188812
Amy1,82.75388794208992,-0.3223324749448862,0.26600184593523113,-1.2117678124059752,0.2256012727087745,0.9999971636188812
Amy2a5,4.013479212452503,-0.7348231635463235,0.9762258995028587,-0.7527183656165349,0.45161917129446116,0.9999971636188812
Anapc11,196.6844393649669,0.032358893414687166,0.1983831778696337,0.1631130913526933,0.8704293924320811,0.9999971636188812
Anapc15,8.172518926766964,0.6601840760250921,0.672381203747234,0.9818598026622899,0.32616892138790277,0.9999971636188812
Anapc16,223.17616220232318,0.1286959651194063,0.19266172303540205,0.6679892772253372,0.5041404371604601,0.9999971636188812
Anapc2,311.24271064175576,-0.10904029587196369,0.18125110837138061,-0.6015979535338447,0.5474417914509269,0.9999971636188812
Anapc4,214.63490010415777,-0.18272441906853085,0.20301328198354304,-0.9000614013192649,0.368087575625618,0.9999971636188812
Anapc5,367.54585682295465,-0.09730064245467353,0.16566709631413723,-0.5873262984592454,0.5569845820441431,0.9999971636188812
Ang,0.8624529428825939,0.08440033655717559,2.2166796267134417,0.03807511718881618,0.9696277905271882,0.9999971636188812
Angpt1,1.8801465445621215,2.0274269813104273,1.5462830117149622,1.3111616476092787,0.18980315667498115,0.9999971636188812
Angpt2,0.766269964444029,0.36451800500205417,2.108005193863352,0.17292082868828237,0.8627136593528162,0.9999971636188812
Angpt4,0.0,,,,,
Angptl3,0.333822149705913,-1.9747554616175942,3.517790597511183,-0.5613624253287625,0.5745504935619257,0.9999971636188812
Angptl4,1.170829324253382,-0.49746633001322665,1.6966881554689315,-0.2931984456953651,0.7693704720687089,0.9999971636188812
Angptl8,0.0,,,,,
Ank,679.9818698858306,-0.2091592982377313,0.17299161120590864,-1.20907191267658,0.22663521882874804,0.9999971636188812
Ank1,24.296746242872825,-0.2848878934602393,0.4087281694059079,-0.6970106657300568,0.48579611902925524,0.9999971636188812
Ank2,682.8428663524402,-0.09165082153610132,0.1767838707417346,-0.5184342957961078,0.6041552913914242,0.9999971636188812
Ankle2,248.75223251204068,-0.014187562579302355,0.18085103571192362,-0.07844888763535547,0.9374709866120137,0.9999971636188812
