,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
2610035D17Rik,143.0029507793755,0.18140785954414054,0.24352103059335417,0.7449371378813936,0.4563097228153201,0.9996794444377513
9630013A20Rik,234.06865892810643,0.12163616371507331,0.31737398629825675,0.3832581401323925,0.701528373300425,0.9996794444377513
A1cf,0.4159991436402632,2.1237248445281205,3.615688787487532,0.587363838358404,0.5569593749396897,0.9996794444377513
A2m,39.7786725033714,0.6273154371602238,0.3374050820005352,1.8592352949776516,0.06299379399861701,0.9996794444377513
Aatf,239.9404767640253,0.10567860194270326,0.24877949993997384,0.42478822398228816,0.6709910629602174,0.9996794444377513
Abca1,270.0834424212851,0.7580392614409801,0.7523023170374342,1.0076258497064559,0.3136341144344402,0.9996794444377513
Abca13,0.0,,,,,
Abca3,282.89295023286064,0.0386451023905683,0.1713802765115991,0.22549328999333698,0.8215955447787351,0.9996794444377513
Abca4,3.465362894384589,-0.7354818583349201,1.0346717086187094,-0.7108359610187769,0.47718589342928563,0.9996794444377513
Abca7,116.95195499345367,-0.20241521453732675,0.24786468328108,-0.8166359638568869,0.4141364962643138,0.9996794444377513
Abca8a,94.1154020226748,-1.1781167061658009,0.9220452247182653,-1.277721173086471,0.20134775694133422,0.9996794444377513
Abca8b,89.73670413430284,-0.32128991003489976,0.3172118922456095,-1.0128558162193138,0.31112903542261794,0.9996794444377513
Abcb1a,61.78824179050165,-0.1282602282649134,0.29694823047841673,-0.43192790897683364,0.6657938097691873,0.9996794444377513
Abcb1b,6.912890951393865,0.18462970596545802,0.8006419719790308,0.23060208236284369,0.8176239497192521,0.9996794444377513
Abcb4,4.111485280259569,0.9859232310606902,0.9570035173295355,1.0302190255390635,0.3029072005568354,0.9996794444377513
Abcb8,90.37791854703453,-0.38329806293453933,0.2556495224003412,-1.4993106943274608,0.1337930492910948,0.9996794444377513
Abcc1,95.20563370237295,0.22049434880926547,0.246381703686749,0.8949298811960613,0.3708245721399258,0.9996794444377513
Abcc6,1.9491957283995216,0.2876285278971016,1.5903008806795562,0.1808642197155762,0.8564741541575154,0.9996794444377513
Abcc8,36.66180965150432,0.6606554470997306,0.348221023709851,1.8972302133320074,0.057797560896811984,0.9996794444377513
Abcc9,2.055789278176322,-0.07764091861571777,1.3608196858888004,-0.0570545234029354,0.9545017624427481,0.9996794444377513
Abcd2,50.757109703616834,0.334222783585959,0.335410585296374,0.9964586636126423,0.3190273418895959,0.9996794444377513
Abcd3,644.5292788474934,0.18111824611779753,0.18628076034741875,0.9722863798709379,0.3309080977691554,0.9996794444377513
Abcf1,227.01216845236345,0.15775773759323142,0.1836605667096586,0.8589635784072478,0.39036061049461024,0.9996794444377513
Abcg2,58.08800744099963,-0.1505202167501956,0.3151364605781888,-0.47763504252739397,0.6329099849258153,0.9996794444377513
Abcg8,0.4822604719430211,-1.0557795137426689,2.9237877215775767,-0.36109992047336664,0.7180247527001233,0.9996794444377513
Abhd17c,107.63709522820443,0.2029240764479799,0.21776023802397157,0.9318692810468068,0.35140408482993624,0.9996794444377513
Abhd4,568.4802195960941,0.0564021284036903,0.13591067753424288,0.4149940933778342,0.6781462270829983,0.9996794444377513
Abhd5,339.2684955279244,-0.009776678959417773,0.18473892812495615,-0.052921596214983414,0.9577943772144994,0.9996794444377513
Abi1,547.8470567582988,0.05556044786392059,0.14971809894700003,0.3711004097346233,0.7105627458613806,0.9996794444377513
Abi3bp,1.8708165387203308,-0.32587574569433236,1.4591536637205205,-0.22333202718582837,0.8232771025789947,0.9996794444377513
Abitram,127.17914343248968,0.09032021315402472,0.22495161162340077,0.4015095179901751,0.6880450319924896,0.9996794444377513
Abl1,795.3398342383822,-0.2188792346038558,0.1666858418987125,-1.3131243308406415,0.18914105643611157,0.9996794444377513
Abracl,6.621859238998868,0.3297698967638207,0.7558765491522714,0.43627480854335715,0.6626373569825232,0.9996794444377513
Abraxas1,34.8174107795025,0.08007637501064954,0.37488109133960296,0.21360473190179854,0.8308553090411777,0.9996794444377513
Abraxas2,124.42828100406167,0.21266394652061577,0.21033029764602937,1.0110951627069618,0.31197088536930795,0.9996794444377513
Acaa2,56.96359744730746,0.11982151673766231,0.31131025449959104,0.3848942172825846,0.7003157904258737,0.9996794444377513
Acaca,580.7345028782051,-0.11779224172293037,0.15376628156032007,-0.7660472798564902,0.4436481704900369,0.9996794444377513
Acacb,7.837241437956236,-0.06870441927719456,0.746763803684205,-0.09200287820357266,0.9266957528171533,0.9996794444377513
Acan,0.9748097820966972,-2.245903135231941,2.18912725048524,-1.0259353971927014,0.3049220363695694,0.9996794444377513
Ace,8.713521996327051,-1.2322820751413106,0.7695580961256153,-1.6012853108105884,0.1093137409709474,0.9996794444377513
Ace2,3.9972183116836217,-0.267947617889205,0.9208379639918501,-0.29098237514844305,0.7710647991501238,0.9996794444377513
Acer1,0.0,,,,,
Ache,102.10696040508823,-0.2245689147204991,0.3259101317809052,-0.6890516520408968,0.4907907636662292,0.9996794444377513
Ackr1,52.18773220119559,0.05044362090387367,0.2970919499215469,0.1697912747793884,0.8651742890122016,0.9996794444377513
Ackr2,0.5410880995295865,0.6658422598427158,2.8436603574705077,0.23414971415046054,0.8148687521554869,0.9996794444377513
Ackr3,14.754774297023713,0.45170410581710296,0.5331014845464719,0.847313539562516,0.3968203818429721,0.9996794444377513
Ackr4,1.7696755495340855,0.36205109480117886,1.4804983006121555,0.2445467817500893,0.8068073749250564,0.9996794444377513
Acly,1182.608974625077,0.0861381417447442,0.13593889038692503,0.6336534122028495,0.5263070350302668,0.9996794444377513
Acod1,0.2422566654513358,-1.1290948338739952,4.430974236398655,-0.2548186411464412,0.7988631768866041,0.9996794444377513
Acot6,107.58461087612686,0.09917784674468202,0.2233240097606951,0.4440984507261757,0.6569714065389294,0.9996794444377513
Acox1,986.6881301610268,-0.09330618312778005,0.1252129945969694,-0.745179711004519,0.45616308644924874,0.9996794444377513
Acp2,237.19533850943313,0.09390931230085439,0.17869071634061226,0.5255410813947864,0.5992071027006441,0.9996794444377513
Acp5,3.5882204481448805,0.7938268451868926,1.0403755327869189,0.763019525325071,0.44545175141759896,0.9996794444377513
Acr,2.4226415689256555,-0.2328171124344496,1.2008514330873077,-0.19387669949803246,0.8462724286279909,0.9996794444377513
Acsl1,287.88632045576315,-0.20597188874838326,0.20051251448660512,-1.0272270998932729,0.304313540167395,0.9996794444377513
Acsl4,505.239014732287,0.2965739264539714,0.18151222409982715,1.6339060794652773,0.1022785730237088,0.9996794444377513
Acsl6,889.7419477048516,-0.059891068446205946,0.21448449805138842,-0.2792326204938905,0.7800663112996975,0.9996794444377513
Acss1,60.41164239091461,-0.05541683916806785,0.3382984484576826,-0.16381050347914877,0.869880322798711,0.9996794444377513
Acss2,329.3095243439345,-0.014713249280278472,0.16079944672535598,-0.09150062130131933,0.9270948125816612,0.9996794444377513
Actc1,0.18530329915678959,0.8082830231292043,4.433026598631993,0.1823320941450331,0.8553221133287814,0.9996794444377513
Actg2,1.0244047274527097,0.16410300658312418,1.9711691626155274,0.08325161010807278,0.9336514761995791,0.9996794444377513
Actl6a,94.34147965794965,0.32750517071272567,0.2521938981032908,1.2986244836843346,0.19407283137066478,0.9996794444377513
Actl6b,57.66515129264503,0.15531950438500758,0.34589477700530913,0.44903685950315336,0.6534050672232752,0.9996794444377513
Actn1,53.2661337489859,-0.4250665651813785,0.29637304327344804,-1.4342281622056685,0.15150716289539576,0.9996794444377513
Actn2,2.838870543778667,-0.624486879505071,1.2089538482711473,-0.516551463397972,0.605469305079094,0.9996794444377513
Actr1a,204.23571749057666,-0.053139718276112274,0.2007658242448198,-0.2646850801225617,0.7912520720311441,0.9996794444377513
Actr1b,319.07268625030423,-0.018748815055344013,0.18206684942761647,-0.10297764318044014,0.9179807147639913,0.9996794444377513
Actr2,1538.9081902497207,0.12827807083282852,0.14352979576943242,0.893738266296258,0.37146194616040706,0.9996794444377513
Acvr1,98.95938035169519,0.33312598722233117,0.2540157410527464,1.3114383614248442,0.18970970554608568,0.9996794444377513
Acvr1b,140.11315197009063,-0.16716183447410748,0.21295035676414484,-0.7849802978224129,0.43246512030017803,0.9996794444377513
Acvr1c,59.96394879744429,0.3698646618390468,0.3833356859493162,0.9648584136462304,0.33461573332772354,0.9996794444377513
Acvr2a,111.05515570879669,0.06383462326397753,0.23623194927455268,0.2702201097692669,0.7869909226177296,0.9996794444377513
Acvr2b,60.95735163051406,-0.29007320898139904,0.30269681887569416,-0.9582961924040597,0.3379134232734692,0.9996794444377513
Acvrl1,20.862898957683786,-0.5590845072754055,0.5330045412088126,-1.0489301010596372,0.2942102903782804,0.9996794444377513
Ada,51.75761452206572,0.7688476731523941,0.4477815988814457,1.7170148909043348,0.08597645125441315,0.9996794444377513
Adad1,0.0,,,,,
Adad2,0.4309754930161352,-0.7361386273832797,3.416208613963618,-0.21548409671890123,0.8293899098209572,0.9996794444377513
Adam10,850.3580650233424,-0.02079386300409136,0.14531581775572736,-0.1430942847463817,0.8862157186050321,0.9996794444377513
Adam17,72.68747293528524,0.03932678728405812,0.25058907039065953,0.15693736052713328,0.8752942152258399,0.9996794444377513
Adam18,9.183294889356057,0.21904547468897717,0.6566558643236463,0.33357727630224304,0.7386985678809854,0.9996794444377513
Adam28,0.0,,,,,
Adamdec1,0.18238110134010485,-1.1290948338739952,4.430974236398655,-0.2548186411464412,0.7988631768866041,0.9996794444377513
Adamts1,506.03712504017307,0.44066990044784343,0.7674176251722465,0.5742243675325222,0.5658159818636406,0.9996794444377513
Adamts13,0.4765920845753608,0.4417713419751575,3.3215986755220794,0.13299961408062674,0.8941936857075891,0.9996794444377513
Adamts14,0.48485211005890694,0.6761165626664962,2.909675416176148,0.2323683799600708,0.8162519059630895,0.9996794444377513
Adamts18,0.5503960615377982,-1.0526858280259397,2.828038359126266,-0.37223180676770284,0.7097202664588128,0.9996794444377513
Adamts20,129.6157221991364,-0.27213658305237265,0.2527213622347135,-1.0768246128699932,0.28155862731449477,0.9996794444377513
Adamts3,17.481902233624023,0.0776203206084369,0.49359562666443,0.15725487912640468,0.8750439789825477,0.9996794444377513
Adamts5,3.531248059494945,0.736593721788995,1.1737463639976429,0.6275578305352468,0.5302936407894175,0.9996794444377513
Adamts6,62.66275497207937,-0.03693521458188762,0.32104338174760927,-0.11504742561839984,0.9084075313708471,0.9996794444377513
Adar,233.44281305670293,0.09722983438558222,0.17180079236805448,0.5659452034265567,0.5714310313316615,0.9996794444377513
Adarb1,1859.2117644806096,0.0347552677144779,0.23265013786123598,0.14938855413534147,0.881247042863648,0.9996794444377513
Adcy1,904.2944272024682,0.166736223957801,0.23404139795722445,0.712421927971372,0.4762035408525799,0.9996794444377513
Adcy2,83.5247275629376,-0.4383254005802741,0.327779107014496,-1.3372585109913342,0.18113826872196237,0.9996794444377513
Adcy3,29.13821984820846,-0.15316532599853835,0.36754427751357294,-0.416726188840968,0.6768786964282585,0.9996794444377513
