,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
2610035D17Rik,5.936895709292826,0.4036478975305972,0.8910970594154789,0.45297859898154386,0.6505641519954068,0.9997773418605458
9630013A20Rik,9.170866243639683,0.8475604269345912,1.8251339859946405,0.46438257872486965,0.6423736693916886,0.9997773418605458
A1cf,0.0,,,,,
A2m,0.735934009283273,-3.239627720979029,2.1260686172086576,-1.5237644235736743,0.12756756964955548,0.9997773418605458
Aatf,4.2441101646219215,0.1793682080249686,0.994628358283848,0.1803369133114746,0.8568880780595335,0.9997773418605458
Abca1,6.630600987537593,1.4288442676463504,1.2817637795556798,1.114748513288194,0.26495820543208315,0.9997773418605458
Abca13,0.0,,,,,
Abca3,4.590731648878817,0.2247521238734078,1.1559777868089816,0.1944259884905096,0.8458423422945256,0.9997773418605458
Abca4,0.013016047609175024,0.08038337718739721,2.9914498347483467,0.026871043015220544,0.9785625895007845,0.9997773418605458
Abca7,3.1675155964448685,0.27093981179541105,1.187202800852432,0.22821695804699216,0.8194775786573405,0.9997773418605458
Abca8a,2.288879265990206,-1.6601870210865426,1.4352283057142927,-1.1567407181676863,0.2473783084915655,0.9997773418605458
Abca8b,4.017516020579591,-0.7594865688098137,1.0032519125836077,-0.7570247903679133,0.4490350105252998,0.9997773418605458
Abcb1a,0.45340808932187876,-1.3029214989678943,1.963298063744984,-0.6636391707546313,0.5069212804932259,0.9997773418605458
Abcb1b,0.03904814282752507,0.5349345356376846,3.0294376250356896,0.1765788248013136,0.8598392280607043,0.9997773418605458
Abcb4,0.36324131991076997,-0.21125950902607873,2.39590147860407,-0.08817537403464744,0.9297372897398276,0.9997773418605458
Abcb8,0.6226167082411541,0.04980006069699965,1.9456501583238075,0.025595588438109957,0.9795799048351819,0.9997773418605458
Abcc1,2.399012096110063,-0.32594944867526576,1.1782070011082,-0.27664871144771985,0.7820498575340997,0.9997773418605458
Abcc6,0.0,,,,,
Abcc8,0.15619257131010028,1.4483033112291015,2.991776271734146,0.4840947917504575,0.6283185973911445,0.9997773418605458
Abcc9,0.0,,,,,
Abcd2,0.7916386668753121,0.0382671138791654,1.6286739686213174,0.023495871252586387,0.9812547318403364,0.9997773418605458
Abcd3,16.255518540052986,-0.02487185185966141,0.7310398899198999,-0.034022564572210444,0.9728591571886951,0.9997773418605458
Abcf1,2.6695784035926184,-0.3839165312875945,1.1887849221135236,-0.32294868831700424,0.7467341022759164,0.9997773418605458
Abcg2,0.609600660631979,-0.009802298920512707,1.9486200220579053,-0.005030379863469052,0.9959863544993353,0.9997773418605458
Abcg8,0.0,,,,,
Abhd17c,2.775582360282849,-0.2344924683439426,1.2068532484226566,-0.19430073097157552,0.8459404133094663,0.9997773418605458
Abhd4,11.183279081999055,-0.03892904022517778,0.8670846471672643,-0.04489647043383551,0.9641898301953564,0.9997773418605458
Abhd5,7.369237155315126,-0.21308158011077707,0.824993991226121,-0.2582825843302099,0.7961888260833803,0.9997773418605458
Abi1,15.6995392694691,-0.380729986296442,0.7120802892666008,-0.5346728339982146,0.5928761097186821,0.9997773418605458
Abi3bp,0.5552931491400498,-2.029117533425354,2.383606691583636,-0.8512803477981662,0.3946136389687528,0.9997773418605458
Abitram,3.364818546684442,0.7584894226669516,1.1573637820439384,0.6553595632027097,0.5122362798777635,0.9997773418605458
Abl1,13.439563825884093,0.6919107366537229,0.9238819917157751,0.7489167911680474,0.4539073591528967,0.9997773418605458
Abracl,0.052064190436700096,0.69325331535429,3.028754788395933,0.22889053878192817,0.8189539943390252,0.9997773418605458
Abraxas1,1.4531477746387804,0.7130321948974346,1.5507683363254243,0.45979285119206026,0.6456649149758902,0.9997773418605458
Abraxas2,3.7862000680990806,0.054949262794252184,1.018283936761655,0.053962613776469597,0.9569649507035323,0.9997773418605458
Acaa2,4.482490822292738,-1.2208109066753712,1.198734275135122,-1.018416618259923,0.3084800079667701,0.9997773418605458
