,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
2610035D17Rik,2.5421411010231485,0.7935954334121548,1.204249615818931,0.6589957953795839,0.5098984686647192,0.9998818426480339
9630013A20Rik,0.5774518952104587,-1.45016689758811,2.7345727037056378,-0.5303084081922484,0.5958981179376557,0.9998818426480339
A1cf,0.0,,,,,
A2m,0.3737239072727216,-0.2024510982874833,3.2167411869216247,-0.06293670722114456,0.949816904635632,0.9998818426480339
Aatf,1.2498975900225882,0.7886322864969546,1.64433951268694,0.47960429121373277,0.6315087944396451,0.9998818426480339
Abca1,3.2869476394817863,-0.15664101045348133,0.9899186036134977,-0.15823625284108714,0.874270637962053,0.9998818426480339
Abca13,0.0,,,,,
Abca3,5.857334246161663,-0.1888632733136399,0.7985390233398464,-0.23651101297934002,0.8130361625404126,0.9998818426480339
Abca4,0.0,,,,,
Abca7,2.0779625495159384,1.3239062387035505,1.3657199202229,0.969383413904862,0.33235392464443636,0.9998818426480339
Abca8a,0.13384614110242976,0.8389564066233026,4.4349645690541575,0.18916868298729753,0.8499606118438758,0.9998818426480339
Abca8b,2.058812300838515,0.21251908702845143,1.290127977540383,0.16472713616645773,0.8691587571786143,0.9998818426480339
Abcb1a,0.9229647442895598,2.0380845559079983,2.2053116496342997,0.9241707657264532,0.355397413824318,0.9998818426480339
Abcb1b,1.012866816907887,-0.022499042769264337,1.9212359085070776,-0.01171071322872969,0.9906564162837258,0.9998818426480339
Abcb4,0.7341768548212212,2.9237926093912407,2.648142126513283,1.1040920274324162,0.2695532193221245,0.9998818426480339
Abcb8,0.10714819219687732,-1.1042336532468597,4.449711242674914,-0.24815849681586463,0.8040117768267392,0.9998818426480339
Abcc1,1.0804152512185328,1.2128588623684449,1.8159861722804636,0.667878908375922,0.5042108917656101,0.9998818426480339
Abcc6,0.09769636286987511,0.7427700674227976,4.449579436165199,0.16693039827218872,0.867424814365432,0.9998818426480339
Abcc8,0.46308500794460977,2.3565924800840743,3.0998430374898276,0.7602296153654226,0.4471173454580851,0.9998818426480339
Abcc9,0.0,,,,,
Abcd2,0.5329668547799171,0.8098466518982786,2.7743930677595627,0.2919004741286581,0.7703627209671284,0.9998818426480339
Abcd3,9.113179066428875,0.6126570505909038,0.626489651720481,0.9779204635039226,0.3281136632860686,0.9998818426480339
Abcf1,2.0514267041129615,-0.2519159976290579,1.2494473950036455,-0.2016219319328149,0.8402122981309941,0.9998818426480339
Abcg2,2.8655012306093464,-0.30936749433829946,1.1075441889435413,-0.2793274502513506,0.7799935420672106,0.9998818426480339
Abcg8,0.0,,,,,
Abhd17c,2.8671928412237193,1.2148712654105411,1.1213548150106862,1.0833959502808785,0.2786327124321172,0.9998818426480339
Abhd4,5.555478905731889,0.5749224902763983,0.7888526496450703,0.7288084669996027,0.4661188315687508,0.9998818426480339
Abhd5,1.4086996544342725,-0.29928004238704964,1.6133345121657279,-0.1855040229600608,0.8528337251626268,0.9998818426480339
Abi1,10.258028040924705,0.46659655844477366,0.5686830964723758,0.8204860691994191,0.4119390676078153,0.9998818426480339
Abi3bp,0.0,,,,,
Abitram,1.8748660940909507,-1.7893651808762416,1.5183252345867064,-1.178512442601478,0.2385923748635701,0.9998818426480339
Abl1,3.1873362753135646,0.44181218912479214,1.0196562703790393,0.4332952211048104,0.6648003094907733,0.9998818426480339
Abracl,0.3737239072727216,-0.2024510982874833,3.2167411869216247,-0.06293670722114456,0.949816904635632,0.9998818426480339
Abraxas1,0.5785684623394739,-0.27118943077007945,2.3526000524188144,-0.11527221998114696,0.9082293568019493,0.9998818426480339
Abraxas2,1.3047773237368496,-2.877017105137573,1.9252605905462281,-1.4943520473357406,0.13508362804151922,0.9998818426480339
Acaa2,0.4664845726163618,2.2310494847150038,3.135143948116477,0.7116258524765242,0.47669649376065415,0.9998818426480339
Acaca,2.399251096649462,-2.256583957936109,1.3443035947774276,-1.678626737816412,0.09322481221593881,0.9998818426480339
Acacb,0.0,,,,,
Acan,0.5149331732315092,-1.4427777361037244,2.627709440357647,-0.5490628887444092,0.5829622922452597,0.9998818426480339
Ace,0.3025409179366276,0.4389955841139913,3.3694417970843804,0.13028733260620784,0.8963391017597991,0.9998818426480339
Ace2,0.0,,,,,
Acer1,0.0,,,,,
Ache,0.9473566720859606,0.8148919070217536,1.8889207924746516,0.4314060760346514,0.6661731327159177,0.9998818426480339
Ackr1,1.6688144113288725,-0.7848091559783881,1.5359980103838444,-0.5109441227611129,0.6093901840383302,0.9998818426480339
Ackr2,0.0,,,,,
Ackr3,2.744702658547164,0.9666675442461177,1.121882891677092,0.8616474601917279,0.38888154576332445,0.9998818426480339
Ackr4,0.0,,,,,
Acly,7.509119854550494,-0.28569893946306035,0.6921421439628521,-0.41277495086095223,0.6797715055186179,0.9998818426480339
Acod1,0.0,,,,,
Acot6,0.7923238747867898,3.134378993828227,2.6864976038372426,1.1667157228620848,0.24332519114190476,0.9998818426480339
Acox1,13.29738130898978,0.6579653846976331,0.5287074226516447,1.2444791892607,0.2133232539172666,0.9998818426480339
Acp2,2.4932952307786995,0.2528265652195867,1.185880108619671,0.2131974078845704,0.8311729900023066,0.9998818426480339
Acp5,0.0,,,,,
Acr,0.13384614110242976,0.8389564066233026,4.4349645690541575,0.18916868298729753,0.8499606118438758,0.9998818426480339
Acsl1,0.9871410053439634,-0.9368172902766523,1.9711633361644951,-0.4752611176806477,0.6346008693470293,0.9998818426480339
Acsl4,2.7979752681678973,-0.055743689059798165,1.1098086553492983,-0.050228198159306604,0.9599405410266991,0.9998818426480339
Acsl6,11.079007751911353,-0.313784348539982,0.6104369464128119,-0.5140323671165593,0.6072293613715797,0.9998818426480339
Acss1,2.238863036098589,0.03820498948080308,1.211168295113889,0.031543914776278534,0.9748357706277904,0.9998818426480339
Acss2,0.4714202701425967,0.4982023405689192,2.7530486474480553,0.1809638711000363,0.8563959344491577,0.9998818426480339
Actc1,0.0,,,,,
Actg2,0.09769636286987511,0.7427700674227976,4.449579436165199,0.16693039827218872,0.867424814365432,0.9998818426480339
Actl6a,0.8886570805042308,-1.2413343572307245,1.9202165452427828,-0.6464554012442258,0.5179844713081648,0.9998818426480339
Actl6b,1.8986877765560009,-1.3624061046307974,1.4092327961873379,-0.9667715002920529,0.3336582745835198,0.9998818426480339
Actn1,0.891677776732119,0.014751008493484078,1.9924511965438818,0.007403447833036647,0.9940929572392192,0.9998818426480339
Actn2,0.9869060149902672,0.7208031838708734,1.988709349824894,0.36244772718262736,0.7170174793335353,0.9998818426480339
Actr1a,2.5847450359212325,1.186942863303403,1.2434785358281744,0.9545342594216009,0.3398132761908603,0.9998818426480339
Actr1b,3.853965850323293,0.1980256375874351,0.9599314740643515,0.20629143114663614,0.8365632715427687,0.9998818426480339
Actr2,20.020208533204023,-0.2366465361644968,0.40847646526759923,-0.579339463313917,0.5623601425474751,0.9998818426480339
Acvr1,1.911712873727053,-0.2970329208125709,1.3319609534093386,-0.22300422550096077,0.823532217838989,0.9998818426480339
Acvr1b,2.9997262401556397,-0.6322951215842394,1.0331290233664971,-0.6120195128425271,0.5405248475460136,0.9998818426480339
Acvr1c,0.4344829299401843,0.49511285056923415,2.810105612235646,0.17619012197030398,0.8601445809192423,0.9998818426480339
Acvr2a,4.159118770961815,0.24121132068125253,0.8949569713534502,0.26952281327723143,0.7875273890698564,0.9998818426480339
Acvr2b,0.4172368103616341,-2.3636757762749427,3.217744224628729,-0.7345754078845932,0.46259811963923636,0.9998818426480339
Acvrl1,0.10714819219687732,-1.1042336532468597,4.449711242674914,-0.24815849681586463,0.8040117768267392,0.9998818426480339
Ada,0.0,,,,,
Adad1,0.0,,,,,
Adad2,0.0,,,,,
Adam10,4.743554922584768,0.057360782986293136,0.8365001403661083,0.06857235309152276,0.9453300260873371,0.9998818426480339
Adam17,1.2491100280527305,0.8792502911037648,1.6248708565395995,0.5411201066011222,0.5884248003224632,0.9998818426480339
Adam18,1.2623809877769523,-1.1004181511870004,1.6448168846621318,-0.6690216773966553,0.5034816500255936,0.9998818426480339
Adam28,0.0,,,,,
Adamdec1,0.0,,,,,
Adamts1,1.264100541504054,-0.5510062392590016,1.7695632013872875,-0.3113798019912644,0.7555119069015117,0.9998818426480339
Adamts13,0.0,,,,,
