,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
2610035D17Rik,1.0115250403804295,-0.8988006904731205,2.0076699226795656,-0.44768349633565424,0.6543816340378146,0.9994353376507911
9630013A20Rik,0.5073767864056313,-1.6214280201505333,2.113978656255204,-0.7670030231160438,0.4430797181086906,0.9994353376507911
A1cf,0.0,,,,,
A2m,0.12874429349567373,0.7224392672218282,3.9440923470262983,0.18316996755071444,0.8546646580982369,0.9994353376507911
Aatf,0.983574724340658,-0.5726848169992524,1.5649032408336365,-0.3659554163196561,0.7143983439280572,0.9994353376507911
Abca1,2.4999823243432804,-1.1448107501129448,1.1402295292645177,-1.0040178058284301,0.3153700311540706,0.9994353376507911
Abca13,0.0,,,,,
Abca3,2.3149690478510285,-0.2115285538630982,1.1310310629851585,-0.18702276249142585,0.8516427859334841,0.9994353376507911
Abca4,0.0,,,,,
Abca7,0.5056363401856343,2.3197941610121116,2.6033459387611764,0.8910817907342751,0.37288529299690554,0.9994353376507911
Abca8a,0.024814775319428686,-0.11692933019438598,3.788494001904853,-0.030864330294727658,0.975377736663295,0.9994353376507911
Abca8b,0.2031886194539598,1.2102164967183662,2.7289451803264853,0.4434740959411938,0.657422851868176,0.9994353376507911
Abcb1a,0.04962955063885737,0.2171282452474274,3.810712544228587,0.05697838467933594,0.9545624136897648,0.9994353376507911
Abcb1b,0.6598697215144699,1.7832113375453942,2.752358351773939,0.6478848716759886,0.5170594161813085,0.9994353376507911
Abcb4,0.7060791644195783,-1.482073310286058,2.8996052285402856,-0.511129341228344,0.6092604916493485,0.9994353376507911
Abcb8,0.024814775319428686,-0.11692933019438598,3.788494001904853,-0.030864330294727658,0.975377736663295,0.9994353376507911
Abcc1,0.53219156172506,-1.3235973210759595,2.0996439804110043,-0.6303913108244503,0.5284385944433486,0.9994353376507911
Abcc6,0.0,,,,,
Abcc8,0.0,,,,,
Abcc9,0.024814775319428686,-0.11692933019438598,3.788494001904853,-0.030864330294727658,0.975377736663295,0.9994353376507911
Abcd2,0.21870935094367902,-0.7407702056096557,2.659933582049743,-0.278491993412414,0.780634710374165,0.9994353376507911
