,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
2610035D17Rik,10.008461014493763,-0.17766357419099743,0.5708630576106882,-0.31121925271289624,0.7556339477575581,0.999865762599793
9630013A20Rik,7.503029277621075,1.0539627907925466,0.7021079725423831,1.501140610860851,0.1333191968572932,0.999865762599793
A1cf,0.10557466712086076,-1.5608830365373336,4.4576480745643,-0.350158426692286,0.726219804771607,0.999865762599793
A2m,0.6723767713498493,2.5843170843759644,2.7504857116842136,0.9395857151330197,0.3474301064062796,0.999865762599793
Aatf,11.70049967175312,0.4533957532676817,0.5479522909706781,0.82743655011371,0.40798967129663477,0.999865762599793
Abca1,23.052786723394693,-0.46423696679615295,0.3878507419722733,-1.1969474763292842,0.23132702759724655,0.999865762599793
Abca13,0.0,,,,,
Abca3,24.311795126208455,-0.09197314019161196,0.3690742230214755,-0.24919957681861804,0.8032064067529266,0.999865762599793
Abca4,0.0,,,,,
Abca7,5.824542967730643,0.7773178513628378,0.8144557223636171,0.954401608361223,0.33988039244171375,0.999865762599793
Abca8a,1.8265656110188921,-0.6353938786266783,1.5314257476733903,-0.41490348428057766,0.6782125590552897,0.999865762599793
Abca8b,7.633862501055076,-0.10115907187334854,0.6491573750591934,-0.15583135270414875,0.876165956625075,0.999865762599793
Abcb1a,7.298480122787999,-0.7872711421896884,0.6936007379363722,-1.1350494587592395,0.2563545961428819,0.999865762599793
Abcb1b,1.8187022192225426,-2.0340693000362866,1.4119987476007976,-1.440560272091234,0.1497089508618131,0.999865762599793
Abcb4,5.619893867578622,-0.854118739746672,0.7668349525861435,-1.113823433407886,0.265354941852451,0.999865762599793
Abcb8,2.292447590722765,0.0313604923806194,1.1742853406467857,0.02670602390671617,0.9786942084645105,0.999865762599793
Abcc1,5.4808762551111805,0.6338638374469037,0.7905286588126228,0.8018227174698128,0.42265551562220927,0.999865762599793
Abcc6,0.28564102803964597,1.2874604581094555,3.5128816960831433,0.36649695876322036,0.7139942815482965,0.999865762599793
Abcc8,0.7492045346929469,0.7389672816104006,2.066741852799446,0.3575518058094453,0.7206787503075248,0.999865762599793
Abcc9,0.13821750536263402,0.272609440621216,4.443913436313951,0.06134445338056238,0.9510848887636242,0.999865762599793
Abcd2,1.9338052887739934,0.16908486004437048,1.273441214083786,0.13277790774662765,0.8943690267024963,0.999865762599793
Abcd3,44.8102872118129,0.20838907108737292,0.292049537087525,0.7135401520082544,0.4755115763451523,0.999865762599793
Abcf1,7.153889526419402,-0.2473363261820954,0.6647273948858516,-0.3720868555817058,0.7098281825940786,0.999865762599793
Abcg2,14.511101284325932,-0.45913157597738713,0.49452902230562334,-0.9284219029993344,0.35318876125669907,0.999865762599793
Abcg8,0.0,,,,,
Abhd17c,11.903837992757317,-0.3252186945895252,0.5203011550491159,-0.6250585673960783,0.531932619734093,0.999865762599793
Abhd4,23.11462378967715,-0.48922333176452415,0.3911588048414439,-1.2507025937018872,0.2110430038308676,0.999865762599793
Abhd5,7.43176647165221,0.0005835814522356385,0.7137697966260051,0.0008176045764253856,0.999347646004309,0.999865762599793
Abi1,24.656498628469933,0.08283539226807408,0.3745292073027465,0.22117204920980976,0.8249584718499374,0.999865762599793
Abi3bp,0.2260336002710708,-1.8409443740201579,4.117992082360628,-0.44704903195560336,0.6548396579962583,0.999865762599793
Abitram,3.5076818994903545,2.7975169430299234,1.2752387908858949,2.193720080524306,0.028255539320058885,0.999865762599793
Abl1,15.152037796073996,-0.060271701132322233,0.4609767767401346,-0.13074780373654063,0.8959748149914509,0.999865762599793
Abracl,0.8903723890791287,-0.08037453417073356,1.875661776383103,-0.0428512939714122,0.9658200748364307,0.999865762599793
Abraxas1,3.358160275256605,0.10073309661438253,0.9873610443052606,0.10202255516902797,0.9187387720586163,0.999865762599793
Abraxas2,6.268951231181351,0.4240327971086176,0.7175326904070939,0.5909595517774131,0.5545475228284903,0.999865762599793
Acaa2,3.6642291001922587,-0.8689239559118823,0.9790381756270672,-0.8875281654419068,0.37479460917652485,0.999865762599793
Acaca,18.76323403965213,0.037949877035025906,0.4235267387046656,0.08960444186143623,0.9286015545138586,0.999865762599793
Acacb,1.1496328449782662,-0.516854399944124,1.670765199865031,-0.30935190653113726,0.7570538502676136,0.999865762599793
Acan,6.971351688147958,-0.22088620350264127,0.6735173629051598,-0.3279591821506537,0.7429425251529868,0.999865762599793
Ace,1.5627426817169556,0.10119747223892411,1.516902871327478,0.06671321819726256,0.9468100111570424,0.999865762599793
Ace2,0.13821750536263402,0.272609440621216,4.443913436313951,0.06134445338056238,0.9510848887636242,0.999865762599793
Acer1,0.0,,,,,
Ache,7.04146209709896,-0.2892129295908369,0.7034183346667938,-0.41115352747783546,0.6809599623488458,0.999865762599793
