,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
2610035D17Rik,29.854011612107396,0.025977059770433127,0.3585563551618954,0.07244902899212026,0.9422445677829385,0.9998022071546969
9630013A20Rik,33.6044714853123,0.12375282112985646,0.3491025551454906,0.35448844273935987,0.7229728638122388,0.9998022071546969
A1cf,0.0,,,,,
A2m,5.09198945265891,2.2889678809350595,1.031804981506089,2.218411349006994,0.026526798012485798,0.9998022071546969
Aatf,26.086255752108546,-0.03193921093626833,0.383629257287158,-0.08325540956424206,0.9336484551599595,0.9998022071546969
Abca1,36.824631329721406,0.2172639513716531,0.32340664684347775,0.6717980396884188,0.501712276888528,0.9998022071546969
Abca13,0.0,,,,,
Abca3,49.71973094423502,-0.09902799245319141,0.28289836632577336,-0.3500479473930758,0.7263027143578819,0.9998022071546969
Abca4,0.11683190814800842,0.3361680088994445,4.42990622829365,0.07588603270027515,0.9395097691059212,0.9998022071546969
Abca7,17.540618757751997,-0.41434045653410434,0.4498682542592542,-0.9210262173674615,0.35703673931577373,0.9998022071546969
Abca8a,2.018157490625541,-1.1714767792661578,1.3221892004341638,-0.8860129691586371,0.3756105386134504,0.9998022071546969
Abca8b,12.268882614092334,0.07073575525022867,0.5122583129558046,0.13808610511769565,0.8901723670830549,0.9998022071546969
Abcb1a,10.733262517881206,0.1967020563638024,0.611024019996505,0.32192197021146157,0.747511808637812,0.9998022071546969
Abcb1b,2.7282959522925836,-0.07263313683480882,1.0491658320673594,-0.06922941504079173,0.9448070094532465,0.9998022071546969
Abcb4,8.101945882815796,0.38688794721184727,0.6408251437155235,0.603734031047314,0.5460204848547838,0.9998022071546969
Abcb8,5.276916209865445,0.34609002645684783,0.8077952134979633,0.42843782764964405,0.6683323891419901,0.9998022071546969
Abcc1,10.793101750952983,-0.1962623561100921,0.557447057494713,-0.3520735350046286,0.7247831153150185,0.9998022071546969
Abcc6,0.0,,,,,
Abcc8,0.54158152928827,2.200148345393909,2.7618142425137835,0.7966315444123967,0.4256650516779906,0.9998022071546969
Abcc9,1.0256665030253036,-3.8245796150625355,2.490287984829564,-1.5357981238962168,0.12458790001029099,0.9998022071546969
Abcd2,4.167945884342822,0.5631931596400297,0.8999902226477018,0.6257769756466453,0.5314612357845859,0.9998022071546969
Abcd3,97.43470618065169,-0.010603698140352827,0.21641632905354055,-0.04899675632946123,0.960921880910882,0.9998022071546969
Abcf1,15.53268286641192,0.19478459622441027,0.4764753756578353,0.4088030697399318,0.6826841869527851,0.9998022071546969
Abcg2,29.01654353547249,-0.13431264880518207,0.36244810491272406,-0.3705707023562007,0.7109573069071129,0.9998022071546969
Abcg8,0.0,,,,,
Abhd17c,25.013147202476205,-0.053684926281216294,0.3984098676429861,-0.13474798352465306,0.8928111337547879,0.9998022071546969
Abhd4,58.57235885099815,0.09143853165126371,0.26346420582793306,0.34706244578431156,0.7285444059018078,0.9998022071546969
Abhd5,21.390465969357724,0.2444188982886252,0.39942176977724464,0.6119318394311264,0.5405828549240361,0.9998022071546969
Abi1,86.1289220276003,0.1411729166811348,0.23279915203475265,0.6064150811857779,0.5442391564001723,0.9998022071546969
Abi3bp,0.0,,,,,
Abitram,16.711906723990452,-0.11555968801416028,0.4415389375293029,-0.2617202656254775,0.7935371152749355,0.9998022071546969
Abl1,35.86765374463931,-0.24169852043867215,0.3527565897584226,-0.6851708159561072,0.49323613749964224,0.9998022071546969
Abracl,2.6994393677025084,0.679575573022268,1.133081007103706,0.5997590364340732,0.548666837085187,0.9998022071546969
Abraxas1,5.5297141174838265,-0.018374938716569547,0.7551472253964724,-0.024332922241649256,0.9805870527486373,0.9998022071546969
Abraxas2,16.494487801443302,0.3901662537510195,0.45556615930923516,0.8564425732205833,0.3917530245897457,0.9998022071546969
Acaa2,9.800218630991205,-0.8180803091870197,0.6107338768249762,-1.3395037351456185,0.18040673930117224,0.9998022071546969
Acaca,47.523310500571995,-0.1814459107061149,0.2976447097616232,-0.6096056968438336,0.5421230369616097,0.9998022071546969
Acacb,2.3443152943779104,0.045309281482634085,1.132122294869628,0.040021543333224247,0.9680759509545476,0.9998022071546969
Acan,5.862117814984359,-1.5904068825149458,0.7767203759654066,-2.0475925850898227,0.040599936506172496,0.9998022071546969
Ace,2.2803175427484716,-0.6102160898396105,1.1546952663745718,-0.5284650484066871,0.5971765997225227,0.9998022071546969
Ace2,0.0,,,,,
Acer1,0.0855877907627433,0.2597853432556278,4.441536345446785,0.05848997352502703,0.9533583487909845,0.9998022071546969
Ache,14.301568625708251,-0.5023560974453084,0.5028655856858274,-0.9989868301688927,0.31780107112517975,0.9998022071546969
Ackr1,3.613235892979745,0.8763407747649109,0.9646230194326562,0.9084800560537437,0.3636246461706568,0.9998022071546969
Ackr2,0.20692867955326663,-1.6371253675879127,4.161352122553113,-0.3934118813727034,0.6940152956275238,0.9998022071546969
Ackr3,22.671343672920738,-0.20579069123123017,0.4134120510823911,-0.49778590317440224,0.6186349528921391,0.9998022071546969
Ackr4,0.0,,,,,
Acly,144.168453043971,-0.114989290631933,0.2064070799478258,-0.5570995464932658,0.577459417389854,0.9998022071546969
Acod1,0.0,,,,,
Acot6,6.780797991472208,-0.07381907956262741,0.677403347641921,-0.10897359722179667,0.9132234319612569,0.9998022071546969
Acox1,130.73326095572384,0.04059693493747675,0.2026836562409256,0.20029703277712765,0.8412482830305589,0.9998022071546969
Acp2,30.043138489522416,0.18883640962995388,0.3443454706526589,0.5483923144743004,0.5834225525037007,0.9998022071546969
Acp5,0.0,,,,,
Acr,0.516526208360066,-1.6042962909234633,2.5561287414610594,-0.6276273432168611,0.530248092110295,0.9998022071546969
Acsl1,6.487543474128245,-0.10292976332856264,0.7505901156701528,-0.13713178628346764,0.890926627977912,0.9998022071546969
Acsl4,24.37432902651915,-0.09331681275514159,0.38328534850914653,-0.24346564020282324,0.8076446995478602,0.9998022071546969
Acsl6,98.16249103629725,-0.17020450793633107,0.23195878275582374,-0.7337704824718813,0.46308863338191386,0.9998022071546969
Acss1,29.552566037779428,0.3600918489202624,0.3539196259322695,1.0174396177429679,0.3089443433051645,0.9998022071546969
Acss2,16.346208811727504,0.4037642400260018,0.4704703719331471,0.8582139580159915,0.39077433000710204,0.9998022071546969
