,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
2610035D17Rik,17.759502421110184,-0.08295202137309987,0.4966845320339699,-0.16701148520450906,0.8673610119648013,0.9991474324648894
9630013A20Rik,8.683733705164988,0.3772201014787925,0.6561297085520706,0.5749169662066235,0.5653474549127486,0.9991474324648894
A1cf,0.0,,,,,
A2m,1.0983680043396913,4.167837233663568,2.7932244594378757,1.4921239929648644,0.13566664309894513,0.9991474324648894
Aatf,11.775840429342148,0.15701801719802702,0.5482431845973744,0.28640213250136404,0.7745701415819922,0.9991474324648894
Abca1,10.985645886965244,0.0614871874258008,0.5374318906350145,0.11440926468496178,0.9089133700650597,0.9991474324648894
Abca13,0.0,,,,,
Abca3,27.44022305432487,-0.20498048121402765,0.34508175240099936,-0.5940055647330543,0.5525083910604767,0.9991474324648894
Abca4,0.31089739212120127,-0.8005584665155533,3.4833486640941076,-0.22982438558838597,0.8182282349090835,0.9991474324648894
Abca7,7.177132387512496,0.900479082567072,0.707352029927957,1.27302820161382,0.20300803465185524,0.9991474324648894
Abca8a,1.0118074887778874,0.4737600489244268,1.7734452799396005,0.2671410583023808,0.7893605559640557,0.9991474324648894
Abca8b,9.146473839669815,0.14976983151563728,0.5966463388672155,0.25101944277406985,0.8017990771893928,0.9991474324648894
Abcb1a,2.0681028451159134,-1.1664499652859779,1.315949670602465,-0.8863940554443519,0.37540522140641275,0.9991474324648894
Abcb1b,1.912110071464827,-1.0082058542254169,1.3169447147357118,-0.7655642966210214,0.44393559531123616,0.9991474324648894
Abcb4,5.456124947928976,-0.8534490447047237,0.8576260190564093,-0.9951296086419098,0.3196732318092821,0.9991474324648894
Abcb8,2.8617518718688153,0.23260505584415045,1.06485969546656,0.21843728036136853,0.8270884212458466,0.9991474324648894
Abcc1,4.931160890918906,-0.5031015364890734,0.8067918421052718,-0.6235828254984112,0.5329015925422762,0.9991474324648894
Abcc6,0.2985412862293837,-0.8066643018852603,3.473394891259682,-0.23224088453493136,0.8163509244340736,0.9991474324648894
Abcc8,1.0130934214442053,-0.6876330966190811,1.7520751452662966,-0.3924678107996152,0.6947125907069625,0.9991474324648894
Abcc9,0.0,,,,,
Abcd2,2.8186745281462837,-0.10281488647492383,1.081132224946536,-0.09509927102580648,0.9242359770903288,0.9991474324648894
Abcd3,52.16004738988315,-0.29356082642937387,0.3020455523169148,-0.9719091182688943,0.3310957631488305,0.9991474324648894
Abcf1,8.031374254864494,0.09072107533216286,0.6375185490738626,0.1423034286044781,0.8868403384537069,0.9991474324648894
Abcg2,10.653501472769852,-0.38689550315038584,0.5629980362856163,-0.6872057773112883,0.4919530642256338,0.9991474324648894
Abcg8,0.08078683192948334,2.4549854076821314,4.503886995912264,0.5450814840404035,0.585697476748685,0.9991474324648894
Abhd17c,18.809867291560412,0.4245432077637205,0.4571897163297822,0.9285930820401197,0.3531000084017526,0.9991474324648894
Abhd4,22.25169390253782,0.21744234831451706,0.40175784221688166,0.5412273898990495,0.5883508608281803,0.9991474324648894
Abhd5,9.096575813666725,-0.010507781710542561,0.6161653694910684,-0.01705350905913721,0.9863939279086369,0.9991474324648894
Abi1,43.66320676409975,0.1655263836822691,0.28412775922182454,0.5825773030259924,0.5601778883275665,0.9991474324648894
Abi3bp,0.09267072784306386,0.839920626504366,4.443188610534037,0.18903555534713484,0.8500649500087378,0.9991474324648894
Abitram,8.542282621787345,-0.3344880865739364,0.6643776411774255,-0.5034607817041357,0.6146403469563607,0.9991474324648894
Abl1,18.937827460472366,-0.22590718290294906,0.48697634824562636,-0.4638976486574735,0.6427210775393208,0.9991474324648894
Abracl,0.7889493383092491,1.5123718861410496,2.2656956107544217,0.6675088564246573,0.5044471545050561,0.9991474324648894
Abraxas1,3.0924212651681255,0.6090784290247311,0.9987337374972367,0.6098506600478351,0.5419607392407751,0.9991474324648894
Abraxas2,9.129906264771419,-0.3419699477126168,0.6667734031210838,-0.5128728082312488,0.6080402954501662,0.9991474324648894
Acaa2,7.795836906670398,0.4272446443916065,0.6998954576478836,0.6104406589913213,0.5415699413505566,0.9991474324648894
Acaca,22.780050952288338,-0.03977106456315378,0.3989636067883142,-0.09968594600222742,0.9205936584259462,0.9991474324648894
Acacb,0.0,,,,,
Acan,7.3929302275803686,0.09251699459556209,0.6387039425566491,0.14485114061646237,0.8848284036050115,0.9991474324648894
Ace,1.8680925934912695,0.48031437750970907,1.224287954273322,0.39232141085207395,0.6948207455708044,0.9991474324648894
Ace2,0.08078683192948334,2.4549854076821314,4.503886995912264,0.5450814840404035,0.585697476748685,0.9991474324648894
Acer1,0.0,,,,,
Ache,8.749293528148952,0.013662690081557488,0.6137813612584231,0.02225986474001941,0.9822406642403051,0.9991474324648894
Ackr1,5.129335646535993,-0.43384167939441226,0.7921554550280995,-0.547672400209657,0.5839168665457878,0.9991474324648894
Ackr2,0.0,,,,,
Ackr3,18.121221693605282,0.24095948595247008,0.5036648748579423,0.47841232927039473,0.6323567600163713,0.9991474324648894
Ackr4,0.0,,,,,
Acly,62.48712479501469,0.04028279471575722,0.2750011445587014,0.14648228021159568,0.8835406773730803,0.9991474324648894
Acod1,0.0,,,,,
Acot6,4.147540716906298,0.3339862205685318,0.9274724436490068,0.36010365898798147,0.7187696166206273,0.9991474324648894
Acox1,79.50663648799984,-0.13787306019738016,0.23211621632747723,-0.5939828865849868,0.5525235591810995,0.9991474324648894
Acp2,17.589084017347684,0.32320594056771396,0.46758831206688906,0.6912190322701628,0.48942790518259804,0.9991474324648894
Acp5,0.0,,,,,
Acr,1.725073691326391,1.4292347854204925,1.502467970134641,0.9512580726046453,0.34147338516105863,0.9991474324648894
Acsl1,5.327875718659226,0.09859721709764005,0.8235269616062852,0.11972554839652932,0.9047005612347081,0.9991474324648894
Acsl4,20.218394744367515,0.07150622989686628,0.39991556023881764,0.17880332001626767,0.8580921383008231,0.9991474324648894
Acsl6,43.60777187238472,-0.12230321926830981,0.31188513436567245,-0.3921418682460009,0.6949533934849796,0.9991474324648894
Acss1,17.783315601279103,-0.008208517219078306,0.41742106243039645,-0.01966483715815622,0.9843107412352684,0.9991474324648894
Acss2,6.016940610621272,-0.2649553416554531,0.7246088963777441,-0.365652896314055,0.7146240987864456,0.9991474324648894
Actc1,0.0,,,,,
Actg2,0.0,,,,,
Actl6a,3.964962576699652,0.4611221874137438,0.9436612819275987,0.48865222749397796,0.6250879307072099,0.9991474324648894
Actl6b,9.310637789737623,-0.1534103804400632,0.6031927501232611,-0.25433061058627465,0.7992401532712131,0.9991474324648894
Actn1,8.737343279448753,-0.46972826616463137,0.6328793415481809,-0.7422082462283548,0.4579611731182328,0.9991474324648894
Actn2,2.56696331055795,0.037780804553301836,1.0859346712038156,0.03479104733935774,0.9722463594996091,0.9991474324648894
Actr1a,9.725916559356758,-0.7022869472926411,0.5829816269450511,-1.2046467930263525,0.22833968435752316,0.9991474324648894
Actr1b,20.83096703876463,0.07538862899979835,0.38982319857700065,0.193391848599557,0.846652098812268,0.9991474324648894
Actr2,97.8310199195284,0.01649515483558062,0.22406893739188327,0.07361642817420772,0.9413155988161483,0.9991474324648894
Acvr1,7.481826862947528,0.5338218463615811,0.658670109409461,0.8104540326570852,0.41767927400283056,0.9991474324648894
Acvr1b,19.24868067537811,-0.6000473396228402,0.4405150178038233,-1.362149564422029,0.17315068898151165,0.9991474324648894
Acvr1c,0.5406223654640375,-0.7759094541995976,2.455462791411749,-0.3159931630458528,0.7520076975644275,0.9991474324648894
Acvr2a,24.835310220073918,0.17609119382360064,0.3825540317608257,0.4603041118481625,0.6452979501921033,0.9991474324648894
Acvr2b,4.872989779087908,-0.11948621768063743,0.783925397665773,-0.15242039361962406,0.878855373217398,0.9991474324648894
Acvrl1,1.798910240921571,-0.8410170214298968,1.3482528292921836,-0.6237828715489665,0.5327701899161769,0.9991474324648894
Ada,0.0,,,,,
Adad1,0.0,,,,,
Adad2,0.0,,,,,
Adam10,38.58454776663931,0.31335443047292905,0.31378448598695863,0.9986294557786153,0.3179742255349829,0.9991474324648894
Adam17,8.281736321594265,-0.026858212620792337,0.6978049871963247,-0.03848956816531878,0.9692973487204002,0.9991474324648894
Adam18,3.2756569594027503,-0.5358968495709598,1.017126641720205,-0.5268732796779659,0.598281590516622,0.9991474324648894
Adam28,0.0,,,,,
Adamdec1,0.0,,,,,
Adamts1,6.445022736949755,-0.501054980610003,0.7836208687424768,-0.6394099501383568,0.5225562776913847,0.9991474324648894
Adamts13,0.0,,,,,
Adamts14,0.08078683192948334,2.4549854076821314,4.503886995912264,0.5450814840404035,0.585697476748685,0.9991474324648894
Adamts18,0.2985412862293837,-0.8066643018852603,3.473394891259682,-0.23224088453493136,0.8163509244340736,0.9991474324648894
Adamts20,4.052293862846699,1.3930843565300581,0.9674610987750798,1.439938368885186,0.14988483651312454,0.9991474324648894
Adamts3,6.084099563984924,0.08095433376515672,0.7305663258060296,0.11081038217281677,0.9117667122747359,0.9991474324648894
Adamts5,2.0689429151689573,1.5803714124800345,1.4076402456913324,1.1227097387400067,0.26156079052080905,0.9991474324648894
Adamts6,5.750228958671432,0.0259648053157504,0.7343734419942294,0.03535640565274476,0.971795546208988,0.9991474324648894
Adar,23.77909897662479,-0.288875339336455,0.3868769914684715,-0.7466852402877955,0.45525358119506176,0.9991474324648894
Adarb1,15.637811512254421,-0.18168889085905285,0.4831562404128632,-0.37604583292517835,0.7068828226962258,0.9991474324648894
Adcy1,11.534765463107496,0.2992178832770893,0.5169460351452914,0.5788184122410224,0.5627117060995106,0.9991474324648894
Adcy2,8.059877479673068,-0.06904241746240204,0.7082266502534014,-0.09748633073564639,0.9223401890167885,0.9991474324648894
Adcy3,7.40353135449688,0.018478547787596715,0.6496309713424521,0.02844468414030675,0.9773074858145407,0.9991474324648894
Adcy8,6.994663581270186,0.3627637874176218,0.6815328650077865,0.5322762936949155,0.5945346486916596,0.9991474324648894
Adcyap1,8.720835926418323,-1.8872764480637856,0.7207321028311002,-2.6185547176966235,0.008830312851359923,0.9991474324648894
Adcyap1r1,79.2464081438146,0.07211129085948163,0.26252380355562466,0.2746847709914518,0.7835584322595328,0.9991474324648894
Add2,69.32109146718177,0.1104324977662254,0.2529345754969075,0.43660498984479723,0.6623978432741274,0.9991474324648894
Adgra2,1.5325891598815191,-0.4707579162978445,1.431252209388698,-0.3289133202448714,0.742221205892378,0.9991474324648894
Adgra3,7.543821125454372,0.058847004797986886,0.6820290527331028,0.08628225522383337,0.9312420441459887,0.9991474324648894
Adgrb1,90.29571598380885,-0.16885916424699834,0.22388486677161215,-0.7542232160749559,0.450715199373245,0.9991474324648894
Adgre1,0.5173267836151135,1.5347652117354484,2.453807180528232,0.6254628415444847,0.5316673289820837,0.9991474324648894
Adgre5,1.1657424619627643,-1.399943529047006,1.854687974298714,-0.7548135041832824,0.45036089002376367,0.9991474324648894
Adgrf1,0.0,,,,,
Adgrf5,3.8904332590576973,-2.7733561291424036,1.1759717253807902,-2.3583527301597034,0.01835624165813188,0.9991474324648894
Adgrg1,19.84625945852279,0.12683393213286423,0.42162570214419115,0.3008211584062503,0.7635508732157958,0.9991474324648894
Adgrg2,0.8274725492042814,-1.4646786466327906,1.9862631947576166,-0.7374041116497277,0.46087663582002225,0.9991474324648894
Adgrg5,0.0,,,,,
Adgrg6,0.0,,,,,
Adgrg7,0.0,,,,,
Adgrl1,49.60111056252748,0.21874931185707516,0.2787149122614947,0.7848496877405724,0.4325417036190953,0.9991474324648894
Adgrl2,4.809705298209298,-0.013627312791133293,0.8259525959293887,-0.016498904244981998,0.9868363762555707,0.9991474324648894
Adgrl3,56.32523787424975,-0.006952849455950993,0.25862863054472257,-0.026883525777122698,0.9785526332945601,0.9991474324648894
Adgrv1,1.0338153175688383,-1.1931638410662704,1.7479001543617705,-0.6826270013700771,0.49484256762741097,0.9991474324648894
Adh5,36.59864717176976,-0.1145202149577693,0.3076648328529217,-0.3722239356895085,0.7097261263258117,0.9991474324648894
Adipoq,0.0,,,,,
Adipor1,18.732247305721437,-0.02664995148626616,0.4242380017635582,-0.06281839763406923,0.9499111156086832,0.9991474324648894
