cell_class,gene,effect,age,mean,hdi_2.5%,hdi_97.5%,term
Microglia,Camsap1,mtDSB_at_age,21,0.023267634264603466,-1.6945082793002806,1.7246199242760067,beta[21] (mtDSB effect @ age)
Microglia,Camsap1,mtDSB_at_age,60,-0.008323937663242926,-1.7141840870331282,1.7310674003535462,beta[60] (mtDSB effect @ age)
Microglia,Camsap1,age_interaction,60–21,-0.03159157192784638,-1.8489032652456057,1.8340484564562776,age_interaction(60 - 21)
Microglia,Igfn1,mtDSB_at_age,21,0.3843675071852015,0.09340042274308093,0.6692457270080966,beta[21] (mtDSB effect @ age)
Microglia,Igfn1,mtDSB_at_age,60,-0.3529799434938916,-0.6254050041985725,-0.06995313289715496,beta[60] (mtDSB effect @ age)
Microglia,Igfn1,age_interaction,60–21,-0.7373474506790931,-1.123597110511946,-0.3174557563698079,age_interaction(60 - 21)
Microglia,Fzd7,mtDSB_at_age,21,-0.19714840214893328,-0.41655696936266906,0.03681389135113861,beta[21] (mtDSB effect @ age)
Microglia,Fzd7,mtDSB_at_age,60,0.37723367160642324,0.150708406024958,0.5934019800018643,beta[60] (mtDSB effect @ age)
Microglia,Fzd7,age_interaction,60–21,0.5743820737553564,0.2427073247491183,0.878281463370054,age_interaction(60 - 21)
Microglia,Mlst8,mtDSB_at_age,21,0.17402359337796033,0.0007764585018440169,0.3330837549833558,beta[21] (mtDSB effect @ age)
Microglia,Mlst8,mtDSB_at_age,60,-0.1931292640391145,-0.35155283786100955,-0.02658081774753475,beta[60] (mtDSB effect @ age)
Microglia,Mlst8,age_interaction,60–21,-0.3671528574170749,-0.5951201316429853,-0.1371272101961575,age_interaction(60 - 21)
Microglia,Kif3b,mtDSB_at_age,21,0.11670902279463956,-1.3415792029649276,1.4159655964057722,beta[21] (mtDSB effect @ age)
Microglia,Kif3b,mtDSB_at_age,60,0.013707540242770998,-1.324880384394932,1.4005523757365386,beta[60] (mtDSB effect @ age)
Microglia,Kif3b,age_interaction,60–21,-0.10300148255186857,-1.5251977553137461,1.4515292382579985,age_interaction(60 - 21)
Microglia,Kmt2d,mtDSB_at_age,21,-0.0008335891172570329,-1.6870322910182252,1.680974846209062,beta[21] (mtDSB effect @ age)
Microglia,Kmt2d,mtDSB_at_age,60,-0.004181756659061876,-1.661834554359682,1.658681700837877,beta[60] (mtDSB effect @ age)
Microglia,Kmt2d,age_interaction,60–21,-0.0033481675418048393,-1.9146667681028475,1.7971232211112542,age_interaction(60 - 21)
Microglia,Gipc1,mtDSB_at_age,21,-0.0021596636505102824,-1.5736682429469735,1.5495465395203631,beta[21] (mtDSB effect @ age)
Microglia,Gipc1,mtDSB_at_age,60,0.11481291142312212,-1.5266796233161462,1.5088727655671592,beta[60] (mtDSB effect @ age)
Microglia,Gipc1,age_interaction,60–21,0.11697257507363241,-1.571418687418275,1.6472271816775994,age_interaction(60 - 21)
Microglia,Adrb1,mtDSB_at_age,21,0.03788984667786612,-1.6964176967195388,1.7799831804738466,beta[21] (mtDSB effect @ age)
Microglia,Adrb1,mtDSB_at_age,60,-0.02648069643672999,-1.7026697283922525,1.74050640695034,beta[60] (mtDSB effect @ age)
Microglia,Adrb1,age_interaction,60–21,-0.06437054311459611,-1.9842655961327642,1.7922868314423968,age_interaction(60 - 21)
Microglia,Dusp1,mtDSB_at_age,21,0.2629435617729086,0.001961738623116544,0.5079553177830562,beta[21] (mtDSB effect @ age)
Microglia,Dusp1,mtDSB_at_age,60,-0.19840283362152136,-0.4326584371395655,0.0536016762960455,beta[60] (mtDSB effect @ age)
Microglia,Dusp1,age_interaction,60–21,-0.4613463953944299,-0.7942506900652413,-0.09739109954660581,age_interaction(60 - 21)
Microglia,Anks6,mtDSB_at_age,21,0.05704452997865572,-0.1593414849959689,0.27086740216899474,beta[21] (mtDSB effect @ age)
Microglia,Anks6,mtDSB_at_age,60,-0.344355896547141,-0.5503682015243208,-0.12966406247455697,beta[60] (mtDSB effect @ age)
Microglia,Anks6,age_interaction,60–21,-0.4014004265257967,-0.7147008685602337,-0.10440865927352878,age_interaction(60 - 21)
Microglia,Flnb,mtDSB_at_age,21,0.19746138067660832,0.0636217051829991,0.30972150780824137,beta[21] (mtDSB effect @ age)
Microglia,Flnb,mtDSB_at_age,60,-0.0659196790682138,-0.17212215793539618,0.074900064357988,beta[60] (mtDSB effect @ age)
Microglia,Flnb,age_interaction,60–21,-0.2633810597448222,-0.42379178512000676,-0.06532615727819158,age_interaction(60 - 21)
Microglia,Agrn,mtDSB_at_age,21,0.2890315402571996,0.01977542580837382,0.567441895568342,beta[21] (mtDSB effect @ age)
Microglia,Agrn,mtDSB_at_age,60,-0.17342528248675984,-0.4332735372683213,0.08782475650335474,beta[60] (mtDSB effect @ age)
Microglia,Agrn,age_interaction,60–21,-0.4624568227439595,-0.8347814271929824,-0.07982751204588427,age_interaction(60 - 21)
Microglia,Ift88,mtDSB_at_age,21,0.26785830235565217,0.06441476994117809,0.45195059097825363,beta[21] (mtDSB effect @ age)
Microglia,Ift88,mtDSB_at_age,60,-0.058758172126041175,-0.2444089824644695,0.12751234505282982,beta[60] (mtDSB effect @ age)
Microglia,Ift88,age_interaction,60–21,-0.32661647448169334,-0.5842212937667212,-0.04729659128964751,age_interaction(60 - 21)
Microglia,Arid3b,mtDSB_at_age,21,0.1685171262063916,-0.05963911640047819,0.3962158943134723,beta[21] (mtDSB effect @ age)
Microglia,Arid3b,mtDSB_at_age,60,-0.22591616716583152,-0.46410536907724337,0.0011669074164003975,beta[60] (mtDSB effect @ age)
Microglia,Arid3b,age_interaction,60–21,-0.39443329337222316,-0.7253103102973141,-0.06663952246689607,age_interaction(60 - 21)
Microglia,Wrnip1,mtDSB_at_age,21,0.08446034948735806,-1.2934177498483055,1.320376774466839,beta[21] (mtDSB effect @ age)
Microglia,Wrnip1,mtDSB_at_age,60,-0.11001997204238802,-1.3018782748204614,1.275896636432092,beta[60] (mtDSB effect @ age)
Microglia,Wrnip1,age_interaction,60–21,-0.1944803215297461,-1.4853406738385748,1.3184507847258449,age_interaction(60 - 21)
Microglia,Rubcn,mtDSB_at_age,21,0.0547639197607638,-0.05811021168467561,0.16931251639916975,beta[21] (mtDSB effect @ age)
Microglia,Rubcn,mtDSB_at_age,60,-0.13403487202425154,-0.24576884739326474,-0.024845596793613083,beta[60] (mtDSB effect @ age)
Microglia,Rubcn,age_interaction,60–21,-0.18879879178501535,-0.3507002016937566,-0.023537455263584302,age_interaction(60 - 21)
Microglia,Cdipt,mtDSB_at_age,21,-0.0023538125246824306,-1.6475907961425105,1.685386454827,beta[21] (mtDSB effect @ age)
Microglia,Cdipt,mtDSB_at_age,60,0.28457170992024045,-1.6176036870480686,1.5805017077128274,beta[60] (mtDSB effect @ age)
Microglia,Cdipt,age_interaction,60–21,0.28692552244492303,-1.7806278807808313,1.6645776555740728,age_interaction(60 - 21)
Microglia,Huwe1,mtDSB_at_age,21,0.11567828251341428,-1.3188546853977665,1.2848456768722474,beta[21] (mtDSB effect @ age)
Microglia,Huwe1,mtDSB_at_age,60,-0.08636573576175997,-1.2523884628433055,1.2468501726010166,beta[60] (mtDSB effect @ age)
Microglia,Huwe1,age_interaction,60–21,-0.20204401827517426,-1.4001971156919444,1.3693516353281898,age_interaction(60 - 21)
Microglia,Hhex,mtDSB_at_age,21,-0.03790208125455329,-1.7694693664610996,1.717845281470572,beta[21] (mtDSB effect @ age)
Microglia,Hhex,mtDSB_at_age,60,-0.0250936550914112,-1.7094876658311648,1.7006548458862298,beta[60] (mtDSB effect @ age)
Microglia,Hhex,age_interaction,60–21,0.01280842616314209,-1.796055948494461,1.8244992902753054,age_interaction(60 - 21)
Microglia,Sorcs3,mtDSB_at_age,21,0.1920184998409035,-0.06088805904505658,0.4286934661738832,beta[21] (mtDSB effect @ age)
Microglia,Sorcs3,mtDSB_at_age,60,-0.2041549974992741,-0.44860471572923805,0.03788707941232152,beta[60] (mtDSB effect @ age)
Microglia,Sorcs3,age_interaction,60–21,-0.3961734973401775,-0.7318629101504194,-0.04846967142938598,age_interaction(60 - 21)
Microglia,Trrap,mtDSB_at_age,21,-0.0072958067327566455,-1.7682140170154328,1.6856038370839466,beta[21] (mtDSB effect @ age)
Microglia,Trrap,mtDSB_at_age,60,-0.014063021804354483,-1.728063874405267,1.660560609490285,beta[60] (mtDSB effect @ age)
Microglia,Trrap,age_interaction,60–21,-0.006767215071597842,-1.8768873285559258,1.8825925101239243,age_interaction(60 - 21)
Microglia,Washc2,mtDSB_at_age,21,0.13933621278430217,-1.599551623511191,1.71592487502983,beta[21] (mtDSB effect @ age)
Microglia,Washc2,mtDSB_at_age,60,-0.2545643139131311,-1.6553453361619996,1.7164017046836284,beta[60] (mtDSB effect @ age)
Microglia,Washc2,age_interaction,60–21,-0.3939005266974334,-1.76105960079824,1.7223459584819114,age_interaction(60 - 21)
Microglia,Lamc1,mtDSB_at_age,21,0.12689175035693395,-0.027411556253502847,0.2842140685806267,beta[21] (mtDSB effect @ age)
Microglia,Lamc1,mtDSB_at_age,60,-0.10555066599919757,-0.2610521157204456,0.0478349885051791,beta[60] (mtDSB effect @ age)
Microglia,Lamc1,age_interaction,60–21,-0.2324424163561315,-0.43872987764690446,-0.02235534199835015,age_interaction(60 - 21)
Microglia,Wee1,mtDSB_at_age,21,0.29403592898080855,0.08970417648747019,0.44359155925063004,beta[21] (mtDSB effect @ age)
Microglia,Wee1,mtDSB_at_age,60,-0.006979212569895586,-0.18412296693682131,0.15354286940120504,beta[60] (mtDSB effect @ age)
Microglia,Wee1,age_interaction,60–21,-0.3010151415507041,-0.5298266006225462,-0.03213876214172241,age_interaction(60 - 21)
Microglia,Map6,mtDSB_at_age,21,0.23288831449142694,-0.07069626468447032,0.5011281089105508,beta[21] (mtDSB effect @ age)
Microglia,Map6,mtDSB_at_age,60,-0.16347812650576582,-0.4358592711483214,0.13261843027513054,beta[60] (mtDSB effect @ age)
Microglia,Map6,age_interaction,60–21,-0.39636644099719276,-0.7853256932984732,0.008533680714076265,age_interaction(60 - 21)
Microglia,Camk2d,mtDSB_at_age,21,-0.005317734667838586,-1.716610234835094,1.735461238767499,beta[21] (mtDSB effect @ age)
Microglia,Camk2d,mtDSB_at_age,60,-0.03435774262663251,-1.7463609144621266,1.7181360440212268,beta[60] (mtDSB effect @ age)
Microglia,Camk2d,age_interaction,60–21,-0.029040007958793936,-1.832554994058327,1.7937908125326096,age_interaction(60 - 21)
Microglia,Zbtb46,mtDSB_at_age,21,0.24413538000510107,-0.0511041784381579,0.5300709673130886,beta[21] (mtDSB effect @ age)
Microglia,Zbtb46,mtDSB_at_age,60,-0.20513220776934224,-0.47538577262706894,0.07163360017677645,beta[60] (mtDSB effect @ age)
Microglia,Zbtb46,age_interaction,60–21,-0.44926758777444326,-0.8480773130902148,-0.025423664534467875,age_interaction(60 - 21)
Microglia,Neurod2,mtDSB_at_age,21,0.2221766219931418,-0.0920162131283101,0.5232598529993187,beta[21] (mtDSB effect @ age)
Microglia,Neurod2,mtDSB_at_age,60,-0.20993867946322234,-0.49000709792829567,0.09859579136017552,beta[60] (mtDSB effect @ age)
Microglia,Neurod2,age_interaction,60–21,-0.4321153014563641,-0.8379592461851586,0.01389332437447345,age_interaction(60 - 21)
Microglia,Cemip2,mtDSB_at_age,21,0.16655767078935635,-0.05203639703914006,0.3832010133585544,beta[21] (mtDSB effect @ age)
Microglia,Cemip2,mtDSB_at_age,60,-0.15290496991513067,-0.3671824988261009,0.06314405500865221,beta[60] (mtDSB effect @ age)
Microglia,Cemip2,age_interaction,60–21,-0.319462640704487,-0.6230188533612477,0.0019389165264975183,age_interaction(60 - 21)
Microglia,Irs1,mtDSB_at_age,21,0.267981030436822,-0.07741820437006405,0.6073449639449088,beta[21] (mtDSB effect @ age)
Microglia,Irs1,mtDSB_at_age,60,-0.2597031508543994,-0.579958896429102,0.110553384517532,beta[60] (mtDSB effect @ age)
Microglia,Irs1,age_interaction,60–21,-0.5276841812912213,-0.9909886654554826,-0.03841818020737378,age_interaction(60 - 21)
Microglia,Inpp4b,mtDSB_at_age,21,-0.017400102149581088,-1.7341766693135727,1.757488674203904,beta[21] (mtDSB effect @ age)
Microglia,Inpp4b,mtDSB_at_age,60,-0.07019788934882155,-1.8360277792959796,1.6745459757201768,beta[60] (mtDSB effect @ age)
Microglia,Inpp4b,age_interaction,60–21,-0.05279778719924046,-2.014607754586702,1.832702556673201,age_interaction(60 - 21)
Microglia,Acvr1b,mtDSB_at_age,21,-0.000651784924506559,-0.1711277112452641,0.1372831202509136,beta[21] (mtDSB effect @ age)
Microglia,Acvr1b,mtDSB_at_age,60,-0.1359704387661128,-0.27130723472711693,-0.0048380065545599584,beta[60] (mtDSB effect @ age)
Microglia,Acvr1b,age_interaction,60–21,-0.13531865384160627,-0.3377980593445064,0.04776489626638579,age_interaction(60 - 21)
Microglia,Prom1,mtDSB_at_age,21,0.14328371275029317,-0.23159326130245225,0.4911586762577425,beta[21] (mtDSB effect @ age)
