cell_class,gene,effect,age,mean,hdi_2.5%,hdi_97.5%,term
Telencephalon astrocytes,Gtf2e2,mtDSB_at_age,21,0.2508330016290795,0.0910799733675847,0.4062431767874041,beta[21] (mtDSB effect @ age)
Telencephalon astrocytes,Gtf2e2,mtDSB_at_age,60,-0.23713112611078127,-0.3850475737704226,-0.07658189730018593,beta[60] (mtDSB effect @ age)
Telencephalon astrocytes,Gtf2e2,age_interaction,60–21,-0.4879641277398608,-0.7026119510032813,-0.2668735316447266,age_interaction(60 - 21)
Telencephalon astrocytes,Cxcl12,mtDSB_at_age,21,-0.38177255224940937,-0.5809065927267133,-0.16563917550654036,beta[21] (mtDSB effect @ age)
Telencephalon astrocytes,Cxcl12,mtDSB_at_age,60,0.19097041199864925,-0.02688373874795387,0.40589273379087726,beta[60] (mtDSB effect @ age)
Telencephalon astrocytes,Cxcl12,age_interaction,60–21,0.5727429642480586,0.2624992717222498,0.8580789621842652,age_interaction(60 - 21)
Telencephalon astrocytes,Csk,mtDSB_at_age,21,0.2714586393218885,0.11499196180781093,0.4468122711578274,beta[21] (mtDSB effect @ age)
Telencephalon astrocytes,Csk,mtDSB_at_age,60,-0.0646601635974218,-0.2205287676428676,0.09894481326747973,beta[60] (mtDSB effect @ age)
Telencephalon astrocytes,Csk,age_interaction,60–21,-0.33611880291931034,-0.5728505856004026,-0.11571507774964597,age_interaction(60 - 21)
Telencephalon astrocytes,Scmh1,mtDSB_at_age,21,0.15062528828188135,0.057374796141531986,0.25010572362012834,beta[21] (mtDSB effect @ age)
Telencephalon astrocytes,Scmh1,mtDSB_at_age,60,-0.05130261071504195,-0.14040250312726887,0.055523782917026115,beta[60] (mtDSB effect @ age)
Telencephalon astrocytes,Scmh1,age_interaction,60–21,-0.20192789899692332,-0.33244036998056575,-0.054853877444803203,age_interaction(60 - 21)
Telencephalon astrocytes,Plxna1,mtDSB_at_age,21,0.12998972777392875,-0.00526058371336929,0.26851195620396295,beta[21] (mtDSB effect @ age)
Telencephalon astrocytes,Plxna1,mtDSB_at_age,60,-0.14989483282516455,-0.2727305146530198,-0.010620828164864952,beta[60] (mtDSB effect @ age)
Telencephalon astrocytes,Plxna1,age_interaction,60–21,-0.27988456059909333,-0.4683238010121226,-0.09440434854040679,age_interaction(60 - 21)
Telencephalon astrocytes,Klhl18,mtDSB_at_age,21,0.1876206492264686,0.016585481411687475,0.34480987691928716,beta[21] (mtDSB effect @ age)
Telencephalon astrocytes,Klhl18,mtDSB_at_age,60,-0.10872164660201904,-0.2685408100093866,0.06187183063484381,beta[60] (mtDSB effect @ age)
Telencephalon astrocytes,Klhl18,age_interaction,60–21,-0.29634229582848765,-0.5156988618377203,-0.06328222452235514,age_interaction(60 - 21)
Telencephalon astrocytes,Selenoo,mtDSB_at_age,21,0.1445464868909417,0.014293473250093933,0.2641880186420008,beta[21] (mtDSB effect @ age)
Telencephalon astrocytes,Selenoo,mtDSB_at_age,60,-0.08834033006199526,-0.21570663729124961,0.03203020744330999,beta[60] (mtDSB effect @ age)
Telencephalon astrocytes,Selenoo,age_interaction,60–21,-0.23288681695293695,-0.39723367121316566,-0.05427092707326869,age_interaction(60 - 21)
Telencephalon astrocytes,Ufd1,mtDSB_at_age,21,0.07055629831199792,-1.60529780846226,1.6237065929507222,beta[21] (mtDSB effect @ age)
Telencephalon astrocytes,Ufd1,mtDSB_at_age,60,0.0039782490516007095,-1.5780759728159401,1.6136110781840085,beta[60] (mtDSB effect @ age)
Telencephalon astrocytes,Ufd1,age_interaction,60–21,-0.06657804926039719,-1.7715529591216144,1.6780817090931888,age_interaction(60 - 21)
Telencephalon astrocytes,Sh3bp1,mtDSB_at_age,21,0.08664813276109794,-0.00221348651296616,0.17929425517622968,beta[21] (mtDSB effect @ age)
Telencephalon astrocytes,Sh3bp1,mtDSB_at_age,60,-0.08014380015569952,-0.16638127470835606,0.009360683129706487,beta[60] (mtDSB effect @ age)
Telencephalon astrocytes,Sh3bp1,age_interaction,60–21,-0.16679193291679748,-0.29129763335285075,-0.04364670276387847,age_interaction(60 - 21)
Telencephalon astrocytes,Hibadh,mtDSB_at_age,21,-0.03308062393374729,-1.7975908103520677,1.8014811319601987,beta[21] (mtDSB effect @ age)
Telencephalon astrocytes,Hibadh,mtDSB_at_age,60,-0.011200477236760268,-1.771693273408214,1.7742530999787807,beta[60] (mtDSB effect @ age)
Telencephalon astrocytes,Hibadh,age_interaction,60–21,0.021880146696987023,-1.9029054496502016,1.8824051568882834,age_interaction(60 - 21)
Telencephalon astrocytes,Lamp1,mtDSB_at_age,21,0.03428874359870117,-1.861588800569654,1.8907995667180595,beta[21] (mtDSB effect @ age)
Telencephalon astrocytes,Lamp1,mtDSB_at_age,60,0.03270489360284409,-1.807140395062069,1.80716176515876,beta[60] (mtDSB effect @ age)
Telencephalon astrocytes,Lamp1,age_interaction,60–21,-0.0015838499958570856,-1.858181755678376,1.85822384260086,age_interaction(60 - 21)
Telencephalon astrocytes,Pou2f1,mtDSB_at_age,21,0.005824653694415886,-1.6966119670657784,1.6661837756134295,beta[21] (mtDSB effect @ age)
Telencephalon astrocytes,Pou2f1,mtDSB_at_age,60,-0.07298164126385585,-1.8277492404584144,1.7178567069279078,beta[60] (mtDSB effect @ age)
Telencephalon astrocytes,Pou2f1,age_interaction,60–21,-0.07880629495827175,-2.059636049717571,1.8747985535872826,age_interaction(60 - 21)
Telencephalon astrocytes,Adgrl1,mtDSB_at_age,21,-0.18563899631167396,-1.7070735186092285,1.6801099848724113,beta[21] (mtDSB effect @ age)
Telencephalon astrocytes,Adgrl1,mtDSB_at_age,60,0.18261494746084234,-1.6448947310298219,1.6986773225987857,beta[60] (mtDSB effect @ age)
Telencephalon astrocytes,Adgrl1,age_interaction,60–21,0.3682539437725162,-1.8490385668189113,2.456357350046436,age_interaction(60 - 21)
Telencephalon astrocytes,Brpf1,mtDSB_at_age,21,0.08994226081169279,-0.029231553454935003,0.2170542136938197,beta[21] (mtDSB effect @ age)
Telencephalon astrocytes,Brpf1,mtDSB_at_age,60,-0.11282065673170576,-0.2316144286687131,0.011834030741318296,beta[60] (mtDSB effect @ age)
Telencephalon astrocytes,Brpf1,age_interaction,60–21,-0.20276291754339854,-0.36784563295991707,-0.030729329838504515,age_interaction(60 - 21)
Telencephalon astrocytes,Atg16l1,mtDSB_at_age,21,0.09494471457822577,-0.04040205196921458,0.21946328659585287,beta[21] (mtDSB effect @ age)
Telencephalon astrocytes,Atg16l1,mtDSB_at_age,60,-0.11575382666811183,-0.24544990384856027,0.018960216393687977,beta[60] (mtDSB effect @ age)
Telencephalon astrocytes,Atg16l1,age_interaction,60–21,-0.21069854124633758,-0.40392497448708964,-0.023085375865711615,age_interaction(60 - 21)
