,cell_type,gene,effect,age,sex,mean,hdi_2.5%,hdi_97.5%,FC,FC_ratio,term
0,Microglia,Camsap1,mtDSB_at_age×sex,21,female,0.2029550320609681,-0.5275983026082888,0.9168756402152282,1.3111517814600129,,"beta[21] (mtDSB effect @ age, sex=female)"
1,Microglia,Camsap1,mtDSB_at_age×sex,21,male,0.2244925422273767,-0.6748679156781293,1.0851364424219359,1.3777755081951255,,"beta[21] (mtDSB effect @ age, sex=male)"
2,Microglia,Camsap1,mtDSB_at_age×sex,60,female,-0.48057467321021496,-1.4501987237719605,0.5611860924339749,0.7045424191888732,,"beta[60] (mtDSB effect @ age, sex=female)"
3,Microglia,Camsap1,mtDSB_at_age×sex,60,male,-0.9424768995655927,-1.9974865873940628,0.3171253528857591,0.47141183964015615,,"beta[60] (mtDSB effect @ age, sex=male)"
4,Microglia,Camsap1,age_interaction(old-young) within sex,60-21,female,-0.6835297052711831,-1.5285832390510032,0.2509074896597019,,0.5651904847805624,age_interaction(60-21) (within sex=female)
5,Microglia,Camsap1,age_interaction(old-young) within sex,60-21,male,-1.1669694417929692,-2.2777335171335373,0.08189199673878077,,0.3762991678294664,age_interaction(60-21) (within sex=male)
6,Microglia,Camsap1,sex_interaction(sex2-sex1) within age,21,male-female,0.02153751016640861,-0.7278600862331716,0.7900741314730539,,1.1015925506884825,sex_interaction(male-female) (within age=21)
7,Microglia,Camsap1,sex_interaction(sex2-sex1) within age,60,male-female,-0.4619022263553778,-1.4692700756801547,0.6690924711699467,,0.7264600631760103,sex_interaction(male-female) (within age=60)
8,Microglia,Fzd7,mtDSB_at_age×sex,21,female,0.16488534045321787,-0.5639908250283487,0.9098061511498204,1.265129652955657,,"beta[21] (mtDSB effect @ age, sex=female)"
9,Microglia,Fzd7,mtDSB_at_age×sex,21,male,0.1797252261634899,-0.7225744712950264,1.104249680924433,1.3334788119000922,,"beta[21] (mtDSB effect @ age, sex=male)"
10,Microglia,Fzd7,mtDSB_at_age×sex,60,female,0.5282807079060263,-0.5093504633525705,1.5173653592379182,1.9345551678764072,,"beta[60] (mtDSB effect @ age, sex=female)"
11,Microglia,Fzd7,mtDSB_at_age×sex,60,male,0.6799354437926115,-0.5871650433716958,1.8032706566036298,2.3585384186824894,,"beta[60] (mtDSB effect @ age, sex=male)"
12,Microglia,Fzd7,age_interaction(old-young) within sex,60-21,female,0.36339536745280837,-0.5153999406318294,1.219907668748559,,1.579357616741428,age_interaction(60-21) (within sex=female)
