cell_class,gene,effect,age,mean,hdi_2.5%,hdi_97.5%,term
Oligodendrocytes precursor cells,Sox18,mtDSB_at_age,21,-0.468414997431486,-0.7335116303260311,-0.16792541601034672,beta[21] (mtDSB effect @ age)
Oligodendrocytes precursor cells,Sox18,mtDSB_at_age,60,0.47834656272698856,0.18638846170944304,0.7397254270187353,beta[60] (mtDSB effect @ age)
Oligodendrocytes precursor cells,Sox18,age_interaction,60–21,0.9467615601584746,0.5174479339808611,1.3096939460313388,age_interaction(60 - 21)
Oligodendrocytes precursor cells,Ets2,mtDSB_at_age,21,0.020811311639483354,-1.6708725993881801,1.5397299053532982,beta[21] (mtDSB effect @ age)
Oligodendrocytes precursor cells,Ets2,mtDSB_at_age,60,-0.0603523143065502,-1.5871919589986483,1.4867039154349073,beta[60] (mtDSB effect @ age)
Oligodendrocytes precursor cells,Ets2,age_interaction,60–21,-0.08116362594603355,-1.67365402270697,1.833296134541447,age_interaction(60 - 21)
Oligodendrocytes precursor cells,Bhlhe40,mtDSB_at_age,21,0.2177770010481235,0.008547030216487736,0.4175254990098231,beta[21] (mtDSB effect @ age)
Oligodendrocytes precursor cells,Bhlhe40,mtDSB_at_age,60,-0.18290438829400749,-0.3800551405372408,0.02813497074469024,beta[60] (mtDSB effect @ age)
Oligodendrocytes precursor cells,Bhlhe40,age_interaction,60–21,-0.40068138934213104,-0.6660065058647424,-0.09001807569128559,age_interaction(60 - 21)
Oligodendrocytes precursor cells,Cdkn2d,mtDSB_at_age,21,0.2130410595570424,0.024676803730633495,0.39617998571891383,beta[21] (mtDSB effect @ age)
Oligodendrocytes precursor cells,Cdkn2d,mtDSB_at_age,60,-0.1342486465055096,-0.31700698351018414,0.0605233645011425,beta[60] (mtDSB effect @ age)
Oligodendrocytes precursor cells,Cdkn2d,age_interaction,60–21,-0.347289706062552,-0.5962437461592378,-0.0609281844691028,age_interaction(60 - 21)
Oligodendrocytes precursor cells,S100a10,mtDSB_at_age,21,-0.07226958090672633,-0.23509579516770665,0.11738810890575327,beta[21] (mtDSB effect @ age)
Oligodendrocytes precursor cells,S100a10,mtDSB_at_age,60,0.18925354288916055,0.017584833851629032,0.3378354513608838,beta[60] (mtDSB effect @ age)
Oligodendrocytes precursor cells,S100a10,age_interaction,60–21,0.2615231237958868,0.027600572338303035,0.462620364845972,age_interaction(60 - 21)
Oligodendrocytes precursor cells,Nfix,mtDSB_at_age,21,-0.019127738480823796,-1.785078695490179,1.7631624841019382,beta[21] (mtDSB effect @ age)
Oligodendrocytes precursor cells,Nfix,mtDSB_at_age,60,0.004064077082384463,-1.7966341747524879,1.75127664915242,beta[60] (mtDSB effect @ age)
Oligodendrocytes precursor cells,Nfix,age_interaction,60–21,0.023191815563208252,-1.7975019660563671,1.8881388982972536,age_interaction(60 - 21)
Oligodendrocytes precursor cells,Adm,mtDSB_at_age,21,0.5567301850732288,-0.67042397493593,1.2768504595665175,beta[21] (mtDSB effect @ age)
