group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Medium Spiny Neurons,-0.013660709,0.012369669,0.128,0.872,0.128,0.128,False,A1cf,21
Oligodendrocyte Precursor Cells,0.012286338,0.011528798,0.852,0.148,0.148,0.138,False,A1cf,21
Neurons,0.00902266,0.014208352,0.735,0.265,0.265,0.18033333333333335,False,A1cf,21
Neural Stem Cells,0.008701408,0.01837123,0.68,0.32,0.32,0.21525,False,A1cf,21
Excitatory Neurons,0.004543645,0.012282651,0.642,0.358,0.358,0.24379999999999996,False,A1cf,21
Myocytes,0.00903443,0.024660788,0.638,0.362,0.362,0.2635,False,A1cf,21
Endocrine Cells,0.0072739543,0.031061148,0.6,0.4,0.4,0.283,False,A1cf,21
Endothelial Cells,-0.008078085,0.031281617,0.401,0.599,0.401,0.29774999999999996,False,A1cf,21
Astrocytes,0.0023194328,0.015977737,0.577,0.423,0.423,0.31166666666666665,False,A1cf,21
Microglia,-0.0025222667,0.017939411,0.434,0.566,0.434,0.32389999999999997,False,A1cf,21
Oligodendrocytes,-0.0017122662,0.010717485,0.452,0.548,0.452,0.33554545454545454,False,A1cf,21
GABAergic Neurons,-0.002290624,0.01890021,0.473,0.527,0.473,0.347,False,A1cf,21
