group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Oligodendrocyte Precursor Cells,0.011811101,0.011614478,0.839,0.161,0.161,0.161,False,Abcb1a,21
Medium Spiny Neurons,-0.011775054,0.012310976,0.168,0.832,0.168,0.1645,False,Abcb1a,21
Neurons,0.008593079,0.0141937295,0.728,0.272,0.272,0.20033333333333334,False,Abcb1a,21
Myocytes,0.013107166,0.024777282,0.692,0.308,0.308,0.22725,False,Abcb1a,21
Excitatory Neurons,0.0046817977,0.012293287,0.649,0.351,0.351,0.252,False,Abcb1a,21
Endocrine Cells,0.010934391,0.031101314,0.644,0.356,0.356,0.26933333333333337,False,Abcb1a,21
Astrocytes,0.0032704468,0.016062558,0.603,0.397,0.397,0.28757142857142853,False,Abcb1a,21
Microglia,-0.0037891592,0.01796114,0.41,0.59,0.41,0.302875,False,Abcb1a,21
Endothelial Cells,0.0041161366,0.029681098,0.558,0.442,0.442,0.31833333333333336,False,Abcb1a,21
Oligodendrocytes,-0.0019627966,0.010697462,0.446,0.554,0.446,0.33110000000000006,False,Abcb1a,21
Neural Stem Cells,0.00205488,0.018328382,0.545,0.455,0.455,0.3423636363636364,False,Abcb1a,21
GABAergic Neurons,-0.002049587,0.018920116,0.479,0.521,0.479,0.35375,False,Abcb1a,21
