group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Medium Spiny Neurons,-0.016057095,0.012117713,0.083,0.917,0.083,0.083,False,Abcd3,21
Oligodendrocyte Precursor Cells,0.012789302,0.011898668,0.854,0.146,0.146,0.11449999999999999,False,Abcd3,21
Neurons,0.0106349,0.013877431,0.776,0.224,0.224,0.151,False,Abcd3,21
Excitatory Neurons,0.0047764783,0.0125083625,0.649,0.351,0.351,0.20099999999999998,False,Abcd3,21
Neural Stem Cells,0.006775629,0.017842377,0.648,0.352,0.352,0.2312,False,Abcd3,21
Endocrine Cells,0.008687494,0.0313838,0.616,0.384,0.384,0.25666666666666665,False,Abcd3,21
Endothelial Cells,-0.00945464,0.030921478,0.39,0.61,0.39,0.27571428571428575,False,Abcd3,21
Astrocytes,0.0030939057,0.016513932,0.598,0.402,0.402,0.29150000000000004,False,Abcd3,21
Microglia,-0.0038314273,0.018133853,0.41,0.59,0.41,0.3046666666666667,False,Abcd3,21
Myocytes,0.003368099,0.02484819,0.557,0.443,0.443,0.31850000000000006,False,Abcd3,21
Oligodendrocytes,0.001150327,0.0103561,0.555,0.445,0.445,0.33,False,Abcd3,21
GABAergic Neurons,-0.0011164807,0.019355243,0.499,0.501,0.499,0.34408333333333335,False,Abcd3,21
