group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Medium Spiny Neurons,-0.013471739,0.012304798,0.13,0.87,0.13,0.13,False,Abhd4,21
Neural Stem Cells,0.01759313,0.017997717,0.831,0.169,0.169,0.14950000000000002,False,Abhd4,21
Oligodendrocyte Precursor Cells,0.011216749,0.011763416,0.828,0.172,0.172,0.157,False,Abhd4,21
Endocrine Cells,0.022760922,0.031258307,0.767,0.233,0.233,0.17600000000000002,False,Abhd4,21
Neurons,0.008231161,0.014136032,0.721,0.279,0.279,0.19660000000000002,False,Abhd4,21
Excitatory Neurons,0.0042938055,0.012329178,0.634,0.366,0.366,0.22483333333333336,False,Abhd4,21
Astrocytes,0.0033122923,0.016378049,0.603,0.397,0.397,0.24942857142857147,False,Abhd4,21
Myocytes,0.0051593864,0.02470509,0.586,0.414,0.414,0.27,False,Abhd4,21
Endothelial Cells,-0.0058347597,0.031025285,0.428,0.572,0.428,0.28755555555555556,False,Abhd4,21
Oligodendrocytes,-0.0018101358,0.010371843,0.447,0.553,0.447,0.3035,False,Abhd4,21
GABAergic Neurons,-0.0031719273,0.018976467,0.448,0.552,0.448,0.31663636363636366,False,Abhd4,21
Microglia,-0.0009170633,0.018073328,0.468,0.532,0.468,0.32925,False,Abhd4,21
