group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Medium Spiny Neurons,-0.013678012,0.012369445,0.128,0.872,0.128,0.128,False,Ackr2,21
Oligodendrocyte Precursor Cells,0.012291691,0.011528797,0.852,0.148,0.148,0.138,False,Ackr2,21
Neurons,0.008969029,0.014208717,0.733,0.267,0.267,0.18100000000000002,False,Ackr2,21
Neural Stem Cells,0.0086881975,0.018371353,0.68,0.32,0.32,0.21575,False,Ackr2,21
Excitatory Neurons,0.0045582694,0.012283,0.642,0.358,0.358,0.24420000000000003,False,Ackr2,21
Myocytes,0.009024398,0.024660788,0.638,0.362,0.362,0.26383333333333336,False,Ackr2,21
Endocrine Cells,0.0072263516,0.03106115,0.599,0.401,0.401,0.2834285714285715,False,Ackr2,21
Endothelial Cells,-0.008059854,0.031281386,0.401,0.599,0.401,0.29812500000000003,False,Ackr2,21
Astrocytes,0.002316965,0.01597796,0.577,0.423,0.423,0.31200000000000006,False,Ackr2,21
Microglia,-0.0025041313,0.017939411,0.434,0.566,0.434,0.32420000000000004,False,Ackr2,21
Oligodendrocytes,-0.0017419908,0.010717833,0.452,0.548,0.452,0.33581818181818185,False,Ackr2,21
GABAergic Neurons,-0.0022892687,0.018900104,0.473,0.527,0.473,0.34725000000000006,False,Ackr2,21
