group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Medium Spiny Neurons,-0.013684533,0.012369789,0.128,0.872,0.128,0.128,False,Acod1,21
Oligodendrocyte Precursor Cells,0.012308085,0.011528686,0.852,0.148,0.148,0.138,False,Acod1,21
Neurons,0.0090087475,0.014208717,0.735,0.265,0.265,0.18033333333333335,False,Acod1,21
Neural Stem Cells,0.008686745,0.01837147,0.68,0.32,0.32,0.21525,False,Acod1,21
Excitatory Neurons,0.0045618983,0.012282063,0.642,0.358,0.358,0.24379999999999996,False,Acod1,21
Myocytes,0.0090225935,0.024660788,0.638,0.362,0.362,0.2635,False,Acod1,21
Endocrine Cells,0.0072825034,0.031061266,0.6,0.4,0.4,0.283,False,Acod1,21
Endothelial Cells,-0.008084348,0.031281386,0.401,0.599,0.401,0.29774999999999996,False,Acod1,21
Astrocytes,0.0023178437,0.015977843,0.577,0.423,0.423,0.31166666666666665,False,Acod1,21
Microglia,-0.002576278,0.01793906,0.432,0.568,0.432,0.3237,False,Acod1,21
Oligodendrocytes,-0.0017461766,0.010718298,0.452,0.548,0.452,0.3353636363636363,False,Acod1,21
GABAergic Neurons,-0.0022934536,0.01889998,0.473,0.527,0.473,0.3468333333333333,False,Acod1,21
