group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Medium Spiny Neurons,-0.01390044,0.012364179,0.126,0.874,0.126,0.126,False,Acr,21
Oligodendrocyte Precursor Cells,0.012184,0.011537538,0.851,0.149,0.149,0.1375,False,Acr,21
Neurons,0.008923797,0.014201646,0.732,0.268,0.268,0.18100000000000002,False,Acr,21
Neural Stem Cells,0.009523784,0.018354403,0.695,0.305,0.305,0.21200000000000002,False,Acr,21
Excitatory Neurons,0.0044868,0.012286157,0.64,0.36,0.36,0.24160000000000004,False,Acr,21
Myocytes,0.008352801,0.024661954,0.632,0.368,0.368,0.26266666666666666,False,Acr,21
Endothelial Cells,-0.00802672,0.031278692,0.401,0.599,0.401,0.2824285714285714,False,Acr,21
Astrocytes,0.00234753,0.015980946,0.578,0.422,0.422,0.299875,False,Acr,21
Endocrine Cells,0.0054846373,0.031061148,0.572,0.428,0.428,0.3141111111111111,False,Acr,21
Microglia,-0.0025982966,0.017939644,0.432,0.568,0.432,0.32589999999999997,False,Acr,21
Oligodendrocytes,-0.001708784,0.010717486,0.452,0.548,0.452,0.33736363636363637,False,Acr,21
GABAergic Neurons,-0.002327215,0.01890681,0.472,0.528,0.472,0.3485833333333333,False,Acr,21
