group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Myocytes,-0.047573872,0.024793338,0.027,0.973,0.027,0.027,True,Acsl1,21
Medium Spiny Neurons,-0.014675876,0.012297021,0.11,0.89,0.11,0.0685,False,Acsl1,21
Oligodendrocyte Precursor Cells,0.012270178,0.011580658,0.852,0.148,0.148,0.09500000000000001,False,Acsl1,21
Neurons,0.009246092,0.014143596,0.741,0.259,0.259,0.136,False,Acsl1,21
Neural Stem Cells,0.0084982,0.018315492,0.678,0.322,0.322,0.17320000000000002,False,Acsl1,21
Oligodendrocytes,-0.005329537,0.010560078,0.324,0.676,0.324,0.19833333333333336,False,Acsl1,21
Excitatory Neurons,0.005090436,0.012357582,0.654,0.346,0.346,0.21942857142857145,False,Acsl1,21
Endothelial Cells,-0.008311758,0.031157132,0.399,0.601,0.399,0.241875,False,Acsl1,21
Microglia,-0.0035635661,0.017982647,0.415,0.585,0.415,0.2611111111111111,False,Acsl1,21
Astrocytes,0.0025392997,0.016030347,0.583,0.417,0.417,0.2767,False,Acsl1,21
Endocrine Cells,-0.0001445039,0.031103643,0.509,0.491,0.491,0.29618181818181816,False,Acsl1,21
GABAergic Neurons,-0.0014597751,0.019024296,0.492,0.508,0.492,0.3125,False,Acsl1,21
