group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Oligodendrocyte Precursor Cells,0.01409011,0.011618174,0.89,0.11,0.11,0.11,False,Actl6b,21
Medium Spiny Neurons,-0.012776344,0.01218157,0.143,0.857,0.143,0.1265,False,Actl6b,21
Neurons,0.010522748,0.014071876,0.77,0.23,0.23,0.161,False,Actl6b,21
Excitatory Neurons,0.0062317587,0.012471904,0.689,0.311,0.311,0.1985,False,Actl6b,21
Neural Stem Cells,0.008867853,0.018259035,0.687,0.313,0.313,0.22139999999999999,False,Actl6b,21
Myocytes,0.010542926,0.024689145,0.663,0.337,0.337,0.24066666666666667,False,Actl6b,21
Astrocytes,0.0028667937,0.016022438,0.594,0.406,0.406,0.2642857142857143,False,Actl6b,21
Endothelial Cells,-0.0074995696,0.031249123,0.407,0.593,0.407,0.282125,False,Actl6b,21
Microglia,-0.0021712633,0.01797704,0.441,0.559,0.441,0.29977777777777775,False,Actl6b,21
Oligodendrocytes,-0.0015129361,0.010690525,0.459,0.541,0.459,0.3157,False,Actl6b,21
Endocrine Cells,0.00102772,0.031116761,0.524,0.476,0.476,0.3302727272727273,False,Actl6b,21
GABAergic Neurons,-0.00070605363,0.019161925,0.505,0.495,0.495,0.34400000000000003,False,Actl6b,21
