group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Medium Spiny Neurons,-0.025578383,0.011868099,0.012,0.988,0.012,0.012,True,Actn1,21
Neural Stem Cells,0.02403131,0.017968347,0.902,0.098,0.098,0.055,False,Actn1,21
Endocrine Cells,0.03500473,0.031395648,0.861,0.139,0.139,0.083,False,Actn1,21
Oligodendrocyte Precursor Cells,0.011931708,0.011617497,0.844,0.156,0.156,0.10125,False,Actn1,21
Myocytes,0.02169664,0.024766726,0.8,0.2,0.2,0.121,False,Actn1,21
Neurons,0.00999189,0.01411133,0.761,0.239,0.239,0.14066666666666666,False,Actn1,21
Excitatory Neurons,0.0052340534,0.012507786,0.655,0.345,0.345,0.16985714285714287,False,Actn1,21
Microglia,-0.0052686417,0.017987557,0.377,0.623,0.377,0.19575,False,Actn1,21
Endothelial Cells,-0.008999531,0.031009616,0.394,0.606,0.394,0.21777777777777776,False,Actn1,21
Astrocytes,0.002158334,0.01609293,0.571,0.429,0.429,0.23889999999999997,False,Actn1,21
Oligodendrocytes,-0.0025191882,0.010682188,0.43,0.57,0.43,0.25627272727272726,False,Actn1,21
GABAergic Neurons,-0.0027422665,0.019102108,0.463,0.537,0.463,0.2735,False,Actn1,21
