group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Oligodendrocyte Precursor Cells,0.012152402,0.011727698,0.845,0.155,0.155,0.155,False,Actr1b,21
Medium Spiny Neurons,-0.011903149,0.012162231,0.161,0.839,0.161,0.158,False,Actr1b,21
Neurons,0.012290408,0.013926728,0.81,0.19,0.19,0.16866666666666666,False,Actr1b,21
Neural Stem Cells,0.014097577,0.018137036,0.772,0.228,0.228,0.1835,False,Actr1b,21
Excitatory Neurons,0.0072309677,0.012653048,0.72,0.28,0.28,0.2028,False,Actr1b,21
Astrocytes,0.004049755,0.0161476,0.628,0.372,0.372,0.231,False,Actr1b,21
Myocytes,0.005767396,0.024749158,0.591,0.409,0.409,0.25642857142857145,False,Actr1b,21
Endothelial Cells,-0.006632086,0.031136092,0.415,0.585,0.415,0.27625,False,Actr1b,21
Microglia,-0.0025138778,0.018050423,0.434,0.566,0.434,0.2937777777777778,False,Actr1b,21
Endocrine Cells,-0.0024581286,0.03116333,0.474,0.526,0.474,0.3118,False,Actr1b,21
Oligodendrocytes,-0.00046149094,0.0106004765,0.491,0.509,0.491,0.32809090909090916,False,Actr1b,21
GABAergic Neurons,-0.0006118753,0.019339418,0.505,0.495,0.495,0.342,False,Actr1b,21
