group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Medium Spiny Neurons,-0.013687089,0.012369791,0.128,0.872,0.128,0.128,False,Adad1,21
Oligodendrocyte Precursor Cells,0.012313522,0.011528798,0.852,0.148,0.148,0.138,False,Adad1,21
Neurons,0.008979173,0.014208956,0.733,0.267,0.267,0.18100000000000002,False,Adad1,21
Neural Stem Cells,0.008688799,0.018371351,0.68,0.32,0.32,0.21575,False,Adad1,21
Excitatory Neurons,0.0045661805,0.012282063,0.642,0.358,0.358,0.24420000000000003,False,Adad1,21
Myocytes,0.009027282,0.024660662,0.638,0.362,0.362,0.26383333333333336,False,Adad1,21
Endocrine Cells,0.0072076847,0.031061266,0.599,0.401,0.401,0.2834285714285715,False,Adad1,21
Endothelial Cells,-0.008070954,0.031281386,0.401,0.599,0.401,0.29812500000000003,False,Adad1,21
Astrocytes,0.0023065389,0.015978191,0.576,0.424,0.424,0.3121111111111111,False,Adad1,21
Microglia,-0.0025549543,0.017938947,0.433,0.567,0.433,0.3242,False,Adad1,21
Oligodendrocytes,-0.0017118511,0.010718067,0.452,0.548,0.452,0.3358181818181818,False,Adad1,21
GABAergic Neurons,-0.0022786453,0.018900212,0.473,0.527,0.473,0.34725,False,Adad1,21
