group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Medium Spiny Neurons,-0.01361722,0.012369331,0.128,0.872,0.128,0.128,False,Adamts13,21
Oligodendrocyte Precursor Cells,0.012368411,0.01152925,0.854,0.146,0.146,0.137,False,Adamts13,21
Neurons,0.008965219,0.0142092,0.733,0.267,0.267,0.18033333333333335,False,Adamts13,21
Neural Stem Cells,0.008691401,0.018371351,0.68,0.32,0.32,0.21525,False,Adamts13,21
Excitatory Neurons,0.004556672,0.012281951,0.642,0.358,0.358,0.24379999999999996,False,Adamts13,21
Myocytes,0.009050732,0.024660662,0.639,0.361,0.361,0.2633333333333333,False,Adamts13,21
Endocrine Cells,0.0072883996,0.03106115,0.6,0.4,0.4,0.28285714285714286,False,Adamts13,21
Endothelial Cells,-0.008041365,0.031281386,0.401,0.599,0.401,0.29762500000000003,False,Adamts13,21
Astrocytes,0.0023016196,0.015977843,0.576,0.424,0.424,0.3116666666666667,False,Adamts13,21
Microglia,-0.002548647,0.017939059,0.433,0.567,0.433,0.3238,False,Adamts13,21
Oligodendrocytes,-0.0017141269,0.010717143,0.452,0.548,0.452,0.33545454545454545,False,Adamts13,21
GABAergic Neurons,-0.0022828272,0.018899977,0.473,0.527,0.473,0.3469166666666667,False,Adamts13,21
