group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Medium Spiny Neurons,-0.013669436,0.012358687,0.128,0.872,0.128,0.128,False,Adgra3,21
Oligodendrocyte Precursor Cells,0.011468991,0.011617164,0.833,0.167,0.167,0.14750000000000002,False,Adgra3,21
Neural Stem Cells,0.013043621,0.018232532,0.758,0.242,0.242,0.17900000000000002,False,Adgra3,21
Neurons,0.00891067,0.014187732,0.732,0.268,0.268,0.20125,False,Adgra3,21
Endocrine Cells,0.010079507,0.03113535,0.635,0.365,0.365,0.23399999999999999,False,Adgra3,21
Excitatory Neurons,0.0042321687,0.012298905,0.632,0.368,0.368,0.2563333333333333,False,Adgra3,21
Endothelial Cells,-0.008931571,0.031205522,0.395,0.605,0.395,0.27614285714285713,False,Adgra3,21
Myocytes,0.00518736,0.02468188,0.586,0.414,0.414,0.293375,False,Adgra3,21
Astrocytes,0.0019466174,0.016053732,0.565,0.435,0.435,0.3091111111111111,False,Adgra3,21
Microglia,-0.002348264,0.017961843,0.436,0.564,0.436,0.3218,False,Adgra3,21
Oligodendrocytes,-0.0015282433,0.010700363,0.458,0.542,0.458,0.3341818181818182,False,Adgra3,21
GABAergic Neurons,-0.002684182,0.018958962,0.465,0.535,0.465,0.34508333333333335,False,Adgra3,21
