group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Myocytes,0.14967616,0.025270797,1.0,0.0,0.0,0.0,True,Adgrb1,21
Oligodendrocyte Precursor Cells,0.0204984,0.011930573,0.961,0.039,0.039,0.0195,True,Adgrb1,21
Neurons,0.017649746,0.013204933,0.914,0.086,0.086,0.041666666666666664,True,Adgrb1,21
Medium Spiny Neurons,-0.013315952,0.011164454,0.11,0.89,0.11,0.05875,False,Adgrb1,21
Excitatory Neurons,0.014502316,0.01369083,0.85,0.15,0.15,0.077,False,Adgrb1,21
Neural Stem Cells,0.015420394,0.017676024,0.8,0.2,0.2,0.09749999999999999,False,Adgrb1,21
GABAergic Neurons,0.0064926404,0.020249603,0.637,0.363,0.363,0.13542857142857143,False,Adgrb1,21
Astrocytes,0.0028849526,0.016779473,0.59,0.41,0.41,0.16974999999999998,False,Adgrb1,21
Endothelial Cells,-0.004563101,0.030949175,0.448,0.552,0.448,0.20066666666666666,False,Adgrb1,21
Microglia,-0.0014727976,0.018221354,0.46,0.54,0.46,0.2266,False,Adgrb1,21
Oligodendrocytes,-0.0012002897,0.010344173,0.467,0.533,0.467,0.24845454545454546,False,Adgrb1,21
Endocrine Cells,-0.00017957245,0.031099115,0.509,0.491,0.491,0.26866666666666666,False,Adgrb1,21
