group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Medium Spiny Neurons,-0.013682551,0.012369445,0.128,0.872,0.128,0.128,False,Adgrg2,21
Oligodendrocyte Precursor Cells,0.011881459,0.011536525,0.845,0.155,0.155,0.14150000000000001,False,Adgrg2,21
Neurons,0.009566159,0.014191205,0.753,0.247,0.247,0.17666666666666667,False,Adgrg2,21
Neural Stem Cells,0.00872127,0.018360611,0.68,0.32,0.32,0.21250000000000002,False,Adgrg2,21
Excitatory Neurons,0.0046293656,0.012284991,0.647,0.353,0.353,0.2406,False,Adgrg2,21
Myocytes,0.008112141,0.024662185,0.628,0.372,0.372,0.2625,False,Adgrg2,21
Endocrine Cells,0.0071933633,0.031065447,0.599,0.401,0.401,0.2822857142857143,False,Adgrg2,21
Endothelial Cells,-0.008007797,0.03127962,0.401,0.599,0.401,0.29712500000000003,False,Adgrg2,21
Astrocytes,0.002353809,0.01598014,0.579,0.421,0.421,0.3108888888888889,False,Adgrg2,21
Microglia,-0.0025180215,0.017940229,0.434,0.566,0.434,0.32320000000000004,False,Adgrg2,21
Oligodendrocytes,-0.001440502,0.01070985,0.462,0.538,0.462,0.33581818181818185,False,Adgrg2,21
GABAergic Neurons,-0.0023388052,0.018905492,0.472,0.528,0.472,0.3471666666666667,False,Adgrg2,21
