group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Medium Spiny Neurons,-0.013465944,0.012367847,0.13,0.87,0.13,0.13,False,Adgrv1,21
Oligodendrocyte Precursor Cells,0.012727336,0.011570581,0.865,0.135,0.135,0.1325,False,Adgrv1,21
Myocytes,0.024925439,0.02471961,0.84,0.16,0.16,0.1416666666666667,False,Adgrv1,21
Neurons,0.009095242,0.01420716,0.738,0.262,0.262,0.17175,False,Adgrv1,21
Neural Stem Cells,0.011417878,0.018193983,0.731,0.269,0.269,0.1912,False,Adgrv1,21
Excitatory Neurons,0.0045275693,0.012282534,0.642,0.358,0.358,0.219,False,Adgrv1,21
Endocrine Cells,0.007984059,0.031079145,0.609,0.391,0.391,0.24357142857142858,False,Adgrv1,21
Endothelial Cells,-0.008470795,0.031273667,0.399,0.601,0.399,0.263,False,Adgrv1,21
Astrocytes,0.0018980864,0.01601178,0.564,0.436,0.436,0.2822222222222222,False,Adgrv1,21
Microglia,-0.002334518,0.017941866,0.436,0.564,0.436,0.2976,False,Adgrv1,21
Oligodendrocytes,-0.0016537006,0.010717144,0.455,0.545,0.455,0.3119090909090909,False,Adgrv1,21
GABAergic Neurons,-0.0021985692,0.018904649,0.476,0.524,0.476,0.32558333333333334,False,Adgrv1,21
