group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Oligodendrocyte Precursor Cells,0.016025333,0.011913777,0.907,0.093,0.093,0.093,False,Adora1,21
Medium Spiny Neurons,-0.013033343,0.012061645,0.135,0.865,0.135,0.114,False,Adora1,21
Neural Stem Cells,0.015438741,0.018152317,0.795,0.205,0.205,0.14433333333333334,False,Adora1,21
Excitatory Neurons,0.0064857737,0.012789653,0.694,0.306,0.306,0.18475,False,Adora1,21
Endocrine Cells,0.009652743,0.031115146,0.63,0.37,0.37,0.2218,False,Adora1,21
Neurons,0.003691043,0.01399499,0.62,0.38,0.38,0.24816666666666665,False,Adora1,21
Endothelial Cells,-0.008477649,0.031110156,0.398,0.602,0.398,0.2695714285714286,False,Adora1,21
Myocytes,0.0049261046,0.02468974,0.582,0.418,0.418,0.288125,False,Adora1,21
Microglia,-0.0027992222,0.018078696,0.429,0.571,0.429,0.30377777777777776,False,Adora1,21
Oligodendrocytes,0.0013540643,0.010271226,0.566,0.434,0.434,0.3168,False,Adora1,21
Astrocytes,0.0015093778,0.016325796,0.556,0.444,0.444,0.32836363636363636,False,Adora1,21
GABAergic Neurons,-0.0022611502,0.019143455,0.475,0.525,0.475,0.3405833333333333,False,Adora1,21
