group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Medium Spiny Neurons,-0.013873794,0.012363956,0.126,0.874,0.126,0.126,False,Adora2b,21
Oligodendrocyte Precursor Cells,0.011243094,0.011639673,0.829,0.171,0.171,0.14850000000000002,False,Adora2b,21
Neurons,0.009060823,0.014203692,0.736,0.264,0.264,0.18700000000000003,False,Adora2b,21
Neural Stem Cells,0.008620463,0.018348554,0.68,0.32,0.32,0.22025,False,Adora2b,21
Excitatory Neurons,0.004484915,0.012285456,0.64,0.36,0.36,0.24820000000000003,False,Adora2b,21
Myocytes,0.008424435,0.024661481,0.632,0.368,0.368,0.26816666666666666,False,Adora2b,21
Endocrine Cells,0.007596338,0.031063585,0.604,0.396,0.396,0.2864285714285714,False,Adora2b,21
Astrocytes,0.003306052,0.016101409,0.603,0.397,0.397,0.30025,False,Adora2b,21
Endothelial Cells,-0.007751189,0.031256124,0.404,0.596,0.404,0.31177777777777776,False,Adora2b,21
Microglia,-0.002672884,0.017941752,0.431,0.569,0.431,0.3237,False,Adora2b,21
Oligodendrocytes,-0.0015794488,0.010714947,0.456,0.544,0.456,0.3357272727272727,False,Adora2b,21
GABAergic Neurons,-0.0023452414,0.018903935,0.472,0.528,0.472,0.34708333333333335,False,Adora2b,21
