group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Medium Spiny Neurons,-0.013857646,0.012368984,0.127,0.873,0.127,0.127,False,Adra2a,21
Oligodendrocyte Precursor Cells,0.012217654,0.01154482,0.851,0.149,0.149,0.138,False,Adra2a,21
Neurons,0.009168791,0.014191327,0.74,0.26,0.26,0.17866666666666667,False,Adra2a,21
Neural Stem Cells,0.008731408,0.01835178,0.681,0.319,0.319,0.21375,False,Adra2a,21
Myocytes,0.011020739,0.024672985,0.669,0.331,0.331,0.2372,False,Adra2a,21
Excitatory Neurons,0.004430121,0.012294692,0.639,0.361,0.361,0.2578333333333333,False,Adra2a,21
Endocrine Cells,0.007265615,0.0310637,0.6,0.4,0.4,0.27814285714285714,False,Adra2a,21
Endothelial Cells,-0.007492688,0.031257413,0.407,0.593,0.407,0.29425,False,Adra2a,21
Astrocytes,0.002272473,0.016045714,0.574,0.426,0.426,0.30888888888888894,False,Adra2a,21
Microglia,-0.002388198,0.017946176,0.434,0.566,0.434,0.3214,False,Adra2a,21
Oligodendrocytes,-0.0017890283,0.010713328,0.45,0.55,0.45,0.33309090909090916,False,Adra2a,21
GABAergic Neurons,-0.0018462486,0.0189291,0.483,0.517,0.483,0.34558333333333335,False,Adra2a,21
