group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Medium Spiny Neurons,-0.013692754,0.012369557,0.128,0.872,0.128,0.128,False,Afp,21
Oligodendrocyte Precursor Cells,0.012366122,0.0115291355,0.854,0.146,0.146,0.137,False,Afp,21
Neurons,0.008993136,0.01420848,0.735,0.265,0.265,0.17966666666666667,False,Afp,21
Neural Stem Cells,0.008685238,0.018371468,0.68,0.32,0.32,0.21475,False,Afp,21
Excitatory Neurons,0.0045485743,0.012282413,0.642,0.358,0.358,0.2434,False,Afp,21
Myocytes,0.009006572,0.024660788,0.638,0.362,0.362,0.2631666666666667,False,Afp,21
Endocrine Cells,0.007279244,0.03106115,0.6,0.4,0.4,0.28271428571428575,False,Afp,21
Endothelial Cells,-0.00810761,0.031281386,0.401,0.599,0.401,0.2975,False,Afp,21
Astrocytes,0.0023069645,0.015977843,0.576,0.424,0.424,0.31155555555555553,False,Afp,21
Microglia,-0.0028191416,0.017938348,0.429,0.571,0.429,0.3233,False,Afp,21
Oligodendrocytes,-0.0017541355,0.0107178325,0.451,0.549,0.451,0.3349090909090909,False,Afp,21
GABAergic Neurons,-0.0023505192,0.018899977,0.472,0.528,0.472,0.3463333333333333,False,Afp,21
