group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Medium Spiny Neurons,-0.013586076,0.012368302,0.128,0.872,0.128,0.128,False,Ager,21
Oligodendrocyte Precursor Cells,0.012449995,0.011532384,0.855,0.145,0.145,0.1365,False,Ager,21
Neural Stem Cells,0.015534504,0.01827909,0.795,0.205,0.205,0.15933333333333333,False,Ager,21
Neurons,0.008960311,0.014208117,0.733,0.267,0.267,0.18625,False,Ager,21
Excitatory Neurons,0.0045650345,0.012283116,0.642,0.358,0.358,0.2206,False,Ager,21
Myocytes,0.008562542,0.024661142,0.632,0.368,0.368,0.24516666666666667,False,Ager,21
Endocrine Cells,0.008480987,0.031072997,0.614,0.386,0.386,0.2652857142857143,False,Ager,21
Endothelial Cells,-0.0080418335,0.03127717,0.401,0.599,0.401,0.28225,False,Ager,21
Astrocytes,0.0022954654,0.015986444,0.575,0.425,0.425,0.2981111111111111,False,Ager,21
Microglia,-0.0027037617,0.017941037,0.431,0.569,0.431,0.3114,False,Ager,21
Oligodendrocytes,-0.0017376103,0.010716332,0.452,0.548,0.452,0.3241818181818182,False,Ager,21
GABAergic Neurons,-0.002259059,0.018901417,0.475,0.525,0.475,0.33674999999999994,False,Ager,21
