group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Myocytes,-0.11173689,0.024932906,0.0,1.0,0.0,0.0,True,Agl,21
Medium Spiny Neurons,-0.014114864,0.012315665,0.123,0.877,0.123,0.0615,False,Agl,21
Oligodendrocyte Precursor Cells,0.0135806035,0.011732511,0.877,0.123,0.123,0.082,False,Agl,21
Neurons,0.009786443,0.014081949,0.757,0.243,0.243,0.12225,False,Agl,21
Neural Stem Cells,0.007895476,0.018170115,0.665,0.335,0.335,0.1648,False,Agl,21
Endocrine Cells,0.012533817,0.031208275,0.661,0.339,0.339,0.19383333333333333,False,Agl,21
Excitatory Neurons,0.0042021363,0.012349284,0.63,0.37,0.37,0.219,False,Agl,21
Astrocytes,0.0038989112,0.01636075,0.621,0.379,0.379,0.239,False,Agl,21
Endothelial Cells,-0.007528086,0.03112347,0.407,0.593,0.407,0.25766666666666665,False,Agl,21
Microglia,-0.0012448275,0.018031381,0.462,0.538,0.462,0.2781,False,Agl,21
Oligodendrocytes,-0.0009940614,0.010631845,0.474,0.526,0.474,0.2959090909090909,False,Agl,21
GABAergic Neurons,-0.0014100872,0.019058589,0.493,0.507,0.493,0.3123333333333333,False,Agl,21
