group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Medium Spiny Neurons,-0.013661559,0.012250002,0.127,0.873,0.127,0.127,False,Agps,21
Oligodendrocyte Precursor Cells,0.011345479,0.0117443735,0.829,0.171,0.171,0.14900000000000002,False,Agps,21
Neural Stem Cells,0.014603252,0.018133104,0.78,0.22,0.22,0.17266666666666666,False,Agps,21
Neurons,0.008903745,0.014086868,0.733,0.267,0.267,0.19625,False,Agps,21
Myocytes,-0.011251259,0.02471622,0.325,0.675,0.325,0.22200000000000003,False,Agps,21
Excitatory Neurons,0.0039590355,0.012399898,0.619,0.381,0.381,0.24850000000000003,False,Agps,21
Endothelial Cells,-0.009597792,0.031123236,0.389,0.611,0.389,0.26857142857142857,False,Agps,21
Astrocytes,0.0028793828,0.016144847,0.593,0.407,0.407,0.285875,False,Agps,21
Microglia,-0.0029031355,0.018183397,0.427,0.573,0.427,0.3015555555555556,False,Agps,21
Oligodendrocytes,-0.0014383757,0.010455311,0.461,0.539,0.461,0.3175,False,Agps,21
GABAergic Neurons,-0.0022898973,0.019098986,0.475,0.525,0.475,0.3318181818181818,False,Agps,21
Endocrine Cells,-0.0011902517,0.03119909,0.494,0.506,0.494,0.3453333333333333,False,Agps,21
