group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Medium Spiny Neurons,-0.013702269,0.012369789,0.128,0.872,0.128,0.128,False,Agtr1b,21
Oligodendrocyte Precursor Cells,0.012306224,0.011529252,0.852,0.148,0.148,0.138,False,Agtr1b,21
Neurons,0.008994537,0.014208352,0.735,0.265,0.265,0.18033333333333335,False,Agtr1b,21
Neural Stem Cells,0.008846777,0.018369801,0.684,0.316,0.316,0.21425,False,Agtr1b,21
Excitatory Neurons,0.0045638983,0.012282062,0.642,0.358,0.358,0.24299999999999997,False,Agtr1b,21
Myocytes,0.008957496,0.024660662,0.637,0.363,0.363,0.26299999999999996,False,Agtr1b,21
Endocrine Cells,0.0072949855,0.03106115,0.6,0.4,0.4,0.28257142857142853,False,Agtr1b,21
Endothelial Cells,-0.008128932,0.031279862,0.401,0.599,0.401,0.29737499999999994,False,Agtr1b,21
Astrocytes,0.0022411172,0.015978077,0.574,0.426,0.426,0.31166666666666665,False,Agtr1b,21
Microglia,-0.00256048,0.017939059,0.432,0.568,0.432,0.3237,False,Agtr1b,21
Oligodendrocytes,-0.0017383689,0.010718184,0.452,0.548,0.452,0.3353636363636363,False,Agtr1b,21
GABAergic Neurons,-0.002295916,0.01889998,0.473,0.527,0.473,0.3468333333333333,False,Agtr1b,21
