group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Medium Spiny Neurons,-0.013611475,0.012368756,0.128,0.872,0.128,0.128,False,Agtr2,21
Oligodendrocyte Precursor Cells,0.012301993,0.01153003,0.852,0.148,0.148,0.138,False,Agtr2,21
Neurons,0.00920183,0.014202481,0.74,0.26,0.26,0.17866666666666667,False,Agtr2,21
Neural Stem Cells,0.008479707,0.018371118,0.678,0.322,0.322,0.21450000000000002,False,Agtr2,21
Excitatory Neurons,0.004563728,0.012284053,0.642,0.358,0.358,0.24320000000000003,False,Agtr2,21
Myocytes,0.008717544,0.024661142,0.632,0.368,0.368,0.264,False,Agtr2,21
Endocrine Cells,0.0073133907,0.031061029,0.6,0.4,0.4,0.2834285714285714,False,Agtr2,21
Endothelial Cells,-0.008065367,0.031281132,0.401,0.599,0.401,0.298125,False,Agtr2,21
Astrocytes,0.0024229868,0.015979337,0.581,0.419,0.419,0.31155555555555553,False,Agtr2,21
Microglia,-0.002492073,0.01793976,0.434,0.566,0.434,0.3238,False,Agtr2,21
Oligodendrocytes,-0.0017266783,0.010717833,0.452,0.548,0.452,0.33545454545454545,False,Agtr2,21
GABAergic Neurons,-0.0021540162,0.01890741,0.476,0.524,0.476,0.3471666666666667,False,Agtr2,21
