group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Medium Spiny Neurons,-0.014097946,0.012357776,0.124,0.876,0.124,0.124,False,Ahr,21
Oligodendrocyte Precursor Cells,0.012327171,0.011539548,0.852,0.148,0.148,0.136,False,Ahr,21
Neurons,0.00858588,0.014194568,0.728,0.272,0.272,0.18133333333333335,False,Ahr,21
Neural Stem Cells,0.009083821,0.018360728,0.69,0.31,0.31,0.21350000000000002,False,Ahr,21
Excitatory Neurons,0.004799061,0.012307079,0.653,0.347,0.347,0.24020000000000002,False,Ahr,21
Myocytes,0.009883755,0.024681997,0.652,0.348,0.348,0.25816666666666666,False,Ahr,21
Endocrine Cells,0.007639195,0.031090982,0.605,0.395,0.395,0.2777142857142857,False,Ahr,21
Endothelial Cells,-0.00845666,0.031260803,0.399,0.601,0.399,0.292875,False,Ahr,21
Astrocytes,0.0024623086,0.015987938,0.581,0.419,0.419,0.3068888888888889,False,Ahr,21
Microglia,-0.002546302,0.017943736,0.433,0.567,0.433,0.3195,False,Ahr,21
Oligodendrocytes,-0.0017488338,0.010714478,0.452,0.548,0.452,0.33154545454545453,False,Ahr,21
GABAergic Neurons,-0.0029227594,0.01896184,0.455,0.545,0.455,0.34183333333333327,False,Ahr,21
