group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Medium Spiny Neurons,-0.013841993,0.012343242,0.127,0.873,0.127,0.127,False,Aif1,21
Oligodendrocyte Precursor Cells,0.011433208,0.011574158,0.833,0.167,0.167,0.14700000000000002,False,Aif1,21
Neurons,0.009017561,0.014193248,0.735,0.265,0.265,0.18633333333333335,False,Aif1,21
Microglia,-0.006977173,0.019009903,0.358,0.642,0.358,0.22925,False,Aif1,21
Excitatory Neurons,0.004394601,0.012307436,0.639,0.361,0.361,0.2556,False,Aif1,21
Endothelial Cells,-0.010019809,0.031216504,0.383,0.617,0.383,0.2768333333333333,False,Aif1,21
Endocrine Cells,0.007833395,0.031093191,0.608,0.392,0.392,0.29328571428571426,False,Aif1,21
Myocytes,0.0068217507,0.02466419,0.602,0.398,0.398,0.306375,False,Aif1,21
Neural Stem Cells,0.0038097745,0.018337103,0.588,0.412,0.412,0.3181111111111111,False,Aif1,21
Astrocytes,0.002439454,0.016033903,0.581,0.419,0.419,0.3282,False,Aif1,21
Oligodendrocytes,-0.0019132543,0.010685554,0.447,0.553,0.447,0.339,False,Aif1,21
GABAergic Neurons,-0.0026281804,0.018929584,0.465,0.535,0.465,0.3495,False,Aif1,21
