group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Myocytes,0.07951179,0.02492306,0.999,0.001,0.001,0.001,True,Aif1l,21
Medium Spiny Neurons,-0.013393015,0.012365551,0.135,0.865,0.135,0.068,False,Aif1l,21
Oligodendrocyte Precursor Cells,0.011316731,0.0115628475,0.832,0.168,0.168,0.10133333333333334,False,Aif1l,21
Endocrine Cells,0.02816574,0.03120106,0.81,0.19,0.19,0.12350000000000001,False,Aif1l,21
Neurons,0.008983333,0.014208117,0.733,0.267,0.267,0.15220000000000003,False,Aif1l,21
Neural Stem Cells,0.010229112,0.018244468,0.708,0.292,0.292,0.17550000000000002,False,Aif1l,21
Oligodendrocytes,-0.0049241995,0.0106547605,0.338,0.662,0.338,0.19871428571428576,False,Aif1l,21
Excitatory Neurons,0.004476819,0.012284408,0.64,0.36,0.36,0.21887500000000004,False,Aif1l,21
Endothelial Cells,-0.008747817,0.031203896,0.395,0.605,0.395,0.2384444444444445,False,Aif1l,21
Microglia,-0.0028714205,0.017942213,0.427,0.573,0.427,0.25730000000000003,False,Aif1l,21
Astrocytes,0.0016164873,0.016016822,0.557,0.443,0.443,0.27418181818181825,False,Aif1l,21
GABAergic Neurons,-0.002305733,0.018902857,0.473,0.527,0.473,0.29075,False,Aif1l,21
