group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Oligodendrocyte Precursor Cells,0.013253831,0.011593198,0.877,0.123,0.123,0.123,False,Ak4,21
Medium Spiny Neurons,-0.014052618,0.012352059,0.124,0.876,0.124,0.1235,False,Ak4,21
Neurons,0.009565203,0.014148637,0.753,0.247,0.247,0.16466666666666666,False,Ak4,21
Neural Stem Cells,0.00928385,0.018321346,0.693,0.307,0.307,0.20024999999999998,False,Ak4,21
Excitatory Neurons,0.004693132,0.012358989,0.649,0.351,0.351,0.2304,False,Ak4,21
Myocytes,0.006512098,0.024665114,0.602,0.398,0.398,0.2583333333333333,False,Ak4,21
Endothelial Cells,-0.0082023125,0.031230427,0.4,0.6,0.4,0.2785714285714285,False,Ak4,21
Astrocytes,0.003007216,0.016130295,0.598,0.402,0.402,0.294,False,Ak4,21
Microglia,-0.0027371733,0.017964762,0.429,0.571,0.429,0.30899999999999994,False,Ak4,21
Endocrine Cells,-0.00535628,0.03108819,0.434,0.566,0.434,0.3215,False,Ak4,21
Oligodendrocytes,-0.0017662075,0.01069712,0.45,0.55,0.45,0.3331818181818182,False,Ak4,21
GABAergic Neurons,-0.0019162856,0.018949369,0.479,0.521,0.479,0.3453333333333333,False,Ak4,21
