group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Myocytes,-0.030773884,0.024767198,0.109,0.891,0.109,0.109,False,Akt1s1,21
Medium Spiny Neurons,-0.014249143,0.012261325,0.118,0.882,0.118,0.11349999999999999,False,Akt1s1,21
Oligodendrocyte Precursor Cells,0.012984805,0.011721539,0.867,0.133,0.133,0.12,False,Akt1s1,21
Endocrine Cells,0.022303483,0.031348627,0.765,0.235,0.235,0.14875,False,Akt1s1,21
Neural Stem Cells,0.011663909,0.018069824,0.736,0.264,0.264,0.1718,False,Akt1s1,21
Neurons,0.008521764,0.0140901,0.728,0.272,0.272,0.1885,False,Akt1s1,21
Endothelial Cells,-0.008715701,0.03112418,0.395,0.605,0.395,0.218,False,Akt1s1,21
Excitatory Neurons,0.002633271,0.012413813,0.583,0.417,0.417,0.242875,False,Akt1s1,21
Astrocytes,0.00217686,0.016158717,0.572,0.428,0.428,0.2634444444444444,False,Akt1s1,21
Microglia,-0.002792126,0.018033015,0.429,0.571,0.429,0.27999999999999997,False,Akt1s1,21
Oligodendrocytes,-0.0020801362,0.01056332,0.441,0.559,0.441,0.2946363636363636,False,Akt1s1,21
GABAergic Neurons,-0.0024314974,0.019101389,0.471,0.529,0.471,0.3093333333333333,False,Akt1s1,21
