group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Medium Spiny Neurons,-0.014666899,0.012289811,0.11,0.89,0.11,0.11,False,Akt2,21
Oligodendrocyte Precursor Cells,0.012318329,0.011626237,0.852,0.148,0.148,0.129,False,Akt2,21
Neural Stem Cells,0.014697164,0.01819398,0.782,0.218,0.218,0.15866666666666665,False,Akt2,21
Neurons,0.008290228,0.014178373,0.722,0.278,0.278,0.1885,False,Akt2,21
Excitatory Neurons,0.0046309773,0.012346245,0.645,0.355,0.355,0.2218,False,Akt2,21
Endocrine Cells,0.010243364,0.031164018,0.636,0.364,0.364,0.24549999999999997,False,Akt2,21
Astrocytes,0.0030022066,0.016136715,0.598,0.402,0.402,0.26785714285714285,False,Akt2,21
Endothelial Cells,-0.0076318057,0.031178419,0.406,0.594,0.406,0.285125,False,Akt2,21
Myocytes,-0.0060229977,0.024685163,0.409,0.591,0.409,0.29888888888888887,False,Akt2,21
Oligodendrocytes,-0.0016313621,0.010670964,0.455,0.545,0.455,0.3145,False,Akt2,21
Microglia,-0.0015321875,0.017997371,0.457,0.543,0.457,0.32745454545454544,False,Akt2,21
GABAergic Neurons,-0.0024886646,0.018963406,0.47,0.53,0.47,0.3393333333333333,False,Akt2,21
