group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Medium Spiny Neurons,-0.013690323,0.012369789,0.128,0.872,0.128,0.128,False,Aldh1a3,21
Oligodendrocyte Precursor Cells,0.012228108,0.011529696,0.852,0.148,0.148,0.138,False,Aldh1a3,21
Neurons,0.009138072,0.014207757,0.738,0.262,0.262,0.17933333333333334,False,Aldh1a3,21
Endocrine Cells,0.014609097,0.031109797,0.689,0.311,0.311,0.21225,False,Aldh1a3,21
Neural Stem Cells,0.008563272,0.018371468,0.678,0.322,0.322,0.23420000000000002,False,Aldh1a3,21
Excitatory Neurons,0.0044787987,0.012284052,0.64,0.36,0.36,0.2551666666666667,False,Aldh1a3,21
Myocytes,0.008999608,0.024660548,0.638,0.362,0.362,0.27042857142857146,False,Aldh1a3,21
Endothelial Cells,-0.00794507,0.03127576,0.401,0.599,0.401,0.28675000000000006,False,Aldh1a3,21
Astrocytes,0.002340631,0.015978877,0.577,0.423,0.423,0.30188888888888893,False,Aldh1a3,21
Microglia,-0.0025510488,0.017939527,0.433,0.567,0.433,0.31500000000000006,False,Aldh1a3,21
Oligodendrocytes,-0.0017349625,0.010717953,0.452,0.548,0.452,0.3274545454545455,False,Aldh1a3,21
GABAergic Neurons,-0.0022573648,0.018900335,0.475,0.525,0.475,0.33975,False,Aldh1a3,21
