group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Medium Spiny Neurons,-0.013517883,0.012368525,0.13,0.87,0.13,0.13,False,Aldh1l2,21
Oligodendrocyte Precursor Cells,0.011535963,0.011584911,0.833,0.167,0.167,0.14850000000000002,False,Aldh1l2,21
Neurons,0.0091592455,0.014200926,0.739,0.261,0.261,0.18600000000000003,False,Aldh1l2,21
Neural Stem Cells,0.008546956,0.018330172,0.678,0.322,0.322,0.22000000000000003,False,Aldh1l2,21
Excitatory Neurons,0.0045645637,0.01228417,0.642,0.358,0.358,0.2476,False,Aldh1l2,21
Myocytes,0.0077778623,0.024662428,0.621,0.379,0.379,0.2695,False,Aldh1l2,21
Endothelial Cells,-0.008108534,0.03127857,0.401,0.599,0.401,0.28828571428571426,False,Aldh1l2,21
Endocrine Cells,0.006472038,0.031060567,0.592,0.408,0.408,0.30324999999999996,False,Aldh1l2,21
Astrocytes,0.0024434696,0.0159837,0.581,0.419,0.419,0.31611111111111106,False,Aldh1l2,21
Microglia,-0.002594731,0.017942095,0.432,0.568,0.432,0.3277,False,Aldh1l2,21
Oligodendrocytes,-0.0012256502,0.010706376,0.469,0.531,0.469,0.3405454545454545,False,Aldh1l2,21
GABAergic Neurons,-0.0023540156,0.018916998,0.472,0.528,0.472,0.3515,False,Aldh1l2,21
