group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Medium Spiny Neurons,-0.013452088,0.0123582315,0.13,0.87,0.13,0.13,False,Aldh2,21
Oligodendrocyte Precursor Cells,0.012177991,0.011549855,0.849,0.151,0.151,0.1405,False,Aldh2,21
Neurons,0.008908395,0.014195531,0.732,0.268,0.268,0.18300000000000002,False,Aldh2,21
Neural Stem Cells,0.010333234,0.018319549,0.708,0.292,0.292,0.21025,False,Aldh2,21
Excitatory Neurons,0.0045600845,0.012292,0.642,0.358,0.358,0.23979999999999996,False,Aldh2,21
Endocrine Cells,0.00986088,0.03110549,0.634,0.366,0.366,0.2608333333333333,False,Aldh2,21
Endothelial Cells,-0.007950754,0.031225972,0.401,0.599,0.401,0.28085714285714286,False,Aldh2,21
Astrocytes,0.0026771007,0.01602152,0.588,0.412,0.412,0.29725,False,Aldh2,21
Myocytes,0.0048092245,0.024667112,0.581,0.419,0.419,0.3107777777777778,False,Aldh2,21
Microglia,-0.0023096101,0.017950393,0.436,0.564,0.436,0.32330000000000003,False,Aldh2,21
Oligodendrocytes,-0.0016871596,0.010706842,0.453,0.547,0.453,0.3350909090909091,False,Aldh2,21
GABAergic Neurons,-0.0023072616,0.018914001,0.473,0.527,0.473,0.3465833333333333,False,Aldh2,21
