group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Medium Spiny Neurons,-0.031985823,0.010028035,0.0,1.0,0.0,0.0,True,Aldoa,21
Myocytes,-0.7760795,0.025721334,0.0,1.0,0.0,0.0,True,Aldoa,21
Oligodendrocytes,0.020941775,0.009818284,0.981,0.019,0.019,0.006333333333333333,True,Aldoa,21
Endocrine Cells,-0.06361935,0.032025423,0.024,0.976,0.024,0.01075,True,Aldoa,21
Oligodendrocyte Precursor Cells,0.016592376,0.011978257,0.918,0.082,0.082,0.025,True,Aldoa,21
Excitatory Neurons,0.012433806,0.017113678,0.767,0.233,0.233,0.059666666666666666,False,Aldoa,21
Astrocytes,0.0073560434,0.017677117,0.676,0.324,0.324,0.09742857142857142,False,Aldoa,21
Microglia,0.0063848817,0.01933694,0.63,0.37,0.37,0.1315,False,Aldoa,21
Endothelial Cells,-0.007875929,0.029474106,0.399,0.601,0.399,0.16122222222222224,False,Aldoa,21
Neurons,0.0013996258,0.011171186,0.565,0.435,0.435,0.18860000000000002,False,Aldoa,21
GABAergic Neurons,-0.00311806,0.024262689,0.471,0.529,0.471,0.21427272727272728,False,Aldoa,21
Neural Stem Cells,-0.00051372877,0.016673036,0.484,0.516,0.484,0.23675000000000002,False,Aldoa,21
