group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Oligodendrocyte Precursor Cells,0.0135583365,0.011579424,0.883,0.117,0.117,0.117,False,Alk,21
Medium Spiny Neurons,-0.01359401,0.012356288,0.128,0.872,0.128,0.1225,False,Alk,21
Neurons,0.009008454,0.014177054,0.735,0.265,0.265,0.17,False,Alk,21
Neural Stem Cells,0.008447668,0.018365981,0.676,0.324,0.324,0.20850000000000002,False,Alk,21
Excitatory Neurons,0.0046400796,0.012286157,0.647,0.353,0.353,0.2374,False,Alk,21
Myocytes,0.008927157,0.024661258,0.636,0.364,0.364,0.2585,False,Alk,21
Endothelial Cells,-0.00814205,0.031278457,0.401,0.599,0.401,0.27885714285714286,False,Alk,21
Astrocytes,0.0022616384,0.015986213,0.574,0.426,0.426,0.29725,False,Alk,21
Microglia,-0.0025636367,0.017942568,0.432,0.568,0.432,0.31222222222222223,False,Alk,21
Oligodendrocytes,-0.0017202126,0.010712279,0.452,0.548,0.452,0.3262,False,Alk,21
GABAergic Neurons,-0.002815184,0.019000566,0.459,0.541,0.459,0.3382727272727273,False,Alk,21
Endocrine Cells,0.00010204211,0.031061266,0.511,0.489,0.489,0.35083333333333333,False,Alk,21
